bar,beat,beatdur,denom,division,duration,num,onset,period,pitch,subtatum,tatum
0,1,0.24306122448979606,4,2,0.10204081632653061,4,3.130612244897959,4,66.0,0,1
0,1,0.24306122448979606,4,2,0.034829931972789115,4,3.273469387755102,4,67.0,0,2
0,2,0.2430612244897956,4,2,0.07546485260770976,4,3.3726984126984125,4,71.0,0,1
0,2,0.2430612244897956,4,2,0.040634920634920635,4,3.4816326530612245,4,74.0,0,2
0,3,0.2284013605442179,4,2,0.06385487528344672,4,3.583673469387755,4,78.0,0,1
0,3,0.2284013605442179,4,2,0.07546485260770976,4,3.706122448979592,4,79.0,0,2
0,4,0.2284013605442179,4,2,0.11609977324263039,4,3.825487528344671,4,78.0,0,1
0,4,0.2284013605442179,4,2,0.07546485260770976,4,3.946938775510204,4,76.0,0,2
1,1,0.23336734693877492,4,2,0.08126984126984127,4,4.0653061224489795,4,74.0,0,1
1,1,0.23336734693877492,4,2,0.11836734693877551,4,4.1755102040816325,4,71.0,0,2
1,2,0.2333673469387758,4,3,0.04897959183673439,4,4.293877551020408,4,72.0,0,1
1,2,0.2333673469387758,4,3,0.08979591836734693,4,4.3428571428571425,4,74.0,0,2
1,2,0.2333673469387758,4,3,0.07546485260770976,4,4.446621315192743,4,72.0,0,3
1,3,0.22840136054421833,4,2,0.10448979591836735,4,4.527891156462585,4,71.0,0,1
1,3,0.22840136054421833,4,2,0.11029478458049886,4,4.6439909297052155,4,69.0,0,2
1,4,0.22840136054421745,4,2,0.08707482993197278,4,4.7542857142857144,4,68.0,0,1
1,4,0.22840136054421745,4,2,0.053061224489795916,4,4.865306122448979,4,66.0,0,2
2,1,0.2231519274376419,4,2,0.06938775510204082,4,4.963265306122449,4,67.0,0,1
2,1,0.2231519274376419,4,2,0.10448979591836735,4,5.1020408163265305,4,64.0,0,2
2,2,0.223151927437641,4,3,0.08163265306122448,4,5.261224489795918,4,59.0,0,2
2,2,0.223151927437641,4,3,0.09387755102040816,4,5.3428571428571425,4,58.0,0,3
2,3,0.2064852607709753,4,4,0.08126984126984127,4,5.4741043083900225,4,62.0,0,2
2,3,0.2064852607709753,4,4,0.044897959183673466,4,5.591836734693878,4,58.0,0,4
2,4,0.2064852607709753,4,3,0.06938775510204082,4,5.648979591836735,4,59.0,0,1
2,4,0.2064852607709753,4,3,0.07755102040816375,4,5.791836734693877,4,55.0,0,3
3,1,0.2252607709750567,4,2,0.11020408163265306,4,5.869387755102041,4,57.0,0,1
3,1,0.2252607709750567,4,2,0.11428571428571428,4,5.995918367346939,4,55.0,0,2
4,3,0.21060090702947853,4,3,0.040634920634920635,4,7.191836734693878,4,69.0,0,2
4,3,0.21060090702947853,4,3,0.13351473922902493,4,7.26530612244898,4,70.0,0,3
4,4,0.21060090702947853,4,4,0.06385487528344672,4,7.497959183673469,4,69.0,0,4
5,1,0.2093990929705214,4,4,0.08126984126984127,4,7.591836734693878,4,67.0,0,2
5,1,0.2093990929705214,4,4,0.08979591836734693,4,7.714285714285714,4,62.0,0,4
5,3,0.22048752834467145,4,2,0.2728344671201814,4,8.03265306122449,4,62.0,0,2
6,3,0.21099773242630349,4,2,0.046439909297052155,4,8.80326530612245,4,63.0,0,1
6,3,0.21099773242630349,4,2,0.19736961451247165,4,8.89904761904762,4,64.0,0,2
6,4,0.21099773242630349,4,2,0.09287981859410431,4,9.142857142857142,4,63.0,0,2
7,1,0.21063492063492184,4,2,0.18775510204081633,4,9.29795918367347,4,66.0,0,2
7,2,0.21063492063492006,4,2,0.08126984126984127,4,9.514285714285714,4,69.0,0,2
7,3,0.2034353741496595,4,3,0.05714285714285714,4,9.624489795918368,4,66.0,0,1
7,3,0.2034353741496595,4,3,0.07755102040816327,4,9.722448979591837,4,67.0,0,2
7,3,0.2034353741496595,4,3,0.08126984126984127,4,9.820408163265306,4,69.0,0,3
7,4,0.2034353741496595,4,3,0.07346938775510203,4,9.93469387755102,4,70.0,0,2
7,4,0.2034353741496595,4,3,0.09287981859410431,4,10.008163265306122,4,72.0,0,3
8,1,0.20886621315192855,4,1,0.07546485260770976,4,10.106122448979592,4,74.0,0,1
8,2,0.20886621315192677,4,2,0.08163265306122448,4,10.248979591836735,4,68.0,0,1
8,2,0.20886621315192677,4,2,0.07755102040816327,4,10.33469387755102,4,69.0,0,2
8,3,0.21090702947845763,4,2,0.08707482993197278,4,10.460589569160998,4,72.0,0,1
8,3,0.21090702947845763,4,2,0.08707482993197278,4,10.570907029478459,4,70.0,0,2
8,4,0.21090702947845763,4,1,0.07546485260770976,4,10.66530612244898,4,67.0,0,1
9,3,0.22568027210884267,4,2,0.08571428571428572,4,11.457142857142857,4,63.0,0,2
9,4,0.22568027210884445,4,2,0.05714285714285714,4,11.571428571428571,4,64.0,0,1
9,4,0.22568027210884445,4,2,0.09387755102040816,4,11.648979591836735,4,67.0,0,2
10,1,0.21383219954648602,4,4,0.09387755102040816,4,11.755102040816327,4,64.0,0,1
10,1,0.21383219954648602,4,4,0.08163265306122448,4,11.857142857142858,4,65.0,0,3
10,1,0.21383219954648602,4,4,0.0653061224489796,4,11.951020408163265,4,66.0,0,4
10,2,0.21383219954648425,4,1,0.08979591836734693,4,12.036734693877552,4,69.0,0,1
10,3,0.21592970521541943,4,1,0.13931972789115646,4,12.202108843537415,4,72.0,0,1
11,3,0.20336734693877645,4,3,0.07546485260770976,4,13.130884353741497,4,77.0,0,2
11,3,0.20336734693877645,4,3,0.06095238095238109,4,13.212154195011339,4,76.0,0,3
11,4,0.20336734693877467,4,3,0.06385487528344672,4,13.27310657596372,4,75.0,0,1
11,4,0.20336734693877467,4,3,0.07546485260770976,4,13.339863945578232,4,74.0,0,2
12,1,0.21885487528344605,4,2,0.04934240362811791,4,13.508208616780045,4,72.0,0,1
12,1,0.21885487528344605,4,2,0.06095238095238095,4,13.572063492063492,4,71.0,0,2
12,2,0.21885487528344605,4,3,0.08417233560090703,4,13.673650793650793,4,69.0,0,1
12,2,0.21885487528344605,4,3,0.0986848072562374,4,13.77814058956916,4,68.0,0,2
12,2,0.21885487528344605,4,3,0.06965986394557823,4,13.876825396825398,4,65.0,0,3
12,3,0.20607709750566805,4,1,0.06675736961451247,4,13.978412698412699,4,64.0,0,1
12,4,0.20607709750566983,4,3,0.034829931972789115,4,14.114829931972789,4,62.0,0,1
12,4,0.20607709750566983,4,3,0.06675736961451247,4,14.187392290249432,4,61.0,0,2
12,4,0.20607709750566983,4,3,0.08417233560090703,4,14.277369614512471,4,59.0,0,3
13,1,0.1981065759637204,4,1,0.09868480725623582,4,14.384761904761906,4,60.0,0,1
13,2,0.1981065759637186,4,4,0.06095238095238095,4,14.512471655328799,4,62.0,0,1
13,2,0.1981065759637186,4,4,0.08997732426303855,4,14.590839002267574,4,63.0,0,2
13,2,0.1981065759637186,4,4,0.05514739229024943,4,14.69532879818594,4,64.0,0,4
13,3,0.20609977324262907,4,1,0.11900226757369614,4,14.76498866213152,4,67.0,0,1
13,4,0.20609977324263085,4,2,0.0783673469387755,4,14.918820861678004,4,64.0,0,1
13,4,0.20609977324263085,4,2,0.08126984126984127,4,15.020408163265307,4,65.0,0,2
14,1,0.21596371882086274,4,2,0.08417233560090587,4,15.119092970521542,4,66.0,0,1
14,1,0.21596371882086274,4,2,0.06965986394557823,4,15.203265306122448,4,69.0,0,2
14,2,0.21596371882086096,4,3,0.06385487528344672,4,15.432562358276645,4,77.0,0,2
14,2,0.21596371882086096,4,3,0.08126984126984127,4,15.499319727891157,4,76.0,0,3
14,3,0.19637188208616685,4,1,0.12770975056689343,4,15.583492063492063,4,75.0,0,1
14,4,0.19637188208616863,4,2,0.046439909297052155,4,15.746031746031745,4,72.0,0,1
14,4,0.19637188208616863,4,2,0.11609977324263039,4,15.824399092970522,4,73.0,0,2
15,1,0.21054421768707243,4,3,0.06965986394557823,4,15.960816326530612,4,76.0,0,1
15,1,0.21054421768707243,4,3,0.1219047619047619,4,16.03628117913832,4,74.0,0,2
15,2,0.21054421768707599,4,3,0.05514739229024943,4,16.18140589569161,4,71.0,0,1
15,2,0.21054421768707599,4,3,0.058049886621315196,4,16.25106575963719,4,72.0,0,2
15,2,0.21054421768707599,4,3,0.06965986394557788,4,16.3265306122449,4,74.0,0,3
15,3,0.21594104308389817,4,4,0.04353741496598639,4,16.396190476190476,4,72.0,0,1
15,3,0.21594104308389817,4,4,0.14512471655328696,4,16.44843537414966,4,71.0,0,2
15,4,0.21594104308390172,4,3,0.06385487528344672,4,16.593560090702947,4,69.0,0,1
15,4,0.21594104308390172,4,3,0.09868480725623582,4,16.674829931972788,4,68.0,0,2
16,1,0.21109977324262985,4,3,0.04934240362811791,4,16.822857142857142,4,66.0,0,1
16,1,0.21109977324262985,4,3,0.07256235827664399,4,16.89832199546485,4,67.0,0,2
16,2,0.2110997732426334,4,2,0.06965986394557823,4,17.020226757369613,4,69.0,0,1
16,2,0.2110997732426334,4,2,0.06675736961451247,4,17.10439909297052,4,71.0,0,2
16,3,0.21877551020407893,4,4,0.06675736961451247,4,17.226303854875283,4,72.0,0,1
16,3,0.21877551020407893,4,4,0.10448979591836735,4,17.316303854875283,4,74.0,0,2
16,3,0.21877551020407893,4,4,0.07546485260770976,4,17.426598639455783,4,76.0,0,4
17,1,0.21099773242630704,4,2,0.058049886621315196,4,17.65297052154195,4,79.0,0,1
17,1,0.21099773242630704,4,2,0.09287981859410431,4,17.75170068027211,4,81.0,0,2
17,2,0.21099773242630349,4,4,0.06380952380952465,4,17.86780045351474,4,78.0,0,1
17,2,0.21099773242630349,4,4,0.10448979591836735,4,17.931609977324264,4,79.0,0,2
17,2,0.21099773242630349,4,4,0.08707482993197278,4,18.07090702947846,4,76.0,0,4
17,3,0.21096371882086018,4,1,0.13351473922902493,4,18.15800453514739,4,77.0,0,1
17,4,0.21096371882086018,4,2,0.058049886621315196,4,18.294421768707483,4,74.0,0,1
17,4,0.21096371882086018,4,2,0.06095238095238095,4,18.375691609977324,4,75.0,0,2
18,1,0.21578231292517103,4,2,0.06965986394557823,4,18.587573696145125,4,71.0,0,2
18,2,0.21578231292517103,4,2,0.09287981859410431,4,18.779138321995465,4,74.0,0,1
18,2,0.21578231292517103,4,2,0.08126984126984382,4,18.89814058956916,4,71.0,0,2
18,3,0.20591836734693914,4,2,0.09287981859410431,4,18.979410430839003,4,72.0,0,1
18,3,0.20591836734693914,4,2,0.08126984126984127,4,19.101315192743765,4,70.0,0,2
18,4,0.20591836734693914,4,4,0.06675736961451247,4,19.2,4,69.0,0,2
18,4,0.20591836734693914,4,4,0.08417233560090703,4,19.33061224489796,4,67.0,0,4
19,1,0.22079365079364877,4,4,0.09578231292517007,4,19.41768707482993,4,65.0,0,2
19,1,0.22079365079364877,4,4,0.052244897959183675,4,19.539591836734694,4,64.0,0,4
19,2,0.22079365079365232,4,4,0.052244897959183675,4,19.638299319727892,4,63.0,0,2
19,2,0.22079365079365232,4,4,0.058049886621315196,4,19.70793650793651,4,65.0,0,3
19,2,0.22079365079365232,4,4,0.052244897959183675,4,19.77469387755102,4,63.0,0,4
19,3,0.21377551020407992,4,2,0.08417233560090703,4,19.82984126984127,4,62.0,0,1
