bar,beat,beatdur,denom,division,duration,num,onset,period,pitch,subtatum,tatum
-1,2,0.43145124716553274,4,3,0.14072562358276644,4,1.9061224489795918,4,58.0,0,1
-1,2,0.43145124716553274,4,3,0.14072562358276644,4,2.046938775510204,4,61.0,0,2
-1,2,0.43145124716553274,4,3,0.14072562358276644,4,2.1877551020408164,4,63.0,0,3
-1,3,0.4470748299319727,4,3,0.13786848072562358,4,2.329251700680272,4,68.0,0,1
-1,3,0.4470748299319727,4,3,0.14072562358276644,4,2.4693877551020407,4,69.0,0,2
-1,3,0.4470748299319727,4,3,0.14072562358276644,4,2.610204081632653,4,69.0,0,3
-1,4,0.45712018140589583,4,3,0.14072562358276644,4,2.7510204081632654,4,68.0,0,1
-1,4,0.45712018140589583,4,3,0.14072562358276644,4,2.8918367346938774,4,68.0,0,2
-1,4,0.45712018140589583,4,3,0.14072562358276644,4,3.0326530612244897,4,68.0,0,3
0,1,0.4318367346938774,4,3,0.14072562358276644,4,3.173469387755102,4,66.0,0,1
0,1,0.4318367346938774,4,3,0.13877551020408152,4,3.3142857142857145,4,66.0,0,2
0,1,0.4318367346938774,4,3,0.14072562358276644,4,3.453061224489796,4,58.0,0,3
0,2,0.4264172335600911,4,3,0.14072562358276644,4,3.595918367346939,4,63.0,0,1
0,2,0.4264172335600911,4,3,0.14072562358276644,4,3.736734693877551,4,65.0,0,2
0,2,0.4264172335600911,4,3,0.14072562358276644,4,3.877551020408163,4,63.0,0,3
0,3,0.4063492063492058,4,6,0.12480725623582767,4,4.0199546485260775,4,61.0,0,1
0,3,0.4063492063492058,4,6,0.11029478458049886,4,4.148979591836735,4,58.0,0,3
0,3,0.4063492063492058,4,6,0.11464852607709751,4,4.285532879818594,4,61.0,0,5
0,3,0.4063492063492058,4,6,0.14072562358276644,4,4.404081632653061,4,63.0,0,6
0,4,0.41650793650793716,4,3,0.12698412698412698,4,4.573605442176871,4,65.0,0,2
0,4,0.41650793650793716,4,3,0.14072562358276644,4,4.707845804988662,4,66.0,0,3
1,1,0.4221995464852606,4,1,0.6457596371882086,4,4.862244897959184,4,67.0,0,1
1,2,0.4471201814058956,4,4,0.13351473922902493,4,5.648253968253968,4,70.0,0,4
