bar,beat,beatdur,denom,division,duration,num,onset,period,pitch,subtatum,tatum
0,1,0.22851473922902477,4,4,0.1838548752834468,4,3.3020408163265307,4,68.0,0,1
0,1,0.22851473922902477,4,4,0.04934240362811791,4,3.4858956916099775,4,66.0,0,4
0,2,0.2285147392290252,4,4,0.03773242630385488,4,3.549750566893424,4,64.0,0,1
0,2,0.2285147392290252,4,4,0.25541950113378686,4,3.6048979591836736,4,63.0,0,2
0,3,0.22530612244897963,4,3,0.07551020408163266,4,3.8748299319727892,4,61.0,0,2
0,3,0.22530612244897963,4,3,0.08707482993197278,4,3.961904761904762,4,58.0,0,3
0,4,0.22530612244897963,4,3,0.07256235827664399,4,4.066394557823129,4,56.0,0,2
0,4,0.22530612244897963,4,3,0.06675736961451247,4,4.156371882086168,4,55.0,0,3
1,1,0.22357142857142875,4,1,0.313469387755102,4,4.249251700680272,4,58.0,0,1
1,2,0.22357142857142787,4,2,0.2673469387755102,4,4.604081632653061,4,63.0,0,2
2,1,0.23265306122449037,4,2,0.2673469387755102,4,5.220408163265306,4,65.0,0,2
2,2,0.23265306122448948,4,4,0.42244897959183675,4,5.526530612244898,4,62.0,0,4
3,1,0.23573696145124678,4,2,0.3076643990929705,4,6.05750566893424,4,58.0,0,2
3,2,0.23573696145124767,4,4,0.8388208616780045,4,6.414512471655329,4,67.0,0,4
5,1,0.23877551020408028,4,1,0.29895691609977326,4,7.857052154195011,4,56.0,0,1
5,2,0.23877551020408205,4,2,0.3512018140589569,4,8.231473922902495,4,65.0,0,2
7,2,0.2204195011337866,4,2,0.17414965986394557,4,10.091972789115646,4,55.0,0,2
7,3,0.21599773242630427,4,2,0.08126984126984127,4,10.28063492063492,4,60.0,0,2
7,4,0.21599773242630427,4,2,0.3076643990929705,4,10.47219954648526,4,51.0,0,2
8,2,0.21374149659864017,4,2,0.06938775510204082,4,10.8,4,49.0,0,1
8,2,0.21374149659864017,4,2,0.12480725623582767,4,10.893061224489795,4,50.0,0,2
8,3,0.21604308390022808,4,2,0.32448979591836735,4,11.106122448979592,4,58.0,0,2
