bar,beat,beatdur,denom,division,duration,num,onset,period,pitch,subtatum,tatum
0,1,0.28342403628117907,4,2,0.14489795918367346,4,3.9653061224489794,4,67.0,0,2
0,2,0.2770521541950117,4,2,0.12040816326530612,4,4.2306122448979595,4,65.0,0,2
0,3,0.28049886621315157,4,2,0.22040816326530613,4,4.512244897959183,4,65.0,0,2
1,1,0.2884807256235824,4,3,0.14657596371882087,4,4.931337868480726,4,58.0,0,1
1,1,0.2884807256235824,4,3,0.10204081632653061,4,5.134693877551021,4,62.0,0,3
1,2,0.2810204081632657,4,1,0.1469387755102041,4,5.240816326530612,4,63.0,0,1
1,3,0.2781632653061221,4,1,0.2742857142857143,4,5.479909297052155,4,65.0,0,1
2,1,0.28791383219954625,4,4,0.11836734693877551,4,6.069387755102041,4,58.0,0,2
2,1,0.28791383219954625,4,4,0.053061224489795916,4,6.2,4,60.0,0,3
2,1,0.28791383219954625,4,4,0.14222222222222222,4,6.270839002267573,4,62.0,0,4
2,2,0.2886621315192741,4,2,0.19736961451247165,4,6.437732426303855,4,67.0,0,2
2,3,0.2668707482993202,4,2,0.23510204081632652,4,6.726530612244898,4,58.0,0,2
2,4,0.267120181405895,4,3,0.07401360544217687,4,6.992108843537415,4,61.0,0,2
2,4,0.267120181405895,4,3,0.15963718820861678,4,7.086439909297052,4,62.0,0,3
3,1,0.269047619047619,4,2,0.11319727891156463,4,7.2765532879818595,4,65.0,0,2
3,2,0.27723356009070343,4,2,0.056598639455782314,4,7.576961451247166,4,59.0,0,2
3,3,0.2699999999999996,4,1,0.18140589569160998,4,7.652426303854876,4,65.0,0,1
3,4,0.2689342403628121,4,1,0.17124716553287983,4,7.923809523809524,4,65.0,0,1
4,1,0.2747619047619043,4,1,0.19591836734693877,4,8.22421768707483,4,65.0,0,1
4,2,0.2823129251700678,4,1,0.2147845804988662,4,8.49705215419501,4,67.0,0,1
4,3,0.2608843537414973,4,1,0.18285714285714286,4,8.755374149659865,4,67.0,0,1
4,4,0.28696145124716566,4,2,0.12770975056689343,4,9.073197278911564,4,58.0,0,1
4,4,0.28696145124716566,4,2,0.11174603174603175,4,9.229931972789116,4,61.0,0,2
5,1,0.2773242630385493,4,2,0.12045351473922902,4,9.360544217687075,4,62.0,0,1
5,1,0.2773242630385493,4,2,0.16834467120181407,4,9.501315192743764,4,65.0,0,2
5,2,0.28029478458049795,4,2,0.10158730158730159,4,9.768344671201815,4,65.0,0,2
5,3,0.25868480725623577,4,3,0.052244897959183675,4,9.882993197278912,4,64.0,0,1
5,3,0.25868480725623577,4,3,0.14802721088435375,4,10.05859410430839,4,58.0,0,3
5,4,0.28274376417233604,4,4,0.06965986394557823,4,10.29795918367347,4,61.0,0,3
5,4,0.28274376417233604,4,4,0.10448979591836735,4,10.379591836734694,4,62.0,0,4
6,1,0.2688888888888883,4,2,0.1291609977324263,4,10.594104308390023,4,58.0,0,2
6,2,0.271655328798186,4,2,0.1291609977324263,4,10.846621315192744,4,61.0,0,2
6,3,0.2923582766439914,4,1,0.2568707482993197,4,10.97578231292517,4,62.0,0,1
6,4,0.2611564625850331,4,3,0.14802721088435375,4,11.244897959183673,4,58.0,0,1
