bar,beat,beatdur,denom,division,duration,num,onset,period,pitch,subtatum,tatum
0,2,0.4485941043083903,4,4,0.28775510204081634,4,5.595918367346939,4,59.0,0,1
0,2,0.4485941043083903,4,4,0.07857142857142857,4,5.922448979591837,4,60.0,0,4
0,3,0.45789115646258516,4,4,0.04081632653061224,4,6.024489795918368,4,62.0,0,1
0,3,0.45789115646258516,4,4,0.2163265306122449,4,6.112244897959184,4,64.0,0,2
0,3,0.45789115646258516,4,4,0.1836734693877551,4,6.357142857142857,4,67.0,0,4
0,4,0.47471655328798157,4,4,0.20612244897959184,4,6.569387755102041,4,68.0,0,2
0,4,0.47471655328798157,4,4,0.1673469387755102,4,6.812244897959184,4,69.0,0,4
1,1,0.44571428571428573,4,1,0.35918367346938773,4,7.014285714285714,4,74.0,0,1
1,2,0.4531292517006804,4,1,0.8408163265306122,4,7.416326530612245,4,67.0,0,1
3,1,0.42956916099773323,4,4,0.2220408163265306,4,10.528798185941042,4,59.0,0,2
3,1,0.42956916099773323,4,4,0.09287981859410431,4,10.790022675736962,4,60.0,0,4
3,2,0.44333333333333336,4,4,0.052244897959183675,4,10.906122448979591,4,62.0,0,1
3,2,0.44333333333333336,4,4,0.19882086167800453,4,10.9859410430839,4,64.0,0,2
3,2,0.44333333333333336,4,4,0.14802721088435375,4,11.225396825396825,4,67.0,0,4
3,3,0.43004535147392176,4,2,0.21188208616780047,4,11.395192743764172,4,70.0,0,1
3,3,0.43004535147392176,4,2,0.1726984126984127,4,11.623038548752834,4,72.0,0,2
3,4,0.44705215419501165,4,2,0.22929705215419502,4,11.826213151927437,4,73.0,0,1
3,4,0.44705215419501165,4,2,0.1872108843537415,4,12.085986394557823,4,75.0,0,2
4,1,0.4247845804988657,4,1,0.34104308390022675,4,12.315283446712018,4,76.0,0,1
4,2,0.45077097505668995,4,1,0.5877551020408164,4,12.698412698412698,4,68.0,0,1
5,3,0.4262358276643994,4,2,0.20918367346938777,4,14.918367346938776,4,65.0,0,1
5,3,0.4262358276643994,4,2,0.15306122448979592,4,15.168367346938776,4,68.0,0,2
5,4,0.43959183673469404,4,4,0.17959183673469387,4,15.353061224489796,4,69.0,0,2
5,4,0.43959183673469404,4,4,0.18775510204081633,4,15.614285714285714,4,72.0,0,4
6,1,0.4359637188208598,4,2,0.31020408163265306,4,15.916326530612245,4,74.0,0,2
6,2,0.45126984126984127,4,2,0.374421768707483,4,16.288798185941044,4,63.0,0,2
6,3,0.4393197278911565,4,1,0.31927437641723355,4,16.69514739229025,4,62.0,0,1
6,4,0.43868480725623726,4,1,0.3512018140589569,4,17.14358276643991,4,70.0,0,1
8,1,0.43623582766440094,4,4,0.07142857142857142,4,19.583673469387755,4,60.0,0,4
8,2,0.4171882086167784,4,3,0.10102040816326531,4,19.708163265306123,4,64.0,0,1
8,2,0.4171882086167784,4,3,0.1,4,19.835714285714285,4,67.0,0,2
8,2,0.4171882086167784,4,3,0.07040816326530612,4,19.962244897959184,4,71.0,0,3
8,3,0.4337414965986426,4,3,0.12653061224489795,4,20.114285714285714,4,74.0,0,1
8,3,0.4337414965986426,4,3,0.11530612244897959,4,20.256122448979593,4,78.0,0,2
8,3,0.4337414965986426,4,3,0.11428571428571428,4,20.4,4,74.0,0,3
8,4,0.4331972789115639,4,3,0.1357142857142857,4,20.527551020408165,4,78.0,0,1
8,4,0.4331972789115639,4,3,0.1336734693877551,4,20.683673469387756,4,74.0,0,2
8,4,0.4331972789115639,4,3,0.14591836734693878,4,20.829591836734693,4,71.0,0,3
9,1,0.43439909297051926,4,1,0.6240362811791383,4,21.016961451247166,4,73.0,0,1
9,4,0.4314739229024944,4,4,0.10612244897959183,4,22.540816326530614,4,70.0,0,3
9,4,0.4314739229024944,4,4,0.12142857142857143,4,22.66122448979592,4,67.0,0,4
10,1,0.4435827664399099,4,1,0.35612244897959183,4,22.809183673469388,4,69.0,0,1
11,2,0.44251700680272066,4,4,0.17551020408163265,4,25.31020408163265,4,67.0,0,4
11,3,0.4538775510204083,4,4,0.19183673469387755,4,25.524489795918367,4,69.0,0,2
11,3,0.4538775510204083,4,4,0.17959183673469387,4,25.746938775510205,4,73.0,0,4
11,4,0.43476190476190624,4,4,0.21020408163265306,4,25.95,4,69.0,0,2
11,4,0.43476190476190624,4,4,0.17346938775510204,4,26.178571428571427,4,67.0,0,4
12,1,0.4390249433106561,4,2,0.3795918367346939,4,26.381632653061224,4,64.0,0,2
12,2,0.4649886621315211,4,4,0.2571428571428571,4,26.81020408163265,4,64.0,0,2
12,2,0.4649886621315211,4,4,0.1469387755102041,4,27.094897959183672,4,62.0,0,4
12,3,0.45006802721088235,4,4,0.19795918367346937,4,27.32551020408163,4,66.0,0,2
12,3,0.45006802721088235,4,4,0.16122448979591836,4,27.55204081632653,4,70.0,0,4
12,4,0.4708616780045354,4,4,0.20816326530612245,4,27.73265306122449,4,73.0,0,2
12,4,0.4708616780045354,4,4,0.19591836734693877,4,27.975691609977325,4,78.0,0,4
13,1,0.4382993197278928,4,2,0.34249433106575966,4,28.222403628117913,4,77.0,0,2
13,2,0.4458049886621289,4,6,0.1785034013605442,4,28.631655328798185,4,72.0,0,2
13,2,0.4458049886621289,4,6,0.08852607709750566,4,28.821768707482992,4,73.0,0,5
13,2,0.4458049886621289,4,6,0.1073922902494331,4,28.921904761904763,4,74.0,0,6
13,3,0.44707482993197445,4,4,0.17705215419501133,4,29.12362811791383,4,72.0,0,2
13,3,0.44707482993197445,4,4,0.12045351473922902,4,29.352925170068026,4,69.0,0,4
13,4,0.45140589569161094,4,5,0.15020408163265306,4,29.527074829931973,4,65.0,0,2
13,4,0.45140589569161094,4,5,0.11609977324263039,4,29.69034013605442,4,64.0,0,4
