bar,beat,beatdur,denom,division,duration,num,onset,period,pitch,subtatum,tatum
1,1,0.2627664399092966,4,2,0.1364172335600907,4,4.574331065759637,4,72.0,0,1
1,1,0.2627664399092966,4,2,0.1306122448979592,4,4.716553287981859,4,73.0,0,2
1,2,0.2588662131519275,4,2,0.1219047619047619,4,4.858775510204081,4,70.0,0,1
1,2,0.2588662131519275,4,2,0.11609977324263039,4,4.989387755102041,4,66.0,0,2
1,3,0.24979591836734727,4,3,0.1654421768707483,4,5.114195011337869,4,61.0,0,1
1,3,0.24979591836734727,4,3,0.0783673469387755,4,5.288344671201814,4,57.0,0,3
1,4,0.2563492063492063,4,2,0.14512471655328799,4,5.381224489795918,4,61.0,0,1
1,4,0.2563492063492063,4,2,0.07256235827664399,4,5.537959183673469,4,59.0,0,2
2,1,0.24811791383219894,4,4,0.1364172335600907,4,5.616326530612245,4,60.0,0,1
2,1,0.24811791383219894,4,4,0.07256235827664399,4,5.828208616780046,4,60.0,0,4
2,2,0.2623356009070301,4,4,0.1364172335600907,4,5.923990929705216,4,56.0,0,2
2,2,0.2623356009070301,4,4,0.05514739229024943,4,6.080725623582766,4,64.0,0,4
2,3,0.2688888888888883,4,3,0.156734693877551,4,6.150385487528345,4,68.0,0,1
2,3,0.2688888888888883,4,3,0.07256235827664399,4,6.32453514739229,4,70.0,0,3
2,4,0.26884353741496625,4,2,0.08997732426303855,4,6.408707482993197,4,66.0,0,1
2,4,0.26884353741496625,4,2,0.1219047619047619,4,6.530612244897959,4,63.0,0,2
3,1,0.24285714285714288,4,1,0.14802721088435375,4,6.6670294784580495,4,58.0,0,1
3,2,0.2588662131519275,4,1,0.15383219954648525,4,6.939863945578232,4,61.0,0,1
3,3,0.2524263038548753,4,4,0.06095238095238095,4,7.160453514739229,4,57.0,0,1
3,3,0.2524263038548753,4,4,0.11900226757369614,4,7.227210884353742,4,58.0,0,2
3,3,0.2524263038548753,4,4,0.1073922902494331,4,7.349115646258503,4,61.0,0,4
4,1,0.2679591836734687,4,4,0.0653061224489796,4,7.808163265306122,4,61.0,0,3
4,1,0.2679591836734687,4,4,0.052244897959183675,4,7.874467120181406,4,63.0,0,4
4,2,0.26319727891156575,4,4,0.058049886621315196,4,7.94702947845805,4,66.0,0,1
4,2,0.26319727891156575,4,4,0.07546485260770976,4,8.007981859410432,4,67.0,0,2
4,2,0.26319727891156575,4,4,0.05514739229024943,4,8.097959183673469,4,68.0,0,3
4,2,0.26319727891156575,4,4,0.05918367346938776,4,8.155102040816326,4,71.0,0,4
4,3,0.24907029478458043,4,4,0.04934240362811791,4,8.23437641723356,4,75.0,0,1
4,3,0.24907029478458043,4,4,0.05514739229024943,4,8.292426303854874,4,77.0,0,2
4,3,0.24907029478458043,4,4,0.06385487528344672,4,8.359183673469389,4,78.0,0,3
4,3,0.24907029478458043,4,4,0.06385487528344672,4,8.428843537414966,4,79.0,0,4
4,4,0.26530612244897966,4,3,0.04897959183673469,4,8.493877551020407,4,77.0,0,1
4,4,0.26530612244897966,4,3,0.07256235827664399,4,8.550748299319729,4,75.0,0,2
4,4,0.26530612244897966,4,3,0.0783673469387755,4,8.640725623582766,4,72.0,0,3
5,1,0.25668934240362695,4,4,0.05514739229024943,4,8.73360544217687,4,76.0,0,1
5,1,0.25668934240362695,4,4,0.05514739229024943,4,8.80326530612245,4,75.0,0,2
5,1,0.25668934240362695,4,4,0.04063492063492191,4,8.864217687074829,4,74.0,0,3
5,1,0.25668934240362695,4,4,0.08417233560090703,4,8.904852607709751,4,72.0,0,4
5,2,0.2509750566893434,4,4,0.05514739229024943,4,8.99482993197279,4,68.0,0,1
5,2,0.2509750566893434,4,4,0.05514739229024943,4,9.061587301587302,4,67.0,0,2
5,2,0.2509750566893434,4,4,0.04934240362811791,4,9.13124716553288,4,63.0,0,3
5,2,0.2509750566893434,4,4,0.046439909297052155,4,9.192199546485261,4,61.0,0,4
5,3,0.25913832199546505,4,4,0.04934240362811791,4,9.247346938775511,4,63.0,0,1
5,3,0.25913832199546505,4,4,0.06095238095238095,4,9.302494331065759,4,67.0,0,2
5,3,0.25913832199546505,4,4,0.040634920634920635,4,9.372154195011339,4,63.0,0,3
5,3,0.25913832199546505,4,4,0.058049886621315196,4,9.421496598639456,4,65.0,0,4
5,4,0.24743764172335503,4,3,0.03773242630385488,4,9.491156462585034,4,66.0,0,1
5,4,0.24743764172335503,4,3,0.07256235827664399,4,9.557913832199546,4,67.0,0,2
5,4,0.24743764172335503,4,3,0.052244897959183675,4,9.642086167800453,4,68.0,0,3
6,1,0.24800453514739296,4,5,0.06675736961451247,4,9.711746031746031,4,71.0,0,1
6,1,0.24800453514739296,4,5,0.040634920634920635,4,9.79156462585034,4,68.0,0,2
6,1,0.24800453514739296,4,5,0.04934240362811791,4,9.840907029478458,4,67.0,0,3
6,1,0.24800453514739296,4,5,0.04353741496598639,4,9.896054421768708,4,65.0,0,4
6,1,0.24800453514739296,4,5,0.058049886621315196,4,9.951201814058956,4,63.0,0,5
6,2,0.24909297052154145,4,4,0.04353741496598639,4,10.015056689342403,4,61.0,0,1
6,2,0.24909297052154145,4,4,0.11319727891156463,4,10.071655328798187,4,59.0,0,2
6,2,0.24909297052154145,4,4,0.0522448979591843,4,10.187755102040816,4,63.0,0,4
6,3,0.24358276643990884,4,1,0.10448979591836735,4,10.24,4,68.0,0,1
6,4,0.24827664399093052,4,2,0.09578231292517007,4,10.646349206349207,4,63.0,0,2
7,1,0.2630612244897961,4,2,0.11900226757369614,4,10.756643990929705,4,66.0,0,1
7,1,0.2630612244897961,4,2,0.09578231292517007,4,10.907573696145125,4,72.0,0,2
7,2,0.2583673469387744,4,2,0.12770975056689343,4,11.014965986394557,4,70.0,0,1
7,2,0.2583673469387744,4,2,0.11319727891156463,4,11.160090702947846,4,66.0,0,2
7,3,0.26013605442176946,4,2,0.12480725623582767,4,11.281995464852608,4,61.0,0,1
7,3,0.26013605442176946,4,2,0.06385487528344672,4,11.412607709750567,4,57.0,0,2
7,4,0.26625850340136026,4,4,0.13931972789115646,4,11.49968253968254,4,61.0,0,1
