bar,beat,beatdur,denom,division,duration,num,onset,period,pitch,subtatum,tatum
2,4,0.48197278911564556,4,2,0.19591836734693877,4,7.563265306122449,4,62.0,0,2
3,1,0.4863038548752838,4,2,0.22448979591836735,4,7.759183673469388,4,64.0,0,1
3,1,0.4863038548752838,4,2,0.20816326530612245,4,8.004081632653062,4,62.0,0,2
3,2,0.48650793650793567,4,2,0.23673469387755103,4,8.244897959183673,4,69.0,0,1
3,2,0.48650793650793567,4,2,0.22040816326530613,4,8.493877551020407,4,71.0,0,2
3,3,0.4914739229024949,4,8,0.40408163265306124,4,8.775510204081632,4,62.0,0,2
3,3,0.4914739229024949,4,8,0.2653061224489796,4,9.187755102040816,4,64.0,0,8
3,4,0.4474376417233561,4,2,0.17551020408163254,4,9.473469387755102,4,62.0,0,2
4,1,0.48582766439909264,4,1,5.293061224489796,4,9.648979591836735,4,67.0,0,1
6,4,0.4471655328798203,4,5,0.08126984126984027,4,14.988480725623583,4,67.0,0,2
6,4,0.4471655328798203,4,5,0.07546485260770976,4,15.069750566893424,4,69.0,0,3
6,4,0.4471655328798203,4,5,0.06965986394557823,4,15.180045351473924,4,72.0,0,4
6,4,0.4471655328798203,4,5,0.11029478458049802,4,15.27873015873016,4,74.0,0,5
7,1,0.4862585034013591,4,4,0.08126984126984127,4,15.389024943310657,4,72.0,0,1
7,1,0.4862585034013591,4,4,0.06385487528344672,4,15.499319727891157,4,69.0,0,2
7,1,0.4862585034013591,4,4,0.4876190476190476,4,15.598004535147393,4,67.0,0,3
7,2,0.4918820861678004,4,6,0.052244897959183675,4,16.08562358276644,4,66.0,0,4
7,2,0.4918820861678004,4,6,0.06385487528344672,4,16.16108843537415,4,65.0,0,5
7,2,0.4918820861678004,4,6,0.06385487528344672,4,16.23655328798186,4,64.0,0,6
7,3,0.47646258503401384,4,3,0.10448979591836735,4,16.3178231292517,4,62.0,0,1
7,3,0.47646258503401384,4,3,0.748843537414966,4,16.46294784580499,4,60.0,0,2
9,1,0.4623129251700675,4,8,0.446984126984127,4,19.168072562358276,4,74.0,0,1
9,1,0.4623129251700675,4,8,0.30766439909297105,4,19.615056689342403,4,76.0,0,8
9,2,0.4504308390022693,4,2,0.2960544217687075,4,19.922721088435374,4,74.0,0,2
9,3,0.4923809523809517,4,6,0.2844444444444463,4,20.25360544217687,4,76.0,0,3
9,3,0.4923809523809517,4,6,0.23219954648526078,4,20.538049886621316,4,74.0,0,6
9,4,0.45621315192743594,4,2,0.22058956916099773,4,20.793469387755103,4,76.0,0,2
10,1,0.4870521541950126,4,2,0.23800453514739228,4,21.04888888888889,4,74.0,0,1
10,1,0.4870521541950126,4,2,0.2786394557823129,4,21.304308390022676,4,83.0,0,2
10,2,0.5006122448979582,4,3,0.19736961451247165,4,21.61777777777778,4,81.0,0,1
10,2,0.5006122448979582,4,3,1.7124716553287982,4,21.937052154195012,4,81.0,0,3
11,3,0.46675736961451264,4,4,0.2147845804988662,4,24.160362811791384,4,74.0,0,4
11,4,0.46582766439909307,4,3,0.19156462585034015,4,24.392562358276646,4,76.0,0,2
11,4,0.46582766439909307,4,3,0.20317460317460317,4,24.589931972789117,4,74.0,0,3
12,1,0.4820861678004533,4,2,0.22639455782312926,4,24.816326530612244,4,83.0,0,1
12,1,0.4820861678004533,4,2,0.20317460317460317,4,25.07174603174603,4,81.0,0,2
12,2,0.48619047619047606,4,4,0.22058956916099773,4,25.36780045351474,4,81.0,0,2
12,2,0.48619047619047606,4,4,0.156734693877551,4,25.64063492063492,4,72.0,0,4
12,3,0.4668934240362823,4,4,0.20317460317460317,4,25.890249433106575,4,72.0,0,2
12,3,0.4668934240362823,4,4,0.2147845804988662,4,26.105034013605444,4,74.0,0,4
12,4,0.5113605442176841,4,3,0.156734693877551,4,26.372063492063493,4,74.0,0,2
12,4,0.5113605442176841,4,3,0.14512471655328799,4,26.534603174603173,4,72.0,0,3
13,1,0.4819501133786872,4,2,0.19156462585034015,4,26.760997732426304,4,79.0,0,1
13,1,0.4819501133786872,4,2,0.20317460317460317,4,26.969977324263038,4,77.0,0,2
13,2,0.49580498866212963,4,1,3.0011791383219957,4,27.225396825396825,4,77.0,0,1
14,4,0.4667346938775516,4,6,0.09387755102040816,4,30.240816326530613,4,74.0,0,3
14,4,0.4667346938775516,4,6,0.07346938775510205,4,30.34285714285714,4,72.0,0,4
14,4,0.4667346938775516,4,6,0.05714285714285714,4,30.43265306122449,4,70.0,0,5
14,4,0.4667346938775516,4,6,0.053061224489795916,4,30.53061224489796,4,69.0,0,6
15,1,0.4863945578231288,4,3,0.27755102040816326,4,30.60816326530612,4,67.0,0,1
15,1,0.4863945578231288,4,3,0.22040816326530613,4,30.910204081632653,4,68.0,0,3
15,2,0.47117913832199676,4,3,0.10612244897959183,4,31.13877551020408,4,67.0,0,1
15,2,0.47117913832199676,4,3,0.11836734693877551,4,31.285714285714285,4,65.0,0,2
15,2,0.47117913832199676,4,3,0.10204081632653061,4,31.453061224489797,4,63.0,0,3
15,3,0.4865079365079339,4,3,0.12653061224489795,4,31.57551020408163,4,62.0,0,1
15,3,0.4865079365079339,4,3,0.16326530612244897,4,31.714285714285715,4,63.0,0,2
15,3,0.4865079365079339,4,3,1.236734693877551,4,31.877551020408163,4,60.0,0,3
17,1,0.4820408163265313,4,2,0.689795918367347,4,34.7265306122449,4,65.0,0,2
17,3,0.46653061224489534,4,3,0.2857142857142857,4,35.436734693877554,4,68.0,0,1
17,3,0.46653061224489534,4,3,0.17551020408163254,4,35.7265306122449,4,65.0,0,3
