bar,beat,beatdur,denom,division,duration,num,onset,period,pitch,subtatum,tatum
0,2,0.4369387755102032,4,4,0.1653061224489796,4,8.255102040816327,4,78.0,0,3
0,2,0.4369387755102032,4,4,0.17346938775510204,4,8.43673469387755,4,77.0,0,4
0,3,0.3816099773242634,4,2,0.20408163265306123,4,8.640816326530611,4,78.0,0,2
0,4,0.39614512471655416,4,3,0.10816326530612246,4,8.861224489795918,4,77.0,0,1
0,4,0.39614512471655416,4,3,0.10408163265306122,4,8.989795918367347,4,75.0,0,2
0,4,0.39614512471655416,4,3,0.10816326530612246,4,9.130612244897959,4,72.0,0,3
1,1,0.4124943310657585,4,4,0.24285714285714285,4,9.295918367346939,4,75.0,0,1
1,1,0.4124943310657585,4,4,0.2897959183673469,4,9.608163265306123,4,77.0,0,4
1,4,0.40455782312925237,4,4,0.19156462585034015,4,10.665215419501134,4,78.0,0,2
1,4,0.40455782312925237,4,4,0.21913832199546485,4,10.875646258503401,4,77.0,0,4
2,1,0.4021541950113381,4,2,0.26412698412698415,4,11.170249433106576,4,78.0,0,2
2,2,0.4280725623582775,4,1,0.17560090702947845,4,11.450340136054422,4,77.0,0,1
2,3,0.40934240362811636,4,4,0.32072562358276646,4,11.744943310657597,4,78.0,0,1
2,3,0.40934240362811636,4,4,0.16979591836734695,4,12.093242630385488,4,77.0,0,4
2,4,0.41165532879818656,4,3,0.13351473922902493,4,12.287709750566894,4,77.0,0,2
2,4,0.41165532879818656,4,3,0.1436734693877551,4,12.45170068027211,4,72.0,0,3
3,1,0.40095238095238095,4,4,0.27573696145124715,4,12.621496598639455,4,75.0,0,1
3,1,0.40095238095238095,4,4,0.18430839002267574,4,12.907392290249433,4,77.0,0,4
3,4,0.3769614512471655,4,2,0.38458049886621315,4,14.13079365079365,4,78.0,0,2
4,1,0.45931972789115605,4,2,0.11319727891156463,4,14.529886621315192,4,77.0,0,2
4,2,0.43165532879818613,4,3,0.28444444444444444,4,14.696780045351474,4,75.0,0,1
4,2,0.43165532879818613,4,3,0.08562358276643992,4,14.99718820861678,4,72.0,0,3
4,3,0.4390022675736951,4,3,0.2815419501133787,4,15.116190476190477,4,77.0,0,1
4,3,0.4390022675736951,4,3,0.14077097505668934,4,15.412244897959184,4,75.0,0,3
4,4,0.42131519274376394,4,3,0.26267573696145124,4,15.563174603174604,4,72.0,0,1
4,4,0.42131519274376394,4,3,0.08272108843537415,4,15.844716553287983,4,68.0,0,3
5,1,0.4168707482993188,4,2,0.16979591836734695,4,16.013061224489796,4,71.0,0,1
5,1,0.4168707482993188,4,2,0.1799546485260771,4,16.20172335600907,4,70.0,0,2
5,2,0.42766439909297205,4,1,0.7775510204081633,4,16.414285714285715,4,72.0,0,1
5,4,0.4225396825396821,4,3,0.24897959183673468,4,17.224489795918366,4,70.0,0,1
5,4,0.4225396825396821,4,3,0.5346938775510204,4,17.508163265306123,4,67.0,0,3
6,3,0.41925170068027384,4,2,0.1816326530612245,4,18.757142857142856,4,81.0,0,2
6,4,0.44036281179138115,4,2,0.20204081632653062,4,18.957142857142856,4,80.0,0,1
6,4,0.44036281179138115,4,2,0.1816326530612245,4,19.181632653061225,4,79.0,0,2
7,1,0.45356009070295045,4,6,0.17755102040816326,4,19.40612244897959,4,78.0,0,2
7,1,0.45356009070295045,4,6,0.07551020408163266,4,19.614285714285714,4,76.0,0,5
7,1,0.45356009070295045,4,6,0.14285714285714285,4,19.706122448979592,4,74.0,0,6
7,2,0.37841269841269565,4,2,0.15510204081632653,4,19.857142857142858,4,73.0,0,1
7,2,0.37841269841269565,4,2,0.16938775510204082,4,20.044897959183672,4,71.0,0,2
7,3,0.4507029478458051,4,2,0.18979591836734694,4,20.226530612244897,4,72.0,0,1
7,3,0.4507029478458051,4,2,0.14081632653061224,4,20.448979591836736,4,70.0,0,2
7,4,0.43478458049886726,4,2,0.20204081632653062,4,20.65918367346939,4,63.0,0,1
7,4,0.43478458049886726,4,2,0.08775510204081632,4,20.9,4,65.0,0,2
8,1,0.40099773242630476,4,6,0.044897959183673466,4,21.03265306122449,4,66.0,0,1
8,1,0.40099773242630476,4,6,0.02857142857142857,4,21.077551020408162,4,67.0,0,2
8,1,0.40099773242630476,4,6,0.3163265306122449,4,21.10612244897959,4,69.0,0,3
8,2,0.41884353741496483,4,4,0.24081632653061225,4,21.455102040816328,4,65.0,0,1
8,2,0.41884353741496483,4,4,0.061224489795918366,4,21.76734693877551,4,62.0,0,4
8,3,0.3866213151927447,4,1,0.3693877551020408,4,21.885714285714286,4,72.0,0,1
8,4,0.43253968253968367,4,2,0.21836734693877552,4,22.287755102040816,4,68.0,0,1
8,4,0.43253968253968367,4,2,1.8510204081632653,4,22.548979591836734,4,67.0,0,2
10,2,0.46453514739229007,4,6,0.1346938775510204,4,24.951020408163266,4,68.0,0,4
10,2,0.46453514739229007,4,6,0.12857142857142856,4,25.10408163265306,4,70.0,0,6
10,3,0.4221995464852597,4,2,0.3877551020408163,4,25.285714285714285,4,72.0,0,2
10,4,0.3885941043083925,4,3,0.12653061224489795,4,25.691836734693876,4,70.0,0,2
10,4,0.3885941043083925,4,3,0.1673469387755102,4,25.851020408163265,4,68.0,0,3
11,1,0.41918367346938723,4,1,1.2596825396825397,4,26.041179138321997,4,67.0,0,1
12,2,0.43539682539682545,4,4,0.11224489795918367,4,28.29591836734694,4,77.0,0,3
12,2,0.43539682539682545,4,4,0.10816326530612246,4,28.43673469387755,4,75.0,0,4
12,3,0.45226757369614745,4,3,0.11020408163265306,4,28.577551020408162,4,77.0,0,1
12,3,0.45226757369614745,4,3,0.11224489795918367,4,28.708163265306123,4,75.0,0,2
12,3,0.45226757369614745,4,3,0.12244897959183673,4,28.844897959183672,4,77.0,0,3
12,4,0.4152607709750562,4,3,0.12653061224489795,4,28.983673469387757,4,75.0,0,1
12,4,0.4152607709750562,4,3,0.09591836734693877,4,29.13061224489796,4,77.0,0,2
12,4,0.4152607709750562,4,3,0.09795918367346938,4,29.253061224489795,4,75.0,0,3
13,1,0.4351700680272117,4,1,0.5816326530612245,4,29.414285714285715,4,77.0,0,1
13,3,0.4097732426303864,4,2,0.11632653061224489,4,30.477551020408164,4,72.0,0,2
13,4,0.41242630385487544,4,3,0.22653061224489796,4,30.63469387755102,4,75.0,0,1
13,4,0.41242630385487544,4,3,0.14285714285714285,4,30.897959183673468,4,77.0,0,3
14,2,0.4060544217687081,4,2,2.3510204081632655,4,31.759092970521543,4,77.0,0,2
15,4,0.43603174603174466,4,4,0.10594104308390023,4,34.15074829931973,4,75.0,0,3
15,4,0.43603174603174466,4,4,0.10158730158730159,4,34.271201814058955,4,72.0,0,4
16,1,0.418934240362816,4,3,0.09723356009070294,4,34.38585034013605,4,75.0,0,1
16,1,0.418934240362816,4,3,0.11755102040816326,4,34.506303854875284,4,77.0,0,2
16,3,0.4515646258503381,4,2,0.10816326530612246,4,35.553061224489795,4,80.0,0,2
16,4,0.39448979591836775,4,1,0.16326530612244897,4,35.68571428571428,4,78.0,0,1
17,1,0.40789115646258267,4,2,0.07142857142857142,4,36.36938775510204,4,70.0,0,2
