bar,beat,beatdur,denom,division,duration,num,onset,period,pitch,subtatum,tatum
-1,3,0.3578911564625846,4,2,0.07448979591836735,4,4.310204081632653,4,57.0,0,2
-1,4,0.3580045351473924,4,3,0.17142857142857143,4,4.411224489795918,4,58.0,0,1
-1,4,0.3580045351473924,4,3,0.061224489795918366,4,4.669387755102041,4,55.0,0,3
0,1,0.3523356009070291,4,2,0.16122448979591836,4,4.774489795918368,4,57.0,0,1
0,1,0.3523356009070291,4,2,0.15306122448979592,4,4.957142857142857,4,58.0,0,2
0,2,0.34179138321995506,4,1,0.18877551020408162,4,5.145918367346939,4,60.0,0,1
0,3,0.33839002267573726,4,2,0.07346938775510205,4,5.691836734693878,4,57.0,0,2
0,4,0.3418820861678,4,3,0.16224489795918368,4,5.810204081632653,4,58.0,0,1
0,4,0.3418820861678,4,3,0.06834467120181406,4,6.055736961451247,4,60.0,0,3
1,1,0.3328117913832198,4,3,0.17510204081632652,4,6.158503401360544,4,62.0,0,1
1,1,0.3328117913832198,4,3,0.07959183673469387,4,6.387755102040816,4,58.0,0,3
1,2,0.3327664399092978,4,3,0.16979591836734695,4,6.493605442176871,4,60.0,0,1
1,2,0.3327664399092978,4,3,0.09868480725623582,4,6.734512471655329,4,57.0,0,3
1,3,0.3496371882086162,4,2,0.17922902494331067,4,6.878185941043084,4,58.0,0,1
1,3,0.3496371882086162,4,2,0.16399092970521542,4,7.088616780045352,4,60.0,0,2
1,4,0.3655782312925169,4,6,0.2198639455782313,4,7.2634920634920634,4,62.0,0,2
1,4,0.3655782312925169,4,6,0.07473922902494332,4,7.500045351473923,4,63.0,0,6
2,1,0.3521995464852612,4,1,0.26702947845804986,4,7.603083900226757,4,65.0,0,1
2,2,0.3284126984126985,4,4,0.1349659863945578,4,7.882448979591837,4,63.0,0,1
2,2,0.3284126984126985,4,4,0.5732426303854875,4,8.142947845804988,4,54.0,0,4
2,4,0.3482993197278912,4,2,0.1509297052154195,4,8.790022675736962,4,63.0,0,2
3,1,0.3366893424036288,4,1,0.1656235827664399,4,9.008027210884354,4,62.0,0,1
3,2,0.34249433106576,4,3,0.1509297052154195,4,9.251700680272108,4,58.0,0,1
3,2,0.34249433106576,4,3,0.09868480725623582,4,9.48390022675737,4,53.0,0,3
3,3,0.3395918367346926,4,3,0.08852607709750566,4,9.594195011337868,4,51.0,0,1
3,3,0.3395918367346926,4,3,0.16834467120181407,4,9.705102040816326,4,52.0,0,2
3,4,0.3384126984126983,4,1,0.14802721088435375,4,9.929433106575964,4,61.0,0,1
4,1,0.3552834467120185,4,1,0.3653061224489796,4,10.301020408163266,4,60.0,0,1
4,2,0.35521541950113367,4,3,0.14802721088435375,4,10.683356009070295,4,58.0,0,1
4,2,0.35521541950113367,4,3,0.15891156462585035,4,10.91265306122449,4,57.0,0,3
4,3,0.3413832199546487,4,2,0.12625850340136055,4,11.196009070294785,4,55.0,0,2
4,4,0.34841269841269806,4,2,0.13242630385487528,4,11.367256235827664,4,53.0,0,1
4,4,0.34841269841269806,4,2,0.10884353741496598,4,11.567891156462585,4,51.0,0,2
5,1,0.3329931972789115,4,3,0.18430839002267574,4,11.702857142857143,4,50.0,0,1
5,1,0.3329931972789115,4,3,0.19736961451247165,4,11.928526077097505,4,60.0,0,3
5,3,0.3480045351473926,4,1,0.3047619047619048,4,12.367528344671202,4,55.0,0,1
6,2,0.3525396825396818,4,2,0.11319727891156463,4,13.61124716553288,4,55.0,0,2
6,3,0.3229251700680287,4,3,0.15963718820861678,4,13.746213151927437,4,60.0,0,1
6,3,0.3229251700680287,4,3,0.08562358276643992,4,13.958095238095238,4,55.0,0,3
6,4,0.3374829931972787,4,3,0.17414965986394557,4,14.071292517006803,4,58.0,0,1
6,4,0.3374829931972787,4,3,0.1540816326530612,4,14.284693877551021,4,57.0,0,3
7,1,0.3427664399092958,4,2,0.4489795918367347,4,14.640816326530611,4,53.0,0,2
7,3,0.3481859410430843,4,2,0.17705215419501133,4,15.106757369614513,4,56.0,0,1
7,3,0.3481859410430843,4,2,0.14802721088435375,4,15.309931972789116,4,55.0,0,2
7,4,0.33283446712018083,4,4,0.21326530612244898,4,15.477551020408164,4,54.0,0,1
7,4,0.33283446712018083,4,4,0.08163265306122448,4,15.721360544217687,4,55.0,0,4
8,1,0.3570521541950118,4,1,0.3548299319727891,4,15.813514739229024,4,60.0,0,1
8,2,0.3524263038548767,4,2,0.15306122448979592,4,16.18979591836735,4,58.0,0,1
8,2,0.3524263038548767,4,2,0.07755102040816327,4,16.39387755102041,4,56.0,0,2
8,3,0.35809523809523824,4,3,0.22040816326530613,4,16.49795918367347,4,57.0,0,1
8,3,0.35809523809523824,4,3,0.05918367346938776,4,16.73673469387755,4,60.0,0,3
8,4,0.3495011337868448,4,4,0.06938775510204082,4,16.81020408163265,4,63.0,0,1
8,4,0.3495011337868448,4,4,0.2693877551020408,4,16.90204081632653,4,67.0,0,2
9,1,0.3366893424036306,4,1,0.6173469387755102,4,17.235714285714284,4,65.0,0,1
9,4,0.33290249433106567,4,4,0.10816326530612246,4,18.477551020408164,4,53.0,0,4
10,1,0.3568934240362829,4,2,0.1908390022675737,4,18.604988662131518,4,54.0,0,1
10,1,0.3568934240362829,4,2,0.10816326530612246,4,18.804081632653062,4,58.0,0,2
10,2,0.34287981859410266,4,3,0.1816326530612245,4,18.948979591836736,4,60.0,0,1
10,2,0.34287981859410266,4,3,0.11682539682539683,4,19.170249433106576,4,64.0,0,3
10,3,0.35791383219954653,4,1,0.2851700680272109,4,19.30666666666667,4,65.0,0,1
10,4,0.3321541950113378,4,4,0.18430839002267574,4,19.60126984126984,4,63.0,0,1
10,4,0.3321541950113378,4,4,0.17142857142857143,4,19.875510204081632,4,63.0,0,4
11,1,0.3580498866213162,4,2,0.11682539682539683,4,20.179591836734694,4,62.0,0,2
11,2,0.3328344671201826,4,4,0.21405895691609977,4,20.309478458049888,4,61.0,0,1
11,2,0.3328344671201826,4,4,0.1523809523809524,4,20.550385487528345,4,62.0,0,4
