bar,beat,beatdur,denom,division,duration,num,onset,period,pitch,subtatum,tatum
2,1,0.23685941043083858,4,1,0.3510204081632653,4,5.461224489795918,4,60.0,0,1
2,2,0.23685941043083858,4,4,0.5102040816326531,4,5.844897959183673,4,65.0,0,4
3,1,0.23207482993197281,4,1,0.3469387755102041,4,6.383673469387755,4,61.0,0,1
3,2,0.23207482993197281,4,2,0.44081632653061226,4,6.763265306122449,4,66.0,0,2
4,1,0.23243764172335535,4,1,0.35918367346938773,4,7.253061224489796,4,68.0,0,1
4,2,0.23243764172335624,4,2,0.7551020408163265,4,7.636734693877551,4,63.0,0,2
5,2,0.22871882086167794,4,1,0.17755102040816326,4,8.46734693877551,4,62.0,0,1
5,3,0.23517006802721063,4,1,0.2693877551020408,4,8.689795918367347,4,67.0,0,1
5,4,0.2351700680272124,4,2,0.11836734693877551,4,9.057142857142857,4,72.0,0,2
6,1,0.23727891156462633,4,2,0.27755102040816326,4,9.293877551020408,4,69.0,0,2
6,3,0.23498866213151892,4,1,0.24489795918367346,4,9.612244897959183,4,64.0,0,1
6,4,0.2349886621315207,4,1,0.2938775510204082,4,9.873469387755103,4,65.0,0,1
7,1,0.22479591836734691,4,2,0.17142857142857143,4,10.187755102040816,4,64.0,0,2
7,2,0.22479591836734691,4,2,0.30612244897959184,4,10.440816326530612,4,74.0,0,2
7,4,0.22903628117913755,4,1,0.17142857142857143,4,10.759183673469387,4,72.0,0,1
8,1,0.2388662131519279,4,1,0.19591836734693877,4,11.012244897959183,4,66.0,0,1
8,3,0.2325396825396826,4,2,0.14081632653061224,4,11.546938775510204,4,77.0,0,2
8,4,0.2325396825396826,4,2,0.11836734693877551,4,11.69795918367347,4,75.0,0,1
8,4,0.2325396825396826,4,2,0.10204081632653061,4,11.820408163265306,4,73.0,0,2
9,4,0.24010204081632658,4,2,0.13673469387755102,4,12.80204081632653,4,71.0,0,2
10,1,0.23521541950113267,4,3,0.08979591836734693,4,12.951020408163265,4,69.0,0,2
10,1,0.23521541950113267,4,3,0.1836734693877551,4,13.048979591836735,4,71.0,0,3
10,4,0.22486394557823175,4,4,0.17551020408163254,4,13.755102040816327,4,68.0,0,4
11,1,0.22293650793650777,4,2,0.09387755102040707,4,13.93061224489796,4,66.0,0,2
11,2,0.22293650793650777,4,1,0.17959183673469387,4,14.024489795918367,4,68.0,0,1
11,4,0.21765306122449068,4,3,0.15102040816326578,4,14.440816326530612,4,61.0,0,1
11,4,0.21765306122449068,4,3,0.09795918367346879,4,14.591836734693878,4,59.0,0,3
12,1,0.22240362811791492,4,1,0.24489795918367346,4,14.689795918367347,4,61.0,0,1
13,1,0.24240362811791272,4,2,0.11609977324263039,4,15.737324263038548,4,55.0,0,2
13,2,0.24240362811791272,4,1,0.13931972789115646,4,15.865034013605442,4,56.0,0,1
13,3,0.22825396825396638,4,2,0.07959183673469387,4,16.18979591836735,4,58.0,0,2
13,4,0.22825396825396993,4,1,0.11029478458049886,4,16.27138321995465,4,60.0,0,1
14,1,0.22729024943310705,4,2,0.10408163265306122,4,16.6265306122449,4,62.0,0,2
14,2,0.22729024943310705,4,1,0.13931972789115646,4,16.73578231292517,4,63.0,0,1
14,3,0.2371088435374169,4,4,0.10816326530612246,4,17.046938775510203,4,65.0,0,2
14,3,0.2371088435374169,4,4,0.13931972789115646,4,17.15714285714286,4,66.0,0,4
15,2,0.23482993197279,4,2,0.11224489795918367,4,17.804081632653062,4,69.0,0,2
15,3,0.2404875283446728,4,4,0.12612244897959002,4,17.979637188208617,4,66.0,0,2
15,3,0.2404875283446728,4,4,0.10448979591836735,4,18.105759637188207,4,62.0,0,4
15,4,0.24048752834466924,4,1,0.09287981859410431,4,18.216054421768707,4,59.0,0,1
16,4,0.22326530612244966,4,2,0.1673469387755102,4,19.240816326530613,4,59.0,0,2
17,1,0.21580498866213205,4,4,0.13351473922902493,4,19.481541950113378,4,64.0,0,4
17,2,0.21580498866213205,4,2,0.10448979591836735,4,19.615056689342403,4,66.0,0,2
17,3,0.22115646258503574,4,2,0.10816326530612246,4,19.8265306122449,4,68.0,0,2
17,4,0.2211564625850322,4,2,0.09387755102040816,4,20.051020408163264,4,69.0,0,2
18,1,0.21684807256236027,4,2,0.11029478458049624,4,20.276825396825398,4,67.0,0,2
18,2,0.21684807256235672,4,3,0.1451247165532905,4,20.387120181405894,4,64.0,0,1
18,2,0.21684807256235672,4,3,0.12770975056689343,4,20.532244897959185,4,59.0,0,3
18,3,0.23032879818594054,4,1,0.12770975056689343,4,20.66575963718821,4,62.0,0,1
18,4,0.23032879818594054,4,1,0.20317460317460317,4,20.839909297052156,4,62.0,0,1
20,1,0.23408163265306214,4,1,0.301859410430839,4,21.989297052154196,4,60.0,0,1
20,2,0.23408163265306214,4,2,0.5863038548752835,4,22.349206349206348,4,65.0,0,2
21,1,0.23986394557822877,4,2,0.07755102040816327,4,23.026530612244898,4,58.0,0,2
21,2,0.23986394557823232,4,2,0.5224489795918368,4,23.23736961451247,4,63.0,0,2
22,1,0.22200680272108642,4,1,0.1219047619047619,4,23.81641723356009,4,59.0,0,1
22,2,0.22200680272108997,4,1,0.5469387755102041,4,24.048979591836734,4,66.0,0,1
22,4,0.22708616780045432,4,2,0.17414965986394557,4,24.636371882086166,4,67.0,0,2
23,1,0.22089569160997868,4,2,0.29024943310657597,4,24.90340136054422,4,59.0,0,2
23,3,0.2294784580498863,4,2,0.11020408163265306,4,25.210204081632654,4,58.0,0,1
23,3,0.2294784580498863,4,2,0.19736961451247165,4,25.3265306122449,4,59.0,0,2
25,1,0.22549886621315096,4,2,0.13931972789115646,4,26.691337868480726,4,67.0,0,2
25,2,0.22549886621315096,4,2,0.09868480725623582,4,26.830657596371882,4,69.0,0,1
25,2,0.22549886621315096,4,2,0.156734693877551,4,26.952562358276644,4,71.0,0,2
25,3,0.22197278911564666,4,2,0.13351473922902493,4,27.155736961451247,4,69.0,0,2
25,4,0.22197278911564666,4,2,0.10448979591836735,4,27.295056689342402,4,67.0,0,1
25,4,0.22197278911564666,4,2,0.052244897959183675,4,27.416961451247165,4,65.0,0,2
26,1,0.2193990929705194,4,1,0.18775510204081633,4,27.518367346938774,4,71.0,0,1
28,1,0.23299319727891188,4,2,0.12448979591836734,4,29.446938775510205,4,69.0,0,2
28,2,0.23299319727891188,4,2,0.10816326530612246,4,29.579591836734693,4,70.0,0,1
28,2,0.23299319727891188,4,2,0.1326530612244898,4,29.687755102040818,4,72.0,0,2
28,3,0.23642857142856855,4,2,0.09287981859410431,4,29.826031746031745,4,74.0,0,1
28,3,0.23642857142856855,4,2,0.1219047619047619,4,29.930521541950114,4,76.0,0,2
28,4,0.2364285714285721,4,2,0.09287981859410431,4,30.058231292517007,4,74.0,0,1
28,4,0.2364285714285721,4,2,0.1219047619047619,4,30.168526077097507,4,72.0,0,2
29,1,0.22450113378684833,4,2,0.0836734693877551,4,30.291836734693877,4,69.0,0,1
29,1,0.22450113378684833,4,2,0.10231292517006807,4,30.37750566893424,4,67.0,0,2
29,2,0.22450113378684833,4,1,0.13351473922902493,4,30.47981859410431,4,69.0,0,1
29,3,0.23908163265306115,4,1,0.15510204081632653,4,30.710204081632654,4,67.0,0,1
32,1,0.23443310657596328,4,2,0.10816326530612246,4,33.1204081632653,4,75.0,0,2
32,2,0.23443310657596328,4,2,0.1469387755102041,4,33.357142857142854,4,71.0,0,2
32,3,0.23251700680272336,4,2,0.11836734693877551,4,33.577551020408166,4,67.0,0,2
32,4,0.23251700680272336,4,2,0.12857142857142856,4,33.82857142857143,4,73.0,0,2
33,1,0.22581632653061234,4,2,0.14512471655328799,4,34.02303854875284,4,69.0,0,2
33,2,0.22581632653061234,4,4,0.08707482993197278,4,34.30167800453515,4,65.0,0,4
33,3,0.2393877551020367,4,1,0.23800453514739228,4,34.40616780045352,4,71.0,0,1
33,4,0.2393877551020438,4,4,0.12190476190475863,4,34.64997732426304,4,68.0,0,2
33,4,0.2393877551020438,4,4,0.08707482993197278,4,34.7718820861678,4,65.0,0,4
34,1,0.23784580498866603,4,1,0.17124716553287983,4,34.8734693877551,4,69.0,0,1
34,2,0.23784580498865893,4,3,0.06385487528344672,4,35.05052154195011,4,66.0,0,1
34,2,0.23784580498865893,4,3,0.0928798185940991,4,35.14920634920635,4,62.0,0,2
34,2,0.23784580498865893,4,3,0.14512471655328799,4,35.24208616780045,4,66.0,0,3
34,3,0.24167800453514587,4,4,0.08707482993197278,4,35.39301587301587,4,62.0,0,2
34,3,0.24167800453514587,4,4,0.11029478458049886,4,35.50331065759637,4,66.0,0,4
34,4,0.24167800453514587,4,4,0.12770975056689338,4,35.619410430839004,4,62.0,0,2
34,4,0.24167800453514587,4,4,0.08126984126983672,4,35.7471201814059,4,59.0,0,4
35,1,0.24816326530612542,4,3,0.17414965986394557,4,35.828390022675734,4,67.0,0,1
35,1,0.24816326530612542,4,3,0.09287981859410431,4,36.002539682539684,4,64.0,0,3
35,2,0.24816326530611832,4,2,0.07546485260770976,4,36.09832199546485,4,65.0,0,1
35,2,0.24816326530611832,4,2,0.13931972789115646,4,36.19700680272109,4,67.0,0,2
35,3,0.24185941043084114,4,3,0.08126984126984127,4,36.3740589569161,4,68.0,0,2
35,3,0.24185941043084114,4,3,0.08997732426303855,4,36.472743764172336,4,70.0,0,3
35,4,0.24185941043084114,4,2,0.08997732426303855,4,36.57142857142857,4,71.0,0,1
35,4,0.24185941043084114,4,2,0.06385487528344672,4,36.6875283446712,4,68.0,0,2
