bar,beat,beatdur,denom,division,duration,num,onset,period,pitch,subtatum,tatum
-7,4,0.2002721088435373,4,2,0.10448979591836735,4,2.345215419501134,4,65.0,0,2
-6,1,0.18285714285714283,4,2,0.09591836734693882,4,2.475510204081633,4,62.0,0,2
-6,2,0.20607709750566894,4,4,0.05510204081632653,4,2.5714285714285716,4,58.0,0,1
-6,2,0.20607709750566894,4,4,0.08571428571428572,4,2.630612244897959,4,55.0,0,2
-6,2,0.20607709750566894,4,4,0.15714285714285714,4,2.73265306122449,4,56.0,0,4
-6,4,0.18285714285714283,4,2,0.14081632653061224,4,3.0510204081632653,4,65.0,0,2
-5,3,0.1969614512471658,4,4,0.09795918367346923,4,3.5877551020408163,4,65.0,0,2
-5,3,0.1969614512471658,4,4,0.08163265306122448,4,3.6857142857142855,4,63.0,0,4
-5,4,0.18997732426303848,4,3,0.03877551020408163,4,3.779591836734694,4,60.0,0,2
-5,4,0.18997732426303848,4,3,0.04897959183673469,4,3.8346938775510204,4,57.0,0,3
-4,1,0.2000453514739231,4,3,0.12040816326530612,4,3.938775510204082,4,56.0,0,1
-4,1,0.2000453514739231,4,3,0.04285714285714286,4,4.063265306122449,4,57.0,0,3
-4,2,0.21471655328798178,4,2,0.14693877551020407,4,4.236734693877551,4,65.0,0,2
-4,3,0.20807256235827598,4,4,0.04081632653061224,4,4.383673469387755,4,63.0,0,2
-4,3,0.20807256235827598,4,4,0.04081632653061224,4,4.43265306122449,4,60.0,0,3
-4,3,0.20807256235827598,4,4,0.07959183673469387,4,4.5,4,57.0,0,4
-4,4,0.20852607709750615,4,2,0.0783673469387755,4,4.658503401360544,4,55.0,0,2
-3,1,0.2063492063492065,4,3,0.07401360544217717,4,4.741224489795918,4,56.0,0,1
-3,1,0.2063492063492065,4,3,0.1073922902494331,4,4.8152380952380955,4,57.0,0,2
-3,2,0.1945124716553286,4,2,0.12625850340136055,4,5.037278911564626,4,57.0,0,2
-3,3,0.18893424036281203,4,2,0.11609977324263039,4,5.233197278911565,4,61.0,0,2
-3,4,0.20417233560090686,4,2,0.056598639455782314,4,5.455238095238095,4,65.0,0,2
-2,1,0.21240362811791336,4,2,0.12335600907029409,4,5.52780045351474,4,69.0,0,1
-2,1,0.21240362811791336,4,2,0.09287981859410431,4,5.651156462585034,4,67.0,0,2
-2,2,0.20800453514739292,4,2,0.11319727891156463,4,5.751292517006803,4,65.0,0,1
-2,2,0.20800453514739292,4,2,0.08707482993197278,4,5.8659410430839,4,63.0,0,2
-2,3,0.22308390022675706,4,4,0.03918367346938775,4,5.966077097505669,4,65.0,0,1
-2,3,0.22308390022675706,4,4,0.07401360544217628,4,6.018321995464853,4,64.0,0,2
-2,3,0.22308390022675706,4,4,0.052244897959183675,4,6.092335600907029,4,62.0,0,3
-2,3,0.22308390022675706,4,4,0.047891156462585016,4,6.150385487528345,4,63.0,0,4
-2,4,0.19446712018140566,4,1,0.10594104308390023,4,6.19827664399093,4,61.0,0,1
0,4,0.19947845804988695,4,4,0.058049886621314606,4,7.938321995464853,4,63.0,0,4
1,1,0.1941950113378681,4,3,0.05369614512471655,4,7.996371882086168,4,65.0,0,1
1,1,0.1941950113378681,4,3,0.04353741496598639,4,8.050068027210884,4,66.0,0,2
1,1,0.1941950113378681,4,3,0.11755102040816467,4,8.11392290249433,4,68.0,0,3
1,2,0.19609977324263106,4,3,0.0682086167800442,4,8.231473922902495,4,64.0,0,2
1,2,0.19609977324263106,4,3,0.08272108843537415,4,8.29968253968254,4,61.0,0,3
1,3,0.19317460317460267,4,2,0.07981859410430839,4,8.39546485260771,4,60.0,0,1
1,3,0.19317460317460267,4,2,0.07546485260770976,4,8.485442176870748,4,59.0,0,2
1,4,0.19231292517006793,4,1,0.1726984126984127,4,8.573968253968253,4,55.0,0,1
2,1,0.21369614512471635,4,2,0.09723356009070372,4,8.782947845804989,4,57.0,0,1
2,1,0.21369614512471635,4,2,0.11029478458049886,4,8.880181405895692,4,48.0,0,2
2,2,0.2119954648526079,4,2,0.09868480725623563,4,9.000634920634921,4,50.0,0,1
2,2,0.2119954648526079,4,2,0.06820861678004597,4,9.099319727891157,4,52.0,0,2
2,3,0.20639455782312943,4,2,0.09142857142857143,4,9.167528344671203,4,55.0,0,1
2,3,0.20639455782312943,4,2,0.10448979591836735,4,9.270566893424036,4,52.0,0,2
2,4,0.21097505668934247,4,2,0.07256235827664399,4,9.399727891156463,4,53.0,0,1
2,4,0.21097505668934247,4,2,0.08997732426303855,4,9.48390022675737,4,55.0,0,2
3,1,0.18961451247165506,4,2,0.08707482993197324,4,9.581133786848072,4,57.0,0,1
3,1,0.18961451247165506,4,2,0.08272108843537415,4,9.668208616780046,4,58.0,0,2
3,2,0.18947845804988717,4,2,0.09287981859410444,4,9.77124716553288,4,60.0,0,1
3,2,0.18947845804988717,4,2,0.08562358276643992,4,9.864126984126985,4,62.0,0,2
3,3,0.2061678004535139,4,2,0.11609977324263039,4,9.967165532879818,4,63.0,0,1
