bar,beat,beatdur,denom,division,duration,num,onset,period,pitch,subtatum,tatum
-2,1,0.3320408163265306,4,4,0.10408163265306122,4,0.8836734693877552,4,67.0,0,4
-2,2,0.30374149659863936,4,2,0.1306122448979592,4,1.006122448979592,4,65.0,0,1
-2,2,0.30374149659863936,4,2,0.14489795918367346,4,1.1448979591836734,4,63.0,0,2
-2,3,0.31721088435374156,4,2,0.12653061224489795,4,1.3061224489795917,4,62.0,0,1
-2,3,0.31721088435374156,4,2,0.14489795918367346,4,1.4673469387755103,4,63.0,0,2
-2,4,0.2830385487528344,4,4,0.09795918367346938,4,1.6326530612244898,4,65.0,0,2
-2,4,0.2830385487528344,4,4,0.13673469387755102,4,1.7857142857142858,4,67.0,0,4
-1,1,0.33612244897959176,4,3,0.12653061224489795,4,1.9591836734693877,4,70.0,0,2
-1,1,0.33612244897959176,4,3,0.0836734693877551,4,2.1010204081632655,4,71.0,0,3
-1,2,0.3030612244897961,4,4,0.07857142857142857,4,2.2020408163265306,4,72.0,0,1
-1,2,0.3030612244897961,4,4,0.12448979591836734,4,2.2918367346938777,4,73.0,0,2
-1,2,0.3030612244897961,4,4,0.19489795918367347,4,2.4346938775510205,4,74.0,0,4
-1,3,0.3128798185941042,4,2,0.10102040816326531,4,2.664285714285714,4,71.0,0,2
-1,4,0.2633106575963722,4,1,0.12755102040816327,4,2.7908163265306123,4,67.0,0,1
0,1,0.2757596371882083,4,4,0.11326530612244898,4,3.0673469387755103,4,70.0,0,1
0,1,0.2757596371882083,4,4,0.2673469387755102,4,3.279591836734694,4,71.0,0,4
0,3,0.31376417233560083,4,4,0.0836734693877551,4,3.595918367346939,4,66.0,0,1
0,3,0.31376417233560083,4,4,0.11632653061224489,4,3.7020408163265306,4,70.0,0,2
0,3,0.31376417233560083,4,4,0.11530612244897959,4,3.8510204081632655,4,67.0,0,4
0,4,0.3039455782312923,4,2,0.07244897959183673,4,3.989795918367347,4,65.0,0,1
0,4,0.3039455782312923,4,2,0.07755102040816327,4,4.154081632653061,4,65.0,0,2
1,1,0.311632653061225,4,1,0.15306122448979592,4,4.271428571428571,4,67.0,0,1
1,3,0.29344671201814077,4,2,0.1663265306122449,4,4.830612244897959,4,65.0,0,1
1,3,0.29344671201814077,4,2,0.10510204081632653,4,5.011224489795918,4,63.0,0,2
2,1,0.30088435374149647,4,3,0.17959183673469387,4,5.4622448979591836,4,62.0,0,1
2,1,0.30088435374149647,4,3,0.0836734693877551,4,5.6571428571428575,4,63.0,0,3
2,2,0.30793650793650773,4,1,0.24693877551020407,4,5.78469387755102,4,65.0,0,1
2,3,0.31009070294784546,4,1,0.25612244897959185,4,6.0561224489795915,4,63.0,0,1
2,4,0.2784807256235835,4,1,0.15612244897959185,4,6.365306122448979,4,60.0,0,1
3,1,0.30666666666666664,4,1,0.6020408163265306,4,6.621428571428571,4,63.0,0,1
3,3,0.32074829931972726,4,1,0.21224489795918366,4,7.271428571428571,4,65.0,0,1
4,2,0.3073696145124707,4,3,0.19591836734693877,4,8.145918367346939,4,67.0,0,1
4,2,0.3073696145124707,4,3,0.11326530612244898,4,8.347959183673469,4,65.0,0,3
4,3,0.3266213151927442,4,3,0.1836734693877551,4,8.472448979591837,4,63.0,0,1
4,3,0.3266213151927442,4,3,0.12448979591836734,4,8.688775510204081,4,62.0,0,3
4,4,0.2983446712018143,4,2,0.16224489795918368,4,8.93265306122449,4,60.0,0,2
5,1,0.272947845804989,4,4,0.14183673469387756,4,9.259183673469387,4,63.0,0,4
5,3,0.31931972789115726,4,1,0.1989795918367347,4,9.676530612244898,4,62.0,0,1
5,4,0.3001587301587296,4,1,0.19081632653061226,4,9.923469387755102,4,58.0,0,1
6,1,0.29158730158730073,4,1,0.18061224489795918,4,10.287755102040816,4,62.0,0,1
6,3,0.29825396825396844,4,4,0.19489795918367347,4,10.860204081632654,4,60.0,0,1
6,3,0.29825396825396844,4,4,0.09591836734693877,4,11.072448979591837,4,58.0,0,4
6,4,0.29825396825396666,4,2,0.24090702947845805,4,11.206530612244897,4,55.0,0,2
7,1,0.3118140589569176,4,1,0.5427664399092971,4,11.467755102040817,4,55.0,0,1
7,3,0.31505668934240383,4,1,0.12755102040816327,4,12.036734693877552,4,55.0,0,1
9,2,0.30811791383220033,4,1,0.20816326530612245,4,14.109183673469389,4,67.0,0,1
9,3,0.3052834467120178,4,1,0.5673469387755102,4,14.429591836734694,4,71.0,0,1
10,1,0.3061451247165543,4,1,0.15306122448979592,4,15.018367346938776,4,74.0,0,1
10,2,0.292675736961451,4,1,0.1346938775510204,4,15.286734693877552,4,65.0,0,1
11,1,0.2912698412698411,4,1,0.4846938775510204,4,16.16938775510204,4,63.0,0,1
11,3,0.2904535147392302,4,1,0.20204081632653062,4,16.81020408163265,4,72.0,0,1
11,4,0.27873015873015916,4,1,0.2540816326530612,4,17.087755102040816,4,62.0,0,1
12,1,0.3082312925170072,4,1,0.25,4,17.374489795918368,4,60.0,0,1
12,2,0.2930839002267547,4,1,0.28877551020408165,4,17.666326530612245,4,63.0,0,1
12,3,0.3030612244897988,4,1,0.20408163265306123,4,17.973469387755102,4,57.0,0,1
13,4,0.2928344671201799,4,1,0.19285714285714287,4,19.42448979591837,4,67.0,0,1
14,1,0.29276643990929685,4,1,0.17448979591836736,4,19.766326530612243,4,70.0,0,1
14,2,0.28358276643990976,4,4,0.1520408163265306,4,20.044897959183672,4,71.0,0,1
14,2,0.28358276643990976,4,4,0.09183673469387756,4,20.25204081632653,4,74.0,0,4
14,3,0.30231292517006736,4,2,0.15612244897959185,4,20.408163265306122,4,67.0,0,2
14,4,0.30315192743764285,4,1,0.15714285714285714,4,20.617346938775512,4,71.0,0,1
15,1,0.2977551020408171,4,1,0.15510204081632653,4,20.875510204081632,4,70.0,0,1
15,2,0.3017687074829922,4,4,0.11530612244897959,4,21.176530612244896,4,67.0,0,1
15,2,0.3017687074829922,4,4,0.05612244897959184,4,21.433673469387756,4,63.0,0,4
