bar,beat,beatdur,denom,division,duration,num,onset,period,pitch,subtatum,tatum
0,1,0.3253061224489793,4,2,0.18285714285714286,4,4.504671201814059,4,70.0,0,2
0,2,0.3324489795918373,4,4,0.09868480725623582,4,4.693333333333333,4,68.0,0,2
0,2,0.3324489795918373,4,4,0.603718820861678,4,4.887800453514739,4,70.0,0,4
0,4,0.3280725623582761,4,4,0.08775510204081632,4,5.56734693877551,4,63.0,0,4
1,1,0.3230839002267576,4,1,0.28775510204081634,4,5.661224489795918,4,67.0,0,1
1,2,0.3227664399092971,4,3,0.1509297052154195,4,5.96172335600907,4,68.0,0,1
1,2,0.3227664399092971,4,3,0.6591836734693878,4,6.16734693877551,4,70.0,0,3
1,4,0.32174603174603167,4,4,0.06326530612244897,4,6.846938775510204,4,63.0,0,4
2,1,0.32902494331065757,4,3,0.21768707482993196,4,6.926530612244898,4,66.0,0,1
2,1,0.32902494331065757,4,3,0.1510204081632653,4,7.146938775510204,4,63.0,0,3
2,2,0.330680272108844,4,4,0.056598639455782314,4,7.305578231292517,4,68.0,0,2
2,2,0.330680272108844,4,4,0.10448979591836735,4,7.365079365079365,4,66.0,0,3
2,2,0.330680272108844,4,4,0.22639455782312926,4,7.497868480725623,4,70.0,0,4
2,3,0.3293877551020401,4,2,0.156734693877551,4,7.748208616780046,4,63.0,0,2
3,1,0.3347392290249438,4,2,0.1364172335600907,4,8.4259410430839,4,63.0,0,2
3,2,0.32802721088435227,4,3,0.09650793650793651,4,8.56938775510204,4,67.0,0,1
3,2,0.32802721088435227,4,3,0.09650793650793651,4,8.672448979591836,4,68.0,0,2
3,2,0.32802721088435227,4,3,0.09287981859410431,4,8.775510204081632,4,67.0,0,3
3,3,0.3306575963718821,4,6,0.19446712018140588,4,8.889614512471656,4,70.0,0,1
3,3,0.3306575963718821,4,6,0.25614512471655326,4,9.18421768707483,4,70.0,0,6
3,4,0.3421995464852614,4,2,0.1349659863945578,4,9.450521541950113,4,68.0,0,2
4,1,0.3129024943310661,4,4,0.11755102040816326,4,9.6,4,67.0,0,2
4,1,0.3129024943310661,4,4,0.09505668934240363,4,9.723356009070296,4,63.0,0,3
4,1,0.3129024943310661,4,4,0.07328798185941043,4,9.83061224489796,4,67.0,0,4
4,2,0.32997732426303905,4,4,0.09868480725623582,4,9.929591836734694,4,65.0,0,2
4,2,0.32997732426303905,4,4,0.09591836734693877,4,10.028571428571428,4,61.0,0,3
4,2,0.32997732426303905,4,4,0.09285714285714286,4,10.129591836734694,4,65.0,0,4
4,3,0.33124716553287925,4,1,0.5282539682539683,4,10.22984126984127,4,63.0,0,1
4,4,0.33673469387755084,4,4,0.08877551020408163,4,10.816326530612244,4,63.0,0,4
5,1,0.3234013605442172,4,3,0.10884353741496598,4,11.012063492063492,4,68.0,0,2
5,1,0.3234013605442172,4,3,0.11174603174603175,4,11.135419501133788,4,70.0,0,3
5,2,0.3391156462585041,4,2,0.6429024943310657,4,11.329886621315193,4,72.0,0,2
5,4,0.32689342403628174,4,3,0.08852607709750566,4,12.0,4,68.0,0,2
5,4,0.32689342403628174,4,3,0.10204081632653061,4,12.11530612244898,4,73.0,0,3
6,1,0.3363718820861674,4,3,0.11224489795918367,4,12.23265306122449,4,72.0,0,1
6,1,0.3363718820861674,4,3,0.06326530612244897,4,12.361224489795918,4,68.0,0,2
6,1,0.3363718820861674,4,3,0.10594104308390023,4,12.434285714285714,4,72.0,0,3
6,2,0.3489795918367342,4,3,0.12755102040816327,4,12.548979591836735,4,68.0,0,1
6,2,0.3489795918367342,4,3,0.11727891156462533,4,12.686802721088435,4,63.0,0,2
