bar,beat,beatdur,denom,division,duration,num,onset,period,pitch,subtatum,tatum
1,2,0.413990929705216,4,4,0.18575963718820862,4,10.414149659863945,4,63.0,0,4
1,3,0.42505668934240326,4,2,0.2728344671201814,4,10.646349206349207,4,65.0,0,2
1,4,0.44367346938775576,4,6,0.24961451247165534,4,10.922086167800453,4,63.0,0,1
1,4,0.44367346938775576,4,6,0.08126984126984127,4,11.215238095238096,4,64.0,0,5
1,4,0.44367346938775576,4,6,0.8068934240362812,4,11.316825396825397,4,65.0,0,6
2,2,0.4661904761904765,4,2,0.1799546485260771,4,12.152743764172335,4,63.0,0,2
2,3,0.4622902494331065,4,4,0.23510204081632652,4,12.373333333333333,4,65.0,0,2
2,3,0.4622902494331065,4,4,0.22058956916099773,4,12.64907029478458,4,63.0,0,4
2,4,0.4275283446712006,4,3,0.12142857142857143,4,12.904081632653062,4,66.0,0,2
2,4,0.4275283446712006,4,3,0.3326530612244898,4,13.044897959183674,4,70.0,0,3
3,1,0.423741496598641,4,2,1.4106122448979592,4,13.415328798185941,4,70.0,0,2
4,2,0.438911564625851,4,2,0.1520408163265306,4,15.537755102040816,4,69.0,0,2
4,3,0.44607709750566826,4,1,0.592108843537415,4,15.699591836734694,4,72.0,0,1
4,4,0.41829931972789325,4,3,0.13351473922902493,4,16.31201814058957,4,68.0,0,2
4,4,0.41829931972789325,4,3,0.10102040816326531,4,16.459183673469386,4,65.0,0,3
5,1,0.4182993197278897,4,1,0.7546485260770975,4,16.58485260770975,4,63.0,0,1
5,4,0.43267573696145334,4,3,0.11319727891156463,4,17.96643990929705,4,68.0,0,2
5,4,0.43267573696145334,4,3,0.1306122448979592,4,18.114467120181406,4,70.0,0,3
6,1,0.43219954648526127,4,4,0.13351473922902493,4,18.28281179138322,4,68.0,0,1
6,1,0.43219954648526127,4,4,0.07346938775510205,4,18.526530612244898,4,68.0,0,3
6,1,0.43219954648526127,4,4,0.19795918367346937,4,18.620408163265306,4,69.0,0,4
6,2,0.4315646258503385,4,1,0.1989795918367347,4,18.841836734693878,4,68.0,0,1
6,3,0.40612244897959116,4,4,0.2728344671201814,4,19.13324263038549,4,67.0,0,1
6,3,0.40612244897959116,4,4,0.2815419501133787,4,19.464126984126985,4,68.0,0,4
6,4,0.4290249433106581,4,2,0.1489795918367347,4,19.809183673469388,4,71.0,0,2
7,1,0.43061224489796146,4,1,0.8678458049886622,4,19.96625850340136,4,75.0,0,1
7,4,0.42659863945577925,4,4,0.13424036281179139,4,21.404444444444444,4,73.0,0,2
7,4,0.42659863945577925,4,4,0.10158730158730159,4,21.5459410430839,4,72.0,0,3
7,4,0.42659863945577925,4,4,0.13569160997732427,4,21.661315192743764,4,70.0,0,4
8,1,0.4426984126984159,4,1,0.9673469387755103,4,21.83877551020408,4,69.0,0,1
8,3,0.42557823129251915,4,4,0.04498866213151927,4,22.839727891156464,4,67.0,0,3
8,3,0.42557823129251915,4,4,0.0761904761904762,4,22.896326530612246,4,66.0,0,4
8,4,0.4183673469387763,4,4,0.07473922902494332,4,22.98702947845805,4,64.0,0,1
8,4,0.4183673469387763,4,4,0.3408163265306122,4,23.071428571428573,4,63.0,0,2
9,1,0.4231519274376403,4,4,0.10376417233560091,4,23.42312925170068,4,61.0,0,1
9,1,0.4231519274376403,4,4,0.2836734693877551,4,23.534149659863946,4,63.0,0,2
9,2,0.4569841269841284,4,1,0.6008163265306122,4,23.883174603174602,4,58.0,0,1
10,1,0.4288662131519274,4,4,0.07040816326530612,4,25.309183673469388,4,72.0,0,2
10,1,0.4288662131519274,4,4,0.3836734693877551,4,25.39387755102041,4,73.0,0,3
10,2,0.4417913832199538,4,3,0.09795918367346938,4,25.79591836734694,4,71.0,0,2
10,2,0.4417913832199538,4,3,0.1469387755102041,4,25.910204081632653,4,70.0,0,3
10,3,0.43333333333333357,4,4,0.18571428571428572,4,26.17142857142857,4,70.0,0,2
10,3,0.43333333333333357,4,4,0.09387755102040816,4,26.42448979591837,4,66.0,0,4
10,4,0.41306122448979465,4,3,0.08775510204081632,4,26.63469387755102,4,66.0,0,2
10,4,0.41306122448979465,4,3,0.15306122448979592,4,26.793877551020408,4,73.0,0,3
11,1,0.42907029478458014,4,4,0.07546485260770976,4,27.022222222222222,4,63.0,0,2
11,1,0.42907029478458014,4,4,0.5137414965986394,4,27.123809523809523,4,65.0,0,3
11,2,0.44056689342403743,4,4,0.6733786848072563,4,27.68689342403628,4,65.0,0,4
11,4,0.43403628117913584,4,6,0.07142857142857142,4,28.47419501133787,4,63.0,0,5
11,4,0.43403628117913584,4,6,0.06458049886621316,4,28.55764172335601,4,65.0,0,6
12,1,0.4106575963718839,4,7,0.07346938775510205,4,28.64081632653061,4,68.0,0,1
12,1,0.4106575963718839,4,7,0.07981859410430839,4,28.733242630385487,4,66.0,0,3
12,1,0.4106575963718839,4,7,0.08562358276643992,4,28.817414965986394,4,63.0,0,4
12,1,0.4106575963718839,4,7,0.08489795918367347,4,28.913197278911564,4,61.0,0,6
12,1,0.4106575963718839,4,7,0.10303854875283447,4,29.011156462585035,4,59.0,0,7
12,2,0.42210884353741207,4,8,0.06312925170068028,4,29.13233560090703,4,58.0,0,3
12,2,0.42210884353741207,4,8,0.13206349206349208,4,29.206349206349206,4,57.0,0,4
12,2,0.42210884353741207,4,8,0.029024943310657598,4,29.363809523809525,4,60.0,0,7
12,2,0.42210884353741207,4,8,0.050793650793650794,4,29.39936507936508,4,59.0,0,8
12,3,0.4370748299319729,4,6,0.11632653061224489,4,29.455102040816328,4,56.0,0,1
12,3,0.4370748299319729,4,6,0.0673469387755102,4,29.602040816326532,4,59.0,0,3
12,3,0.4370748299319729,4,6,0.05714285714285714,4,29.687755102040818,4,57.0,0,4
12,3,0.4370748299319729,4,6,0.061224489795918366,4,29.775510204081634,4,55.0,0,5
12,3,0.4370748299319729,4,6,0.07346938775510205,4,29.857142857142858,4,54.0,0,6
12,4,0.4213151927437657,4,4,0.06385487528344672,4,29.944308390022677,4,52.0,0,1
12,4,0.4213151927437657,4,4,0.17052154195011338,4,30.01687074829932,4,51.0,0,2
13,2,0.408163265306122,4,2,0.18285714285714286,4,31.01750566893424,4,61.0,0,2
13,3,0.4370068027210898,4,4,0.3020408163265306,4,31.216326530612246,4,63.0,0,1
13,3,0.4370068027210898,4,4,0.2452607709750567,4,31.53052154195011,4,65.0,0,4
13,4,0.4089569160997719,4,2,0.14947845804988663,4,31.866485260770975,4,66.0,0,2
14,1,0.43975056689342296,4,1,1.1421315192743764,4,32.03192743764173,4,68.0,0,1
14,3,0.4313832199546468,4,4,0.1654421768707483,4,33.22195011337868,4,68.0,0,4
14,4,0.4108163265306146,4,2,0.12480725623582767,4,33.509297052154196,4,68.0,0,2
15,1,0.4281859410430826,4,2,0.1306122448979592,4,33.75891156462585,4,68.0,0,1
15,1,0.4281859410430826,4,2,0.5950113378684807,4,33.93015873015873,4,73.0,0,2
15,3,0.4277324263038551,4,2,0.1073922902494331,4,34.63546485260771,4,68.0,0,1
15,3,0.4277324263038551,4,2,0.2612244897959184,4,34.80380952380953,4,63.0,0,2
15,4,0.4419274376417235,4,4,0.09578231292517007,4,35.13759637188208,4,63.0,0,2
15,4,0.4419274376417235,4,4,0.07256235827664399,4,35.24498866213152,4,65.0,0,3
15,4,0.4419274376417235,4,4,0.42086167800453517,4,35.36108843537415,4,61.0,0,4
16,3,0.43809523809523654,4,3,0.04934240362811791,4,36.443718820861676,4,63.0,0,1
16,3,0.43809523809523654,4,3,0.301859410430839,4,36.49886621315193,4,66.0,0,2
16,4,0.426303854875286,4,4,0.04934240362811791,4,36.85297052154195,4,65.0,0,1
16,4,0.426303854875286,4,4,0.313469387755102,4,36.92263038548753,4,66.0,0,2
17,1,0.4322902494331089,4,1,0.7836734693877551,4,37.297052154195015,4,63.0,0,1
17,3,0.45916099773242536,4,1,0.3599092970521542,4,38.153287981859414,4,65.0,0,1
17,4,0.4290249433106581,4,4,0.25541950113378686,4,38.54802721088436,4,63.0,0,1
17,4,0.4290249433106581,4,4,0.7082086167800453,4,38.86730158730159,4,65.0,0,4
18,3,0.432426303854875,4,4,0.096281179138322,4,40.15922902494331,4,63.0,0,4
18,4,0.4178231292517012,4,4,0.09777777777777778,4,40.261496598639454,4,65.0,0,1
18,4,0.4178231292517012,4,4,0.12022675736961451,4,40.364761904761906,4,63.0,0,2
18,4,0.4178231292517012,4,4,0.10126984126984127,4,40.497460317460316,4,62.0,0,3
18,4,0.4178231292517012,4,4,0.09877551020408164,4,40.60122448979592,4,63.0,0,4
19,1,0.4248752834467098,4,3,0.10918367346938776,4,40.703061224489794,4,66.0,0,1
19,1,0.4248752834467098,4,3,0.47551020408163264,4,40.820408163265306,4,70.0,0,2
19,2,0.42376417233560204,4,2,0.4020408163265306,4,41.30612244897959,4,70.0,0,2
19,3,0.43321995464852137,4,6,0.06836734693877551,4,41.809183673469384,4,66.0,0,5
19,3,0.43321995464852137,4,6,0.07755102040816327,4,41.88061224489796,4,70.0,0,6
19,4,0.44068027210884964,4,4,0.05612244897959184,4,41.99183673469388,4,70.0,0,1
19,4,0.44068027210884964,4,4,0.5244897959183673,4,42.05102040816327,4,73.0,0,2
20,1,0.46394557823128935,4,5,0.08163265306122448,4,42.58673469387755,4,70.0,0,3
