bar,beat,beatdur,denom,division,duration,num,onset,period,pitch,subtatum,tatum
1,1,0.3366893424036279,4,4,0.17124716553287983,4,2.0810884353741494,4,75.0,0,4
1,2,0.3194104308390022,4,2,0.11900226757369614,4,2.2886167800453516,4,79.0,0,2
1,3,0.3073922902494335,4,4,0.0653061224489796,4,2.593378684807256,4,77.0,0,3
1,3,0.3073922902494335,4,4,0.15,4,2.7316326530612245,4,75.0,0,4
1,4,0.3230612244897957,4,2,0.12040816326530612,4,2.9377551020408164,4,75.0,0,2
2,1,0.31263038548752853,4,3,0.11609977324263039,4,3.0940589569160997,4,79.0,0,1
2,1,0.31263038548752853,4,3,0.23219954648526078,4,3.308843537414966,4,79.0,0,3
2,2,0.313333333333333,4,2,0.12857142857142856,4,3.5816326530612246,4,75.0,0,2
2,3,0.332018140589569,4,2,0.12142857142857143,4,3.7520408163265304,4,77.0,0,1
2,3,0.332018140589569,4,2,0.07755102040816327,4,3.8979591836734695,4,75.0,0,2
2,4,0.3327664399092978,4,6,0.09387755102040816,4,4.038775510204082,4,79.0,0,1
2,4,0.3327664399092978,4,6,0.08979591836734693,4,4.219387755102041,4,75.0,0,4
2,4,0.3327664399092978,4,6,0.14081632653061224,4,4.355102040816327,4,80.0,0,6
3,1,0.31326530612244863,4,2,0.8489795918367347,4,4.557142857142857,4,84.0,0,2
3,4,0.3328117913832198,4,4,0.20816326530612245,4,5.642448979591837,4,83.0,0,4
4,1,0.33206349206349195,4,2,0.09489795918367347,4,5.8612244897959185,4,84.0,0,2
4,2,0.3230612244897957,4,4,0.1510204081632653,4,6.012244897959183,4,75.0,0,1
4,2,0.3230612244897957,4,4,0.12142857142857143,4,6.16734693877551,4,76.0,0,3
4,2,0.3230612244897957,4,4,0.15612244897959185,4,6.291836734693877,4,77.0,0,4
4,3,0.3124716553287987,4,2,0.3183673469387755,4,6.495918367346939,4,80.0,0,2
4,4,0.31766439909296995,4,2,0.11938775510204082,4,6.845918367346939,4,77.0,0,2
5,1,0.3135374149659871,4,2,0.17551020408163265,4,6.975510204081632,4,79.0,0,1
5,1,0.3135374149659871,4,2,0.10204081632653061,4,7.16530612244898,4,80.0,0,2
5,2,0.322154195011338,4,3,0.15306122448979592,4,7.281632653061225,4,82.0,0,1
5,2,0.322154195011338,4,3,0.08163265306122448,4,7.489795918367347,4,80.0,0,3
5,3,0.3329251700680267,4,3,0.2193877551020408,4,7.603061224489796,4,79.0,0,1
5,3,0.3329251700680267,4,3,0.10612244897959183,4,7.838775510204082,4,77.0,0,3
5,4,0.331995464852608,4,2,0.10408163265306122,4,7.96530612244898,4,75.0,0,1
5,4,0.331995464852608,4,2,0.09183673469387756,4,8.146938775510204,4,74.0,0,2
6,1,0.3381179138321997,4,1,0.5456689342403628,4,8.26920634920635,4,73.0,0,1
6,3,0.31328798185941054,4,2,0.39387755102040817,4,9.136734693877552,4,75.0,0,2
7,1,0.3080498866213155,4,2,0.13979591836734695,4,9.608163265306123,4,68.0,0,1
7,1,0.3080498866213155,4,2,0.11632653061224489,4,9.763265306122449,4,71.0,0,2
7,2,0.32750566893423994,4,2,0.10408163265306122,4,9.894897959183673,4,72.0,0,1
7,2,0.32750566893423994,4,2,0.12244897959183673,4,10.085714285714285,4,68.0,0,2
7,3,0.3179138321995474,4,2,0.12770975056689343,4,10.226213151927437,4,71.0,0,1
7,3,0.3179138321995474,4,2,0.12857142857142856,4,10.372063492063493,4,72.0,0,2
7,4,0.31328798185940876,4,3,0.14489795918367346,4,10.542857142857143,4,75.0,0,1
7,4,0.31328798185940876,4,3,0.06036281179138322,4,10.754557823129252,4,72.0,0,3
8,1,0.33176870748299336,4,3,0.17755102040816326,4,10.851020408163265,4,80.0,0,1
8,1,0.33176870748299336,4,3,0.09795918367346938,4,11.079591836734695,4,77.0,0,3
8,2,0.3231292517006814,4,2,0.0836734693877551,4,11.18265306122449,4,78.0,0,1
8,2,0.3231292517006814,4,2,0.10408163265306122,4,11.381632653061224,4,77.0,0,2
8,3,0.3329931972789115,4,2,0.14489795918367346,4,11.510204081632653,4,75.0,0,1
8,3,0.3329931972789115,4,2,0.11836734693877551,4,11.714285714285714,4,72.0,0,2
8,4,0.3280952380952371,4,4,0.04591836734693878,4,11.873514739229025,4,71.0,0,1
8,4,0.3280952380952371,4,4,0.05102040816326531,4,11.931383219954649,4,72.0,0,2
8,4,0.3280952380952371,4,4,0.05612244897959184,4,12.022675736961451,4,72.0,0,3
