bar,beat,beatdur,denom,division,duration,num,onset,period,pitch,subtatum,tatum
1,4,0.1990702947845806,4,2,0.7590022675736962,4,2.95328798185941,4,72.0,0,2
2,4,0.20351473922902485,4,2,0.08707482993197278,4,3.7717913832199548,4,74.0,0,2
3,1,0.21433106575963778,4,2,0.3091156462585034,4,3.9880272108843537,4,67.0,0,2
3,3,0.2026303854875282,4,1,1.0405442176870747,4,4.310204081632653,4,72.0,0,1
5,1,0.18834467120181486,4,2,0.3076643990929705,4,5.61922902494331,4,77.0,0,2
5,3,0.19766439909297073,4,1,0.47020408163265304,4,5.932698412698413,4,70.0,0,1
6,1,0.19439909297052171,4,2,0.33378684807256237,4,6.447891156462585,4,72.0,0,2
6,3,0.20410430839002291,4,4,0.08272108843537415,4,6.829569160997733,4,76.0,0,2
6,3,0.20410430839002291,4,4,0.040634920634920635,4,6.919546485260771,4,74.0,0,4
7,1,0.20453514739229028,4,2,0.27346938775510204,4,7.239795918367347,4,67.0,0,2
7,2,0.2078231292517012,4,2,1.1421315192743764,4,7.53469387755102,4,72.0,0,2
9,1,0.20428571428571551,4,4,0.08126984126984127,4,8.861315192743763,4,66.0,0,2
9,1,0.20428571428571551,4,4,0.08417233560090703,4,8.955646258503402,4,68.0,0,4
9,2,0.19907029478457972,4,4,0.09433106575963719,4,9.048526077097506,4,70.0,0,2
9,2,0.19907029478457972,4,4,0.07111111111111111,4,9.157369614512472,4,66.0,0,4
9,3,0.19782312925170054,4,1,0.11609977324263039,4,9.25750566893424,4,68.0,0,1
10,1,0.20419501133786788,4,2,0.0783673469387755,4,9.691428571428572,4,65.0,0,2
10,2,0.19814058956916192,4,3,0.07111111111111111,4,9.794467120181405,4,67.0,0,1
10,2,0.19814058956916192,4,3,0.08417233560090703,4,9.880090702947847,4,69.0,0,2
10,2,0.19814058956916192,4,3,0.07981859410430839,4,9.967165532879818,4,65.0,0,3
10,3,0.20426303854875272,4,2,0.09868480725623582,4,10.076009070294784,4,67.0,0,2
10,4,0.20791383219954618,4,2,0.2960544217687075,4,10.300952380952381,4,64.0,0,2
11,2,0.2076643990929714,4,2,0.07691609977324262,4,10.604263038548753,4,66.0,0,1
11,2,0.2076643990929714,4,2,0.08126984126984127,4,10.70875283446712,4,67.0,0,2
11,3,0.20317460317460245,4,2,0.0783673469387755,4,10.821950113378685,4,64.0,0,1
11,3,0.20317460317460245,4,2,0.07981859410430839,4,10.91047619047619,4,66.0,0,2
12,1,0.20863945578231302,4,4,0.08417233560090703,4,11.281995464852608,4,63.0,0,2
12,1,0.20863945578231302,4,4,0.0783673469387755,4,11.376326530612245,4,65.0,0,4
12,2,0.20419501133786788,4,3,0.056598639455782314,4,11.496780045351475,4,67.0,0,2
12,2,0.20419501133786788,4,3,0.062403628117913834,4,11.579501133786849,4,63.0,0,3
12,3,0.20807256235827687,4,2,0.13351473922902493,4,11.71156462585034,4,65.0,0,2
13,3,0.21340136054421777,4,2,0.32798185941043084,4,12.480725623582767,4,77.0,0,2
13,4,0.20877551020408092,4,4,0.9258956916099773,4,12.811609977324263,4,79.0,0,4
15,1,0.2037414965986386,4,2,0.3395918367346939,4,13.754920634920635,4,80.0,0,2
15,3,0.21478458049886662,4,1,0.33668934240362813,4,14.104671201814059,4,77.0,0,1
15,4,0.20013605442176896,4,2,0.31201814058956917,4,14.448616780045352,4,79.0,0,2
16,2,0.1990476190476187,4,2,0.29895691609977326,4,14.776598639455782,4,75.0,0,2
16,4,0.19884353741496597,4,1,0.07401360544217687,4,15.085714285714285,4,72.0,0,1
17,1,0.20124716553288025,4,1,0.19736961451247165,4,15.306122448979592,4,74.0,0,1
17,2,0.19136054421768733,4,1,0.17705215419501133,4,15.538503401360543,4,74.0,0,1
17,3,0.19800453514739225,4,1,0.3091156462585034,4,15.728571428571428,4,70.0,0,1
17,4,0.19934240362811728,4,4,0.44843537414965984,4,16.053061224489795,4,72.0,0,4
18,3,0.1918140589569184,4,1,0.1326530612244898,4,16.510204081632654,4,67.0,0,1
18,4,0.198888888888888,4,2,0.19693877551020408,4,16.751020408163264,4,70.0,0,2
19,1,0.20326530612245008,4,2,0.29895691609977326,4,16.9665306122449,4,65.0,0,2
19,3,0.20877551020408447,4,1,0.3047619047619048,4,17.282902494331065,4,67.0,0,1
19,4,0.21426303854875073,4,2,0.12480725623582767,4,17.626848072562357,4,63.0,0,2
20,1,0.20827664399093138,4,2,0.5571428571428572,4,17.83061224489796,4,65.0,0,2
21,1,0.19866213151927425,4,4,0.04353741496598639,4,18.52952380952381,4,70.0,0,1
21,1,0.19866213151927425,4,4,0.08272108843537415,4,18.589750566893425,4,68.0,0,2
21,1,0.19866213151927425,4,4,0.07256235827664399,4,18.685532879818595,4,66.0,0,4
21,2,0.21410430839002004,4,4,0.03773242630385488,4,18.774784580498867,4,67.0,0,2
21,2,0.21410430839002004,4,4,0.05714285714285714,4,18.821224489795917,4,68.0,0,3
21,2,0.21410430839002004,4,4,0.18793650793650793,4,18.88,4,70.0,0,4
21,3,0.18795918367347042,4,4,0.05206349206349206,4,19.089523809523808,4,66.0,0,4
21,4,0.21875283446712146,4,2,0.07873015873015873,4,19.16190476190476,4,68.0,0,1
21,4,0.21875283446712146,4,2,0.1726984126984127,4,19.28,4,70.0,0,2
