bar,beat,beatdur,denom,division,duration,num,onset,period,pitch,subtatum,tatum
1,1,0.3163492063492064,4,4,0.24489795918367346,4,2.546938775510204,4,52.0,0,1
1,1,0.3163492063492064,4,4,0.22040816326530613,4,2.8081632653061224,4,53.0,0,4
1,2,0.2884580498866214,4,4,0.27755102040816326,4,3.0775510204081633,4,54.0,0,4
1,3,0.2833333333333332,4,4,0.19591836734693877,4,3.363265306122449,4,55.0,0,4
1,4,0.28251700680272096,4,2,0.6285714285714286,4,3.585714285714286,4,65.0,0,2
2,3,0.27192743764172356,4,1,0.25510204081632654,4,4.257142857142857,4,64.0,0,1
2,4,0.2747845804988662,4,2,1.6591836734693877,4,4.648979591836735,4,57.0,0,2
5,1,0.2823356009070297,4,1,0.14077097505668934,4,7.080634920634921,4,53.0,0,1
5,2,0.29015873015872984,4,1,0.2525170068027211,4,7.338956916099773,4,55.0,0,1
5,3,0.2726757369614514,4,3,0.16399092970521542,4,7.61469387755102,4,56.0,0,1
5,3,0.2726757369614514,4,3,0.16326530612244897,4,7.795918367346939,4,57.0,0,3
5,4,0.28585034013605437,4,2,0.13931972789115646,4,8.08344671201814,4,60.0,0,2
6,1,0.2921995464852607,4,2,0.22058956916099773,4,8.321451247165532,4,64.0,0,2
6,2,0.26820861678004526,4,2,0.3599092970521542,4,8.663945578231292,4,62.0,0,2
6,4,0.2994784580498866,4,4,0.14512471655328799,4,9.079002267573696,4,59.0,0,2
6,4,0.2994784580498866,4,4,1.448344671201814,4,9.253151927437642,4,55.0,0,4
9,2,0.2762585034013618,4,1,0.2525170068027211,4,11.871201814058956,4,52.0,0,1
9,3,0.2831746031746025,4,1,0.16253968253968254,4,12.135328798185942,4,53.0,0,1
9,4,0.2954421768707487,4,3,0.10594104308390023,4,12.413968253968253,4,55.0,0,1
9,4,0.2954421768707487,4,3,0.0663265306122449,4,12.536734693877552,4,55.0,0,2
9,4,0.2954421768707487,4,3,0.05714285714285714,4,12.621428571428572,4,55.0,0,3
10,1,0.2921768707482997,4,3,0.07546485260770976,4,12.705668934240363,4,55.0,0,1
10,1,0.2921768707482997,4,3,0.19301587301587303,4,12.795646258503401,4,55.0,0,2
10,2,0.29095238095237974,4,2,0.44117913832199546,4,13.13469387755102,4,57.0,0,2
11,1,0.27498866213151985,4,1,0.25,4,13.93265306122449,4,59.0,0,1
11,2,0.2826303854875274,4,1,0.21020408163265306,4,14.198979591836734,4,60.0,0,1
11,3,0.28678004535147394,4,3,0.15714285714285714,4,14.424489795918367,4,61.0,0,1
11,3,0.28678004535147394,4,3,0.14947845804988663,4,14.612607709750566,4,62.0,0,3
11,4,0.27374149659864067,4,2,0.4905215419501134,4,14.814331065759637,4,66.0,0,2
12,2,0.28342403628117907,4,1,0.45714285714285713,4,15.322448979591837,4,64.0,0,1
13,1,0.2889795918367355,4,3,0.1509297052154195,4,16.153061224489797,4,60.0,0,1
13,1,0.2889795918367355,4,3,0.16326530612244897,4,16.33265306122449,4,64.0,0,3
13,2,0.27058956916099675,4,2,0.22448979591836735,4,16.603061224489796,4,60.0,0,2
13,3,0.30517006802720914,4,4,0.1683673469387755,4,16.929591836734694,4,52.0,0,4
