bar,beat,beatdur,denom,division,duration,num,onset,period,pitch,subtatum,tatum
0,4,0.45006802721088435,4,2,0.22040816326530613,4,0.036734693877551024,4,53.0,0,1
0,4,0.45006802721088435,4,2,0.12448979591836734,4,0.30612244897959184,4,55.0,0,2
1,1,0.37331065759637183,4,1,0.2979591836734694,4,0.47346938775510206,4,58.0,0,1
2,2,0.38650793650793647,4,6,0.0653061224489796,4,2.520408163265306,4,52.0,0,3
2,2,0.38650793650793647,4,6,0.10816326530612246,4,2.6040816326530614,4,55.0,0,5
2,2,0.38650793650793647,4,6,0.10204081632653061,4,2.730612244897959,4,58.0,0,6
2,3,0.37759637188208606,4,6,0.24081632653061225,4,2.840816326530612,4,61.0,0,2
2,3,0.37759637188208606,4,6,0.2653061224489796,4,3.1081632653061226,4,62.0,0,6
2,4,0.3924943310657598,4,6,0.053061224489795916,4,3.3979591836734695,4,61.0,0,5
2,4,0.3924943310657598,4,6,0.09387755102040816,4,3.475510204081633,4,62.0,0,6
3,1,0.40707482993197264,4,3,0.24693877551020407,4,3.5816326530612246,4,58.0,0,1
3,1,0.40707482993197264,4,3,0.17346938775510204,4,3.8346938775510204,4,53.0,0,3
3,2,0.406485260770975,4,4,0.15963718820861678,4,4.089614512471655,4,49.0,0,2
3,2,0.406485260770975,4,4,0.06965986394557823,4,4.2884353741496595,4,50.0,0,4
3,3,0.39775510204081677,4,3,0.21224489795918366,4,4.406122448979592,4,53.0,0,1
3,3,0.39775510204081677,4,3,0.3448979591836735,4,4.66530612244898,4,58.0,0,3
4,3,0.3770748299319724,4,4,0.0836734693877551,4,6.257142857142857,4,54.0,0,4
4,4,0.39707482993197285,4,4,0.23469387755102042,4,6.377551020408164,4,55.0,0,1
4,4,0.39707482993197285,4,4,0.10816326530612246,4,6.673469387755102,4,58.0,0,4
5,1,0.3928117913832203,4,3,0.23673469387755103,4,6.793877551020408,4,61.0,0,1
5,1,0.3928117913832203,4,3,0.1673469387755102,4,7.053061224489796,4,63.0,0,3
5,2,0.38718820861677994,4,4,0.17705215419501133,4,7.243174603174603,4,65.0,0,2
5,2,0.38718820861677994,4,4,0.04353741496598639,4,7.430385487528345,4,66.0,0,4
5,3,0.4123129251700677,4,4,0.08562358276643992,4,7.485532879818594,4,65.0,0,1
5,3,0.4123129251700677,4,4,0.26848072562358277,4,7.5784126984126985,4,63.0,0,2
5,3,0.4123129251700677,4,4,0.11609977324263039,4,7.868662131519274,4,58.0,0,4
5,4,0.42131519274376394,4,1,0.26267573696145124,4,7.990566893424036,4,61.0,0,1
6,1,0.4222222222222225,4,1,0.37732426303854877,4,8.449160997732426,4,63.0,0,1
6,2,0.3772562358276641,4,4,0.08877551020408163,4,9.096938775510203,4,63.0,0,4
6,3,0.4026530612244894,4,2,0.1683673469387755,4,9.193877551020408,4,64.0,0,1
6,3,0.4026530612244894,4,2,0.45918367346938777,4,9.389795918367346,4,65.0,0,2
6,4,0.42283446712018247,4,4,0.16979591836734695,4,9.865578231292517,4,63.0,0,4
7,1,0.4026984126984132,4,1,0.27138321995464854,4,10.06875283446712,4,61.0,0,1
7,2,0.38721088435374007,4,6,0.31927437641723355,4,10.367709750566894,4,62.0,0,1
7,2,0.38721088435374007,4,6,0.09433106575963719,4,10.716009070294785,4,58.0,0,6
7,3,0.4123356009070296,4,1,0.3438775510204082,4,10.859183673469389,4,53.0,0,1
8,2,0.4319047619047627,4,2,0.22058956916099773,4,12.077278911564626,4,69.0,0,1
8,2,0.4319047619047627,4,2,0.1306122448979592,4,12.31092970521542,4,65.0,0,2
8,3,0.38317460317460217,4,2,0.20607709750566894,4,12.461859410430838,4,62.0,0,1
8,3,0.38317460317460217,4,2,0.11609977324263039,4,12.6940589569161,4,68.0,0,2
8,4,0.38630385487528507,4,4,0.2786394557823129,4,12.839183673469387,4,56.0,0,1
8,4,0.38630385487528507,4,4,0.38458049886621315,4,13.146848072562358,4,55.0,0,4
9,1,0.42213151927437487,4,4,0.5746938775510204,4,13.551746031746031,4,63.0,0,4
9,3,0.4221995464852615,4,2,0.15510204081632653,4,14.314285714285715,4,55.0,0,2
9,4,0.39605442176870653,4,3,0.21224489795918366,4,14.501020408163265,4,54.0,0,1
9,4,0.39605442176870653,4,3,0.2357142857142857,4,14.770408163265307,4,52.0,0,3
10,1,0.4125170068027213,4,4,0.08163265306122448,4,15.021428571428572,4,53.0,0,3
10,1,0.4125170068027213,4,4,0.10918367346938776,4,15.141836734693877,4,50.0,0,4
10,2,0.38707482993197395,4,4,0.286734693877551,4,15.276530612244898,4,51.0,0,1
10,2,0.38707482993197395,4,4,0.10918367346938776,4,15.576530612244898,4,50.0,0,4
10,3,0.4124489795918347,4,4,0.1816326530612245,4,15.712244897959184,4,51.0,0,2
10,3,0.4124489795918347,4,4,0.06820861678004535,4,15.956462585034014,4,53.0,0,4
10,4,0.3863945578231309,4,1,0.29024943310657597,4,16.026122448979592,4,54.0,0,1
11,1,0.4027664399092963,4,4,0.23219954648526078,4,16.51374149659864,4,53.0,0,2
11,1,0.4027664399092963,4,4,0.0653061224489796,4,16.770612244897958,4,56.0,0,4
11,2,0.39267573696145064,4,1,1.0608616780045352,4,16.866394557823128,4,58.0,0,1
11,4,0.4116099773242645,4,4,0.08562358276643992,4,17.953378684807255,4,55.0,0,4
12,1,0.41244897959183646,4,4,0.26848072562358277,4,18.07092970521542,4,53.0,0,1
12,1,0.41244897959183646,4,4,0.12480725623582767,4,18.36698412698413,4,58.0,0,4
12,2,0.3871655328798198,4,1,0.35410430839002266,4,18.516462585034013,4,55.0,0,1
12,4,0.36666666666666714,4,4,0.07732426303854875,4,19.548072562358275,4,53.0,0,4
13,1,0.41240362811791087,4,3,0.1182312925170068,4,19.630884353741497,4,55.0,0,1
13,1,0.41240362811791087,4,3,0.10825396825396826,4,19.757596371882087,4,58.0,0,2
13,1,0.41240362811791087,4,3,0.1989795918367347,4,19.8734693877551,4,61.0,0,3
13,2,0.41247165532880103,4,1,0.08571428571428572,4,20.085714285714285,4,62.0,0,1
14,2,0.41242630385487544,4,7,0.1017687074829932,4,21.778503401360545,4,53.0,0,3
14,2,0.41242630385487544,4,7,0.11723356009070295,4,21.89124716553288,4,55.0,0,5
14,2,0.41242630385487544,4,7,0.0783219954648526,4,22.02095238095238,4,58.0,0,7
14,3,0.39274376417233725,4,1,0.3606802721088435,4,22.10925170068027,4,61.0,0,1
14,4,0.38643990929705296,4,4,0.3073015873015873,4,22.472925170068027,4,61.0,0,1
14,4,0.38643990929705296,4,4,0.23346938775510204,4,22.782222222222224,4,61.0,0,4
15,1,0.37752834467120167,4,2,0.31326530612244896,4,23.029591836734692,4,60.0,0,2
15,2,0.3830385487528325,4,2,0.6487074829931972,4,23.3534693877551,4,60.0,0,2
15,4,0.3864172335600884,4,3,0.10303854875283447,4,24.007256235827665,4,58.0,0,1
15,4,0.3864172335600884,4,3,0.21188208616780047,4,24.145850340136054,4,56.0,0,2
16,1,0.40693877551020563,4,4,0.06022675736961451,4,24.390385487528345,4,58.0,0,1
16,1,0.40693877551020563,4,4,0.3903854875283447,4,24.46875283446712,4,60.0,0,2
16,2,0.4123809523809534,4,1,0.22784580498866214,4,24.880907029478458,4,55.0,0,1
16,3,0.4014739229024933,4,1,0.38458049886621315,4,25.283628117913832,4,58.0,0,1
17,1,0.43764172335600904,4,4,0.056598639455782314,4,26.179773242630386,4,53.0,0,2
17,1,0.43764172335600904,4,4,0.06458049886621316,4,26.261043083900226,4,54.0,0,3
17,1,0.43764172335600904,4,4,0.06820861678004535,4,26.336507936507935,4,53.0,0,4
17,2,0.3969841269841261,4,4,0.057324263038548755,4,26.45043083900227,4,51.0,0,1
17,2,0.3969841269841261,4,4,0.3570068027210884,4,26.524444444444445,4,53.0,0,2
17,3,0.41247165532880103,4,2,0.1469387755102041,4,27.16938775510204,4,51.0,0,2
17,4,0.3862585034013577,4,4,0.06820861678004535,4,27.33238095238095,4,53.0,0,1
17,4,0.3862585034013577,4,4,0.07764172335600907,4,27.40721088435374,4,55.0,0,2
17,4,0.3862585034013577,4,4,0.10448979591836735,4,27.498503401360544,4,53.0,0,3
17,4,0.3862585034013577,4,4,0.1219047619047619,4,27.607755102040816,4,51.0,0,4
18,1,0.39274376417233725,4,6,0.06784580498866213,4,27.736961451247165,4,53.0,0,2
18,1,0.39274376417233725,4,6,0.05687074829931973,4,27.817777777777778,4,55.0,0,3
18,1,0.39274376417233725,4,6,0.09877551020408164,4,27.882630385487527,4,53.0,0,4
18,1,0.39274376417233725,4,6,0.11723356009070295,4,27.998367346938775,4,51.0,0,6
18,2,0.40691609977324106,4,4,0.07582766439909297,4,28.133560090702947,4,56.0,0,2
18,2,0.40691609977324106,4,4,0.9081632653061225,4,28.220408163265308,4,58.0,0,3
18,4,0.4017233560090716,4,4,0.11174603174603175,4,29.17968253968254,4,53.0,0,4
19,1,0.39721088435373986,4,2,0.20453514739229026,4,29.422131519274377,4,49.0,0,2
19,2,0.39287981859410337,4,4,0.20603174603174604,4,29.78281179138322,4,51.0,0,2
