bar,beat,beatdur,denom,division,duration,num,onset,period,pitch,subtatum,tatum
0,4,0.2330385487528348,4,1,0.1836734693877551,4,3.0040816326530613,4,55.0,0,1
1,1,0.2383446712018138,4,1,0.46122448979591835,4,3.257142857142857,4,60.0,0,1
2,1,0.2435374149659859,4,1,0.18571428571428572,4,4.249251700680272,4,55.0,0,1
2,2,0.2527437641723358,4,3,0.1489795918367347,4,4.479591836734694,4,60.0,0,1
2,2,0.2527437641723358,4,3,0.0673469387755102,4,4.642857142857143,4,62.0,0,3
2,3,0.23371882086167783,4,4,0.07755102040816327,4,4.73469387755102,4,63.0,0,1
2,3,0.23371882086167783,4,4,0.05510204081632653,4,4.838775510204082,4,65.0,0,3
2,3,0.23371882086167783,4,4,0.0653061224489796,4,4.906122448979592,4,63.0,0,4
2,4,0.24834467120181447,4,1,0.13877551020408163,4,4.995918367346939,4,62.0,0,1
3,1,0.25251700680272116,4,1,0.4530612244897959,4,5.288344671201814,4,55.0,0,1
4,3,0.24260770975056722,4,2,0.14802721088435375,4,6.816507936507937,4,63.0,0,2
4,4,0.24802721088435398,4,2,0.19011337868480727,4,7.010975056689342,4,63.0,0,2
5,1,0.25376417233560034,4,2,0.15963718820861678,4,7.2562358276643995,4,64.0,0,2
5,2,0.2338321995464856,4,4,0.16253968253968254,4,7.433287981859411,4,65.0,0,1
5,2,0.2338321995464856,4,4,0.301859410430839,4,7.619047619047619,4,66.0,0,4
5,4,0.2533786848072559,4,4,0.029024943310657598,4,7.984761904761905,4,66.0,0,2
5,4,0.2533786848072559,4,4,0.4092517006802721,4,8.02249433106576,4,67.0,0,3
6,2,0.2470975056689344,4,2,0.1306122448979592,4,8.486893424036282,4,65.0,0,2
6,3,0.24274376417233512,4,2,0.09868480725623582,4,8.681360544217688,4,63.0,0,1
6,3,0.24274376417233512,4,2,0.33668934240362813,4,8.791655328798186,4,64.0,0,2
7,1,0.24929705215419418,4,2,0.11224489795918367,4,9.183673469387756,4,60.0,0,1
7,1,0.24929705215419418,4,2,0.07981859410430839,4,9.325714285714286,4,55.0,0,2
7,2,0.25256235827664497,4,3,0.052244897959183675,4,9.427301587301587,4,57.0,0,1
7,2,0.25256235827664497,4,3,0.06385487528344672,4,9.502766439909298,4,55.0,0,2
7,2,0.25256235827664497,4,3,0.052244897959183675,4,9.586938775510204,4,53.0,0,3
7,3,0.24931972789115697,4,1,0.17705215419501133,4,9.65079365079365,4,52.0,0,1
7,4,0.25247165532879734,4,2,0.13351473922902493,4,9.920725623582767,4,55.0,0,1
7,4,0.25247165532879734,4,2,0.08852607709750566,4,10.061496598639456,4,54.0,0,2
8,1,0.2536054421768714,4,3,0.1364172335600907,4,10.155827664399093,4,55.0,0,1
8,1,0.2536054421768714,4,3,0.3468480725623583,4,10.33061224489796,4,60.0,0,3
9,1,0.2338321995464856,4,2,0.09578231292517007,4,11.260226757369615,4,55.0,0,2
9,2,0.22315192743764278,4,2,0.09433106575963719,4,11.395192743764172,4,57.0,0,1
9,2,0.22315192743764278,4,2,0.09433106575963719,4,11.515646258503402,4,62.0,0,2
9,3,0.24929705215419418,4,1,0.3142857142857143,4,11.63265306122449,4,60.0,0,1
9,4,0.2427210884353741,4,4,0.06095238095238095,4,12.032290249433107,4,56.0,0,4
10,1,0.2433560090702951,4,2,0.11319727891156463,4,12.11936507936508,4,57.0,0,1
10,1,0.2433560090702951,4,2,0.09723356009070294,4,12.258684807256236,4,62.0,0,2
10,2,0.25800453514739274,4,1,0.11900226757369614,4,12.384943310657597,4,60.0,0,1
10,3,0.25360544217686964,4,2,0.12480725623582778,4,12.698412698412698,4,55.0,0,2
10,4,0.25238095238095326,4,4,0.14657596371882087,4,12.823219954648525,4,57.0,0,1
10,4,0.25238095238095326,4,4,0.2510657596371882,4,13.058321995464853,4,63.0,0,4
11,3,0.24374149659863953,4,2,0.09578231292517007,4,13.68235827664399,4,55.0,0,2
11,4,0.24281179138321995,4,1,0.14947845804988663,4,13.79700680272109,4,57.0,0,1
12,1,0.24362811791383265,4,1,0.1436734693877551,4,14.032108843537415,4,60.0,0,1
12,2,0.23292517006802704,4,1,0.1872108843537415,4,14.280272108843537,4,62.0,0,1
12,3,0.2493877551020418,4,1,0.39328798185941044,4,14.5081179138322,4,63.0,0,1
12,4,0.2427210884353741,4,2,0.09433106575963719,4,14.926077097505669,4,62.0,0,2
13,1,0.24278911564625716,4,2,0.11464852607709751,4,15.04798185941043,4,60.0,0,1
