bar,beat,beatdur,denom,division,duration,num,onset,period,pitch,subtatum,tatum
1,2,0.30376417233560105,4,3,0.10303854875283447,4,4.799274376417234,4,76.0,0,1
1,2,0.30376417233560105,4,3,0.11464852607709751,4,4.999546485260771,4,79.0,0,3
1,3,0.3135600907029472,4,4,0.07401360544217687,4,5.305759637188209,4,72.0,0,4
1,4,0.28521541950113427,4,4,0.11609977324263039,4,5.394285714285714,4,76.0,0,1
1,4,0.28521541950113427,4,4,0.05514739229024943,4,5.611972789115646,4,67.0,0,4
2,1,0.29619047619047567,4,3,0.09578231292517007,4,5.688888888888889,4,72.0,0,1
2,1,0.29619047619047567,4,3,0.08417233560090703,4,5.889160997732426,4,64.0,0,3
2,2,0.30283446712018147,4,2,0.16108843537414966,4,5.990748299319728,4,67.0,0,1
2,2,0.30283446712018147,4,2,0.08707482993197324,4,6.170702947845805,4,72.0,0,2
2,3,0.2961224489795926,4,1,0.1509297052154195,4,6.257777777777778,4,76.0,0,1
2,4,0.303854875283446,4,1,0.09868480725623582,4,6.600272108843537,4,76.0,0,1
3,1,0.3148299319727892,4,6,0.03979591836734694,4,7.078571428571428,4,79.0,0,5
3,1,0.3148299319727892,4,6,0.33877551020408164,4,7.130612244897959,4,80.0,0,6
3,3,0.3135600907029481,4,2,0.11020408163265306,4,7.527551020408163,4,78.0,0,1
3,3,0.3135600907029481,4,2,0.12653061224489795,4,7.6755102040816325,4,74.0,0,2
3,4,0.3028798185941035,4,4,0.12857142857142856,4,7.81734693877551,4,71.0,0,1
3,4,0.3028798185941035,4,4,0.06326530612244897,4,7.972448979591837,4,67.0,0,3
3,4,0.3028798185941035,4,4,0.06938775510204082,4,8.056122448979592,4,68.0,0,4
4,1,0.2860997732426309,4,2,0.13877551020408163,4,8.253061224489796,4,64.0,0,2
4,2,0.2953287981859418,4,2,0.12653061224489795,4,8.395918367346939,4,62.0,0,1
4,2,0.2953287981859418,4,2,0.11836734693877551,4,8.542857142857143,4,60.0,0,2
4,3,0.3025623582766439,4,1,0.39183673469387753,4,8.673469387755102,4,59.0,0,1
5,1,0.2962585034013596,4,3,0.07981859410430839,4,9.298140589569162,4,76.0,0,1
5,1,0.2962585034013596,4,3,0.15918367346938775,4,9.485714285714286,4,81.0,0,3
5,2,0.29310657596371925,4,2,0.11428571428571428,4,9.759183673469387,4,76.0,0,2
5,3,0.295918367346939,4,1,0.24897959183673468,4,9.877551020408163,4,81.0,0,1
5,4,0.29523809523809597,4,4,0.08979591836734693,4,10.395918367346939,4,76.0,0,4
6,1,0.3038321995464841,4,2,0.15510204081632653,4,10.510204081632653,4,81.0,0,1
6,1,0.3038321995464841,4,2,0.07142857142857142,4,10.69591836734694,4,76.0,0,2
6,2,0.3135374149659871,4,1,0.14285714285714285,4,10.783673469387756,4,81.0,0,1
