bar,beat,beatdur,denom,division,duration,num,onset,period,pitch,subtatum,tatum
-1,2,0.22083900226757347,4,4,0.13061224489795986,4,4.453061224489796,4,57.0,0,4
-1,3,0.22311791383219948,4,2,0.1020408163265305,4,4.583673469387755,4,55.0,0,2
-1,4,0.22311791383219948,4,2,0.11836734693877551,4,4.685714285714286,4,53.0,0,1
-1,4,0.22311791383219948,4,2,0.09795918367346938,4,4.808163265306122,4,52.0,0,2
0,1,0.21106575963718832,4,2,0.09795918367346938,4,4.918367346938775,4,51.0,0,1
0,1,0.21106575963718832,4,2,0.07755102040816327,4,5.040816326530612,4,53.0,0,2
0,2,0.21106575963718832,4,3,0.08163265306122448,4,5.130612244897959,4,55.0,0,1
0,2,0.21106575963718832,4,3,0.04897959183673469,4,5.220408163265306,4,58.0,0,2
0,2,0.21106575963718832,4,3,0.053061224489795916,4,5.289795918367347,4,62.0,0,3
0,3,0.2333560090702944,4,4,0.08571428571428572,4,5.351020408163265,4,65.0,0,1
0,3,0.2333560090702944,4,4,0.09387755102040884,4,5.461224489795918,4,61.0,0,3
0,3,0.2333560090702944,4,4,0.08571428571428572,4,5.555102040816327,4,57.0,0,4
0,4,0.2333560090702953,4,3,0.09795918367346879,4,5.648979591836735,4,56.0,0,2
0,4,0.2333560090702953,4,3,0.46122448979591835,4,5.746938775510204,4,58.0,0,3
1,3,0.23825396825396794,4,2,0.09387755102040816,4,6.224489795918367,4,57.0,0,1
1,3,0.23825396825396794,4,2,0.3306122448979592,4,6.322448979591837,4,59.0,0,2
2,1,0.21575963718820912,4,1,0.12653061224489795,4,6.681632653061224,4,58.0,0,1
3,2,0.22081632653061156,4,4,0.14285714285714285,4,7.987755102040817,4,59.0,0,4
3,3,0.22311791383219948,4,2,0.11020408163265306,4,8.13469387755102,4,61.0,0,2
3,4,0.22311791383220125,4,2,0.13877551020408163,4,8.359183673469389,4,63.0,0,2
4,1,0.21594104308389994,4,1,0.31020408163265306,4,8.522448979591836,4,64.0,0,1
4,3,0.2160430839002263,4,4,0.1673469387755102,4,8.89795918367347,4,64.0,0,1
4,3,0.2160430839002263,4,4,0.14285714285714285,4,9.06530612244898,4,66.0,0,4
4,4,0.2160430839002263,4,2,0.15918367346938775,4,9.240816326530613,4,68.0,0,2
5,1,0.20604308390022652,4,2,1.1428571428571428,4,9.444897959183674,4,69.0,0,2
6,2,0.22307256235827566,4,4,0.3224489795918367,4,10.591836734693878,4,66.0,0,4
6,4,0.2111791383219952,4,2,0.10204081632653061,4,10.938775510204081,4,65.0,0,2
