bar,beat,beatdur,denom,division,duration,num,onset,period,pitch,subtatum,tatum
0,1,0.18395691609977316,4,2,0.06675736961451247,4,1.0478004535147392,4,53.0,0,2
0,2,0.18395691609977338,4,2,0.10158730158730167,4,1.1261678004535147,4,58.0,0,1
0,2,0.18395691609977338,4,2,0.06965986394557823,4,1.2277551020408164,4,60.0,0,2
0,3,0.1838208616780046,4,2,0.11029478458049886,4,1.3032199546485261,4,61.0,0,1
0,3,0.1838208616780046,4,2,0.09868480725623582,4,1.4164172335600906,4,63.0,0,2
0,4,0.18382086167800438,4,3,0.06385487528344672,4,1.5165532879818595,4,65.0,0,1
0,4,0.18382086167800438,4,3,0.058049886621315196,4,1.5833106575963718,4,67.0,0,2
0,4,0.18382086167800438,4,3,0.04934240362811791,4,1.6471655328798185,4,68.0,0,3
1,1,0.19865079365079374,4,1,0.10158730158730159,4,1.7008616780045351,4,67.0,0,1
1,4,0.18337868480725605,4,3,0.029024943310657598,4,2.284263038548753,4,66.0,0,1
1,4,0.18337868480725605,4,3,0.06965986394557823,4,2.317641723356009,4,65.0,0,2
1,4,0.18337868480725605,4,3,0.04498866213151927,4,2.38875283446712,4,67.0,0,3
2,1,0.1887074829931974,4,1,0.08852607709750566,4,2.4351927437641723,4,65.0,0,1
2,3,0.2012471655328798,4,4,0.04285714285714286,4,2.933673469387755,4,64.0,0,3
2,3,0.2012471655328798,4,4,0.05,4,2.977551020408163,4,65.0,0,4
2,4,0.2012471655328798,4,1,0.1663265306122449,4,3.0285714285714285,4,63.0,0,1
3,3,0.19149659863945567,4,4,0.03979591836734686,4,3.613265306122449,4,62.0,0,1
3,3,0.19149659863945567,4,4,0.05102040816326531,4,3.6530612244897958,4,63.0,0,2
3,3,0.19149659863945567,4,4,0.10714285714285714,4,3.706122448979592,4,62.0,0,3
4,2,0.188696145124716,4,1,0.20816326530612245,4,4.159183673469387,4,60.0,0,1
4,3,0.19320861678004597,4,1,0.1816326530612245,4,4.383673469387755,4,55.0,0,1
4,4,0.19320861678004508,4,1,0.20204081632653062,4,4.575510204081633,4,53.0,0,1
5,1,0.20622448979591823,4,1,0.13877551020408163,4,4.785714285714286,4,54.0,0,1
5,2,0.20622448979591823,4,1,0.5102040816326531,4,4.96734693877551,4,62.0,0,1
5,4,0.18875283446712032,4,2,0.09287981859410431,4,5.484263038548753,4,63.0,0,2
6,1,0.20625850340136065,4,2,0.11319727891156463,4,5.581496598639456,4,62.0,0,1
6,1,0.20625850340136065,4,2,0.07401360544217687,4,5.7004988662131515,4,60.0,0,2
6,2,0.20625850340136065,4,2,0.08417233560090703,4,5.7817687074829935,4,59.0,0,1
6,2,0.20625850340136065,4,2,0.0653061224489796,4,5.870294784580499,4,56.0,0,2
6,3,0.19311791383219923,4,2,0.09433106575963719,4,5.942857142857143,4,55.0,0,1
