bar,beat,beatdur,denom,division,duration,num,onset,period,pitch,subtatum,tatum
-1,4,0.24380952380952392,4,2,0.12480725623582767,4,0.7807709750566894,4,72.0,0,1
-1,4,0.24380952380952392,4,2,0.11609977324263039,4,0.905578231292517,4,73.0,0,2
0,1,0.25541950113378675,4,2,0.1277097505668936,4,1.024580498866213,4,72.0,0,1
0,1,0.25541950113378675,4,2,0.10448979591836735,4,1.1522902494331067,4,70.0,0,2
0,2,0.24562358276643992,4,2,0.11609977324263039,4,1.2654875283446712,4,68.0,0,1
0,2,0.24562358276643992,4,2,0.1219047619047619,4,1.3873922902494331,4,67.0,0,2
0,3,0.2797278911564627,4,1,0.07256235827664399,4,1.5296145124716554,4,64.0,0,1
0,4,0.27537414965986384,4,1,0.2147845804988662,4,1.8140589569160999,4,60.0,0,1
1,1,0.2441723356009069,4,1,0.15383219954648525,4,2.063673469387755,4,65.0,0,1
1,3,0.24263038548752824,4,1,0.16253968253968254,4,2.5887755102040817,4,72.0,0,1
2,1,0.26356009070294784,4,1,0.14512471655328799,4,3.1061224489795918,4,68.0,0,1
2,2,0.25197278911564647,4,2,0.10448979591836735,4,3.480090702947846,4,64.0,0,2
2,3,0.27575963718820873,4,2,0.14802721088435375,4,3.776145124716553,4,71.0,0,2
2,4,0.2433560090702951,4,2,0.4876190476190476,4,3.976417233560091,4,72.0,0,2
3,2,0.27176870748299375,4,2,0.10448979591836735,4,4.478548752834467,4,73.0,0,2
3,3,0.2475510204081628,4,2,0.13351473922902493,4,4.626575963718821,4,72.0,0,1
3,3,0.2475510204081628,4,2,0.11900226757369614,4,4.768798185941043,4,70.0,0,2
5,2,0.257165532879819,4,1,0.14222222222222222,4,6.350657596371882,4,73.0,0,1
5,3,0.25863945578231284,4,1,0.4963265306122449,4,6.6118820861678005,4,77.0,0,1
6,1,0.26510204081632693,4,1,0.33668934240362813,4,7.163356009070295,4,72.0,0,1
6,2,0.2636961451247162,4,2,0.16834467120181407,4,7.520362811791383,4,75.0,0,2
