bar,beat,beatdur,denom,division,duration,num,onset,period,pitch,subtatum,tatum
-2,4,0.3403628117913824,4,2,0.14222222222222222,4,5.090975056689342,4,83.0,0,2
-1,1,0.3428571428571434,4,1,0.2800907029478458,4,5.2477097505668935,4,84.0,0,1
-1,2,0.3495691609977323,4,2,0.1872108843537415,4,5.5495691609977325,4,88.0,0,1
-1,2,0.3495691609977323,4,2,0.1377551020408163,4,5.745918367346939,4,84.0,0,2
-1,3,0.3483219954648522,4,2,0.15510204081632653,4,5.906122448979592,4,83.0,0,1
-1,3,0.3483219954648522,4,2,0.1520408163265306,4,6.085714285714285,4,82.0,0,2
-1,4,0.3513605442176875,4,2,0.17959183673469387,4,6.247959183673469,4,80.0,0,1
-1,4,0.3513605442176875,4,2,0.13877551020408163,4,6.4346938775510205,4,77.0,0,2
0,1,0.377936507936508,4,4,0.1469387755102041,4,6.610204081632653,4,82.0,0,1
0,1,0.377936507936508,4,4,0.07755102040816327,4,6.786734693877551,4,79.0,0,3
0,1,0.377936507936508,4,4,0.09129251700680271,4,6.873378684807256,4,80.0,0,4
0,2,0.35131519274376366,4,4,0.06136054421768707,4,6.976145124716553,4,79.0,0,1
0,2,0.35131519274376366,4,4,0.09328798185941044,4,7.044988662131519,4,77.0,0,2
0,2,0.35131519274376366,4,4,0.1489795918367347,4,7.159183673469387,4,76.0,0,3
0,3,0.3580498866213153,4,2,0.16428571428571428,4,7.322448979591837,4,75.0,0,1
0,3,0.3580498866213153,4,2,0.1326530612244898,4,7.510204081632653,4,73.0,0,2
0,4,0.35324263038548853,4,2,0.15612244897959185,4,7.66530612244898,4,72.0,0,1
0,4,0.35324263038548853,4,2,0.12040816326530612,4,7.8520408163265305,4,70.0,0,2
1,1,0.32913832199546356,4,2,0.11836734693877551,4,8.05408163265306,4,65.0,0,1
1,1,0.32913832199546356,4,2,0.14387755102040817,4,8.196938775510205,4,68.0,0,2
1,2,0.37006802721088583,4,2,0.19387755102040816,4,8.360204081632654,4,65.0,0,1
1,2,0.37006802721088583,4,2,0.1377551020408163,4,8.570408163265306,4,67.0,0,2
1,3,0.3492970521541938,4,2,0.18775510204081633,4,8.745918367346938,4,65.0,0,1
1,3,0.3492970521541938,4,2,0.12040816326530612,4,8.953061224489796,4,60.0,0,2
1,4,0.34068027210884466,4,3,0.12040816326530612,4,9.161224489795918,4,65.0,0,2
1,4,0.34068027210884466,4,3,0.11530612244897959,4,9.309183673469388,4,68.0,0,3
2,1,0.3602267573696132,4,4,0.20816326530612245,4,9.477551020408164,4,72.0,0,2
2,1,0.3602267573696132,4,4,0.09591836734693877,4,9.708163265306123,4,70.0,0,4
2,2,0.3714965986394567,4,4,0.22448979591836735,4,9.83673469387755,4,72.0,0,2
2,2,0.3714965986394567,4,4,0.2785714285714286,4,10.085714285714285,4,70.0,0,4
2,3,0.364807256235828,4,4,0.11632653061224489,4,10.448979591836734,4,72.0,0,4
2,4,0.3724263038548745,4,2,0.1510204081632653,4,10.58469387755102,4,73.0,0,1
