bar,beat,beatdur,denom,division,duration,num,onset,period,pitch,subtatum,tatum
1,1,0.3961224489795918,4,4,0.11609977324263039,4,2.10140589569161,4,65.0,0,4
1,3,0.4024489795918367,4,1,0.20317460317460317,4,2.6238548752834467,4,68.0,0,1
1,4,0.39718820861678017,4,1,0.2147845804988662,4,3.0127891156462585,4,72.0,0,1
2,1,0.3864399092970521,4,1,0.2438095238095238,4,3.3901133786848074,4,75.0,0,1
2,2,0.39290249433106617,4,1,0.26702947845804986,4,3.7964625850340137,4,75.0,0,1
2,3,0.3873242630385487,4,1,0.49342403628117915,4,4.197006802721089,4,75.0,0,1
3,1,0.4057369614512467,4,2,0.168140589569161,4,5.188775510204081,4,65.0,0,2
3,2,0.40258503401360546,4,3,0.1387528344671202,4,5.38936507936508,4,68.0,0,1
3,2,0.40258503401360546,4,3,0.09287981859410431,4,5.6540589569161,4,72.0,0,3
3,3,0.37766439909297045,4,6,0.2612244897959184,4,5.793378684807256,4,75.0,0,2
3,3,0.37766439909297045,4,6,0.09287981859410431,4,6.0778231292517,4,75.0,0,6
3,4,0.40405895691610016,4,4,0.49342403628117915,4,6.414512471655329,4,75.0,0,4
4,2,0.4017006802721088,4,1,0.07206349206349207,4,6.9274603174603175,4,79.0,0,1
4,3,0.3968027210884353,4,3,0.2438095238095238,4,7.337505668934241,4,75.0,0,1
4,3,0.3968027210884353,4,3,0.12231292517006803,4,7.599342403628118,4,72.0,0,3
4,4,0.3677324263038546,4,1,0.09310657596371882,4,7.729909297052155,4,68.0,0,1
5,1,0.3774376417233558,4,4,0.2653061224489796,4,8.06734693877551,4,72.0,0,1
5,1,0.3774376417233558,4,4,0.08775510204081632,4,8.379591836734694,4,72.0,0,4
6,2,0.3970294784580499,4,4,0.11029478458049886,4,10.310204081632653,4,72.0,0,4
6,3,0.3873242630385487,4,6,0.1799546485260771,4,10.507006802721088,4,76.0,0,3
6,3,0.3873242630385487,4,6,0.156734693877551,4,10.744988662131519,4,79.0,0,6
6,4,0.3659183673469375,4,2,0.24961451247165534,4,10.925011337868481,4,77.0,0,2
7,1,0.3683900226757366,4,1,0.1799546485260771,4,11.191995464852608,4,76.0,0,1
7,2,0.3927891156462593,4,2,0.16249433106576028,4,11.505510204081633,4,73.0,0,1
7,2,0.3927891156462593,4,2,0.18575963718820862,4,11.668004535147393,4,72.0,0,2
7,3,0.40274376417233526,4,4,0.11029478458049886,4,11.894399092970522,4,70.0,0,1
7,3,0.40274376417233526,4,4,0.08126984126984127,4,12.051156462585034,4,68.0,0,2
7,3,0.40274376417233526,4,4,0.0799092970521542,4,12.146938775510204,4,70.0,0,3
7,3,0.40274376417233526,4,4,0.0864172335600907,4,12.228571428571428,4,68.0,0,4
7,4,0.4068707482993208,4,4,0.07718820861678033,4,12.326893424036282,4,67.0,0,1
7,4,0.4068707482993208,4,4,0.20412698412698413,4,12.404081632653062,4,65.0,0,2
7,4,0.4068707482993208,4,4,0.11387755102040817,4,12.648979591836735,4,62.0,0,4
8,1,0.37657596371882107,4,2,0.14267573696145125,4,12.785487528344671,4,64.0,0,1
8,1,0.37657596371882107,4,2,0.11718820861678005,4,12.97124716553288,4,64.0,0,2
8,3,0.38063492063492177,4,6,0.22058956916099773,4,13.589501133786849,4,73.0,0,2
8,3,0.38063492063492177,4,6,0.11029478458049886,4,13.833310657596371,4,71.0,0,6
8,4,0.4163265306122437,4,4,0.23219954648526078,4,13.960997732426303,4,72.0,0,2
8,4,0.4163265306122437,4,4,0.1219047619047619,4,14.22219954648526,4,70.0,0,4
9,1,0.39453514739229156,4,4,0.08775510204081632,4,14.362244897959183,4,67.0,0,2
