bar,beat,beatdur,denom,division,duration,num,onset,period,pitch,subtatum,tatum
6,2,0.19797052154195027,4,4,0.0836734693877551,4,3.759183673469388,4,63.0,0,4
6,3,0.18876417233560128,4,2,0.08979591836734693,4,3.86734693877551,4,63.0,0,2
6,4,0.18876417233560083,4,1,0.11224489795918367,4,3.9918367346938775,4,61.0,0,1
7,1,0.18333333333333357,4,2,0.06326530612244897,4,4.1755102040816325,4,61.0,0,1
7,1,0.18333333333333357,4,2,0.09591836734693877,4,4.271428571428571,4,62.0,0,2
7,3,0.19640589569161016,4,2,0.09795918367346938,4,4.577551020408163,4,61.0,0,1
7,3,0.19640589569161016,4,2,0.06326530612244897,4,4.689795918367347,4,62.0,0,2
8,1,0.20615646258503428,4,3,0.11428571428571428,4,4.916326530612245,4,58.0,0,1
8,1,0.20615646258503428,4,3,0.11632653061224489,4,5.069387755102041,4,53.0,0,3
8,2,0.2061564625850334,4,2,0.07755102040816327,4,5.251020408163265,4,51.0,0,2
8,3,0.1840136054421766,4,2,0.14081632653061224,4,5.463265306122449,4,50.0,0,2
8,4,0.18401360544217749,4,2,0.11020408163265306,4,5.630612244897959,4,49.0,0,2
10,2,0.2061904761904758,4,4,0.04081632653061224,4,6.8612244897959185,4,64.0,0,4
10,3,0.19327664399092992,4,2,0.06326530612244897,4,6.924489795918367,4,63.0,0,1
10,3,0.19327664399092992,4,2,0.0653061224489796,4,7.012244897959183,4,61.0,0,2
10,4,0.19327664399092992,4,1,0.10204081632653061,4,7.106122448979592,4,58.0,0,1
11,1,0.2013378684807252,4,1,0.19591836734693877,4,7.285714285714286,4,56.0,0,1
11,2,0.2013378684807261,4,2,0.06326530612244897,4,7.506122448979592,4,58.0,0,1
11,2,0.2013378684807261,4,2,0.07346938775510205,4,7.585714285714285,4,57.0,0,2
11,3,0.19843537414965962,4,1,0.1510204081632653,4,7.697959183673469,4,61.0,0,1
11,4,0.19843537414965962,4,2,0.04693877551020408,4,7.871428571428571,4,62.0,0,1
11,4,0.19843537414965962,4,2,0.07551020408163266,4,7.959183673469388,4,63.0,0,2
13,4,0.2076643990929714,4,4,0.08979591836734693,4,9.630612244897959,4,68.0,0,4
14,1,0.18827664399093003,4,2,0.07551020408163266,4,9.736734693877551,4,70.0,0,2
14,2,0.18827664399093003,4,3,0.06326530612244897,4,9.851020408163265,4,72.0,0,1
14,2,0.18827664399093003,4,3,0.061224489795918366,4,9.93061224489796,4,73.0,0,2
14,2,0.18827664399093003,4,3,0.10612244897959183,4,10.006122448979593,4,74.0,0,3
14,3,0.18882086167800516,4,2,0.05510204081632653,4,10.151020408163266,4,72.0,0,2
14,4,0.18882086167800338,4,2,0.07346938775510205,4,10.214285714285714,4,73.0,0,1
14,4,0.18882086167800338,4,2,0.10204081632653061,4,10.33265306122449,4,72.0,0,2
15,1,0.20614512471655289,4,2,0.06326530612244897,4,10.473469387755102,4,71.0,0,1
15,1,0.20614512471655289,4,2,0.07142857142857142,4,10.56326530612245,4,70.0,0,2
15,2,0.20614512471655289,4,2,0.07142857142857142,4,10.679591836734694,4,69.0,0,1
15,2,0.20614512471655289,4,2,0.1,4,10.761224489795918,4,68.0,0,2
15,3,0.20624716553287925,4,1,0.10612244897959183,4,10.871428571428572,4,67.0,0,1
15,4,0.20624716553288103,4,2,0.07755102040816327,4,11.051020408163266,4,66.0,0,1
15,4,0.20624716553288103,4,2,0.0673469387755102,4,11.151020408163266,4,67.0,0,2
16,1,0.1930839002267586,4,2,0.07959183673469387,4,11.244897959183673,4,65.0,0,1
16,1,0.1930839002267586,4,2,0.061224489795918366,4,11.353061224489796,4,62.0,0,2
16,2,0.1930839002267568,4,2,0.08775510204081632,4,11.451020408163265,4,61.0,0,1
16,2,0.1930839002267568,4,2,0.07959183673469387,4,11.56530612244898,4,59.0,0,2
16,3,0.20133786848072432,4,2,0.05102040816326531,4,11.67142857142857,4,58.0,0,1
16,3,0.20133786848072432,4,2,0.10204081632653061,4,11.76734693877551,4,57.0,0,2
16,4,0.2013378684807261,4,1,0.08571428571428572,4,11.885714285714286,4,56.0,0,1
17,1,0.19858276643991069,4,1,0.15918367346938775,4,12.06530612244898,4,55.0,0,1
17,2,0.1985827664399089,4,1,0.08775510204081632,4,12.271428571428572,4,63.0,0,1
17,3,0.2061678004535139,4,3,0.12040816326530612,4,12.461224489795919,4,54.0,0,1
17,3,0.2061678004535139,4,3,0.11428571428571428,4,12.604081632653061,4,53.0,0,3
17,4,0.2061678004535139,4,2,0.06938775510204082,4,12.724489795918368,4,54.0,0,2
18,1,0.21064625850340235,4,1,0.11224489795918367,4,12.863265306122448,4,57.0,0,1
18,2,0.21064625850340057,4,1,0.11020408163265306,4,13.073469387755102,4,62.0,0,1
18,3,0.19640589569161016,4,1,0.16326530612244897,4,13.281814058956916,4,53.0,0,1
18,4,0.19640589569161016,4,3,0.05714285714285714,4,13.467573696145125,4,52.0,0,1
18,4,0.19640589569161016,4,3,0.11836734693877551,4,13.537233560090703,4,53.0,0,2
19,2,0.18868480725623726,4,2,0.12653061224489795,4,13.942857142857143,4,58.0,0,2
19,3,0.1985600907029479,4,2,0.07755102040816327,4,14.136734693877552,4,61.0,0,2
19,4,0.1985600907029461,4,1,0.1469387755102041,4,14.293877551020408,4,61.0,0,1
20,1,0.18343537414965994,4,2,0.09387755102040816,4,14.495918367346938,4,58.0,0,2
20,2,0.18343537414965994,4,3,0.07346938775510205,4,14.626530612244897,4,57.0,0,1
20,2,0.18343537414965994,4,3,0.04693877551020408,4,14.748979591836735,4,55.0,0,3
20,3,0.2110544217687078,4,2,0.07755102040816327,4,14.83469387755102,4,54.0,0,1
20,3,0.2110544217687078,4,2,0.07142857142857142,4,14.93469387755102,4,53.0,0,2
20,4,0.2110544217687078,4,1,0.09387755102040816,4,15.044897959183674,4,52.0,0,1
21,1,0.20132653061224381,4,1,0.19795918367346937,4,15.222448979591837,4,51.0,0,1
21,2,0.2013265306122456,4,2,0.12040816326530612,4,15.491836734693878,4,53.0,0,2
21,3,0.21595238095238045,4,2,0.08979591836734693,4,15.708163265306123,4,54.0,0,2
21,4,0.21595238095238045,4,1,0.22857142857142856,4,15.840816326530613,4,56.0,0,1
22,1,0.2008616780045358,4,1,0.15306122448979592,4,16.112244897959183,4,57.0,0,1
22,2,0.2008616780045358,4,2,0.07346938775510205,4,16.344897959183672,4,59.0,0,2
