bar,beat,beatdur,denom,division,duration,num,onset,period,pitch,subtatum,tatum
1,1,0.405827664399093,4,1,0.24285714285714285,4,2.4612244897959186,4,68.0,0,1
1,2,0.4057142857142857,4,1,0.5448979591836735,4,2.7979591836734694,4,70.0,0,1
1,3,0.3786621315192744,4,2,0.19183673469387755,4,3.4653061224489794,4,65.0,0,2
1,4,0.3919274376417232,4,2,0.746938775510204,4,3.806122448979592,4,67.0,0,2
2,2,0.40598639455782326,4,4,0.21224489795918366,4,4.659183673469387,4,70.0,0,4
2,3,0.3980045351473924,4,2,0.5163265306122449,4,4.997959183673469,4,73.0,0,2
3,1,0.39612244897959226,4,1,0.22448979591836735,4,5.559183673469388,4,72.0,0,1
3,2,0.40560090702947793,4,1,0.5448979591836735,4,5.948979591836735,4,68.0,0,1
3,3,0.3810204081632653,4,2,0.2755102040816326,4,6.56734693877551,4,70.0,0,2
3,4,0.3837641723356011,4,2,0.7551020408163265,4,6.9,4,67.0,0,2
4,2,0.3787074829931978,4,2,0.15918367346938775,4,7.7326530612244895,4,68.0,0,2
4,3,0.37850340136054417,4,2,0.16979591836734695,4,7.938321995464853,4,65.0,0,1
4,3,0.37850340136054417,4,2,0.11900226757369614,4,8.126984126984127,4,67.0,0,2
4,4,0.3873242630385487,4,1,0.2525170068027211,4,8.257596371882086,4,68.0,0,1
5,1,0.386507936507936,4,2,0.5346938775510204,4,8.938231292517006,4,61.0,0,2
6,1,0.4034693877551021,4,2,0.09183673469387756,4,10.479591836734693,4,63.0,0,2
6,2,0.39594104308389966,4,2,0.1836734693877551,4,10.618367346938776,4,65.0,0,1
6,2,0.39594104308389966,4,2,0.17346938775510204,4,10.83265306122449,4,68.0,0,2
6,3,0.385804988662132,4,2,0.19183673469387755,4,11.03061224489796,4,67.0,0,1
6,3,0.385804988662132,4,2,0.1489795918367347,4,11.255102040816327,4,65.0,0,2
6,4,0.39850340136054463,4,2,0.1469387755102041,4,11.453061224489796,4,63.0,0,1
6,4,0.39850340136054463,4,2,0.15510204081632653,4,11.642857142857142,4,61.0,0,2
7,1,0.3961451247165524,4,1,1.5346938775510204,4,11.844897959183674,4,60.0,0,1
9,1,0.38609977324263056,4,1,0.4897959183673469,4,14.979591836734693,4,63.0,0,1
9,2,0.3785260770975061,4,2,0.4857142857142857,4,15.5,4,64.0,0,2
9,3,0.38625850340136125,4,4,0.7857142857142857,4,16.059183673469388,4,75.0,0,4
10,2,0.40562358276643806,4,2,0.20612244897959184,4,16.879591836734694,4,73.0,0,1
10,2,0.40562358276643806,4,2,0.1510204081632653,4,17.10612244897959,4,69.0,0,2
10,3,0.3970294784580517,4,2,0.1816326530612245,4,17.29795918367347,4,70.0,0,1
10,3,0.3970294784580517,4,2,0.1489795918367347,4,17.50408163265306,4,71.0,0,2
10,4,0.3873015873015859,4,2,0.20408163265306123,4,17.66938775510204,4,72.0,0,1
10,4,0.3873015873015859,4,2,0.17551020408163265,4,17.89183673469388,4,68.0,0,2
11,1,0.3961904761904762,4,2,0.19387755102040816,4,18.087755102040816,4,70.0,0,1
11,1,0.3961904761904762,4,2,0.14489795918367346,4,18.318367346938775,4,72.0,0,2
11,2,0.38836734693877517,4,2,0.19736961451247165,4,18.47873015873016,4,68.0,0,1
11,2,0.38836734693877517,4,2,0.17414965986394557,4,18.693514739229023,4,67.0,0,2
11,3,0.40462585034013543,4,2,0.19591836734693877,4,18.890884353741498,4,68.0,0,1
11,3,0.40462585034013543,4,2,0.15963718820861678,4,19.11002267573696,4,70.0,0,2
11,4,0.3874376417233556,4,1,0.301859410430839,4,19.289977324263038,4,72.0,0,1
13,1,0.39591836734693686,4,2,0.20607709750566894,4,21.259319727891157,4,79.0,0,1
13,1,0.39591836734693686,4,2,0.16979591836734695,4,21.48861678004535,4,76.0,0,2
13,2,0.38841269841270076,4,2,0.17560090702947845,4,21.68308390022676,4,72.0,0,1
13,2,0.38841269841270076,4,2,0.1654421768707483,4,21.87174603174603,4,69.0,0,2
13,3,0.3861678004535136,4,2,0.1436734693877551,4,22.060408163265308,4,65.0,0,1
