bar,beat,beatdur,denom,division,duration,num,onset,period,pitch,subtatum,tatum
-2,4,0.24090702947845788,4,2,0.11632653061224489,4,3.716326530612245,4,68.0,0,1
-2,4,0.24090702947845788,4,2,0.09387755102040816,4,3.8510204081632655,4,67.0,0,2
-1,1,0.2632653061224488,4,4,0.11632653061224489,4,3.9714285714285715,4,66.0,0,2
-1,1,0.2632653061224488,4,4,0.06224489795918367,4,4.1204081632653065,4,64.0,0,4
-1,2,0.2632653061224488,4,3,0.15510204081632653,4,4.189795918367347,4,65.0,0,1
-1,2,0.2632653061224488,4,3,0.14489795918367346,4,4.360204081632653,4,64.0,0,3
-1,3,0.2571428571428571,4,1,0.056598639455782314,4,4.5075736961451245,4,63.0,0,1
-1,4,0.257142857142858,4,2,0.14512471655328799,4,4.686077097505669,4,67.0,0,1
-1,4,0.257142857142858,4,2,0.12480725623582767,4,4.838458049886621,4,66.0,0,2
0,1,0.24081632653061202,4,2,0.1073922902494331,4,4.9734240362811795,4,65.0,0,1
0,1,0.24081632653061202,4,2,0.0783673469387755,4,5.095328798185941,4,63.0,0,2
0,2,0.24081632653061202,4,2,0.1306122448979592,4,5.189659863945578,4,60.0,0,1
0,2,0.24081632653061202,4,2,0.10884353741496598,4,5.333333333333333,4,58.0,0,2
0,3,0.23469387755102034,4,2,0.08126984126984127,4,5.468299319727891,4,57.0,0,1
0,3,0.23469387755102034,4,2,0.13206349206349208,4,5.555374149659864,4,66.0,0,2
0,4,0.23469387755102034,4,2,0.09578231292517007,4,5.704852607709751,4,63.0,0,1
0,4,0.23469387755102034,4,2,0.08126984126984127,4,5.832562358276644,4,64.0,0,2
1,1,0.25102040816326543,4,2,0.10594104308390023,4,5.9675283446712015,4,65.0,0,1
1,1,0.25102040816326543,4,2,0.11464852607709751,4,6.0778231292517,4,62.0,0,2
1,2,0.25102040816326543,4,4,0.10303854875283447,4,6.222947845804988,4,58.0,0,2
1,2,0.25102040816326543,4,4,0.08272108843537415,4,6.349206349206349,4,55.0,0,4
1,3,0.24897959183673457,4,2,0.1306122448979592,4,6.449342403628118,4,60.0,0,1
1,3,0.24897959183673457,4,2,0.10816326530612246,4,6.593877551020408,4,58.0,0,2
1,4,0.24897959183673457,4,2,0.09387755102040816,4,6.711224489795918,4,57.0,0,1
1,4,0.24897959183673457,4,2,0.10102040816326531,4,6.828571428571428,4,58.0,0,2
2,1,0.23970521541950163,4,3,0.08061224489795918,4,6.96530612244898,4,59.0,0,2
2,1,0.23970521541950163,4,3,0.08469387755102041,4,7.057142857142857,4,60.0,0,3
2,2,0.23970521541950074,4,2,0.09591836734693877,4,7.164285714285715,4,61.0,0,1
2,2,0.23970521541950074,4,2,0.11755102040816326,4,7.291065759637188,4,62.0,0,2
2,4,0.2415986394557823,4,4,0.07111111111111111,4,7.81859410430839,4,59.0,0,4
3,1,0.25072562358276596,4,2,0.10231292517006803,4,7.902766439909297,4,60.0,0,1
3,1,0.25072562358276596,4,2,0.08417233560090703,4,8.021043083900226,4,62.0,0,2
3,2,0.25072562358276684,4,1,0.09142857142857143,4,8.14875283446712,4,63.0,0,1
3,3,0.24928571428571367,4,2,0.06675736961451247,4,8.430294784580498,4,67.0,0,1
3,3,0.24928571428571367,4,2,0.08126984126984127,4,8.540589569160998,4,63.0,0,2
3,4,0.24928571428571544,4,3,0.11464852607709751,4,8.6378231292517,4,60.0,0,1
3,4,0.24928571428571544,4,3,0.1001360544217687,4,8.79891156462585,4,58.0,0,3
4,1,0.23659863945578152,4,4,0.0673469387755102,4,9.062244897959184,4,58.0,0,4
4,2,0.2365986394557833,4,4,0.12448979591836734,4,9.153061224489797,4,61.0,0,2
4,2,0.2365986394557833,4,4,0.05514739229024943,4,9.308299319727892,4,69.0,0,4
4,3,0.25958049886621204,4,2,0.11609977324263039,4,9.386666666666667,4,69.0,0,1
4,3,0.25958049886621204,4,2,0.09433106575963719,4,9.51437641723356,4,68.0,0,2
4,4,0.2595804988662138,4,2,0.08997732426303855,4,9.642086167800453,4,67.0,0,1
4,4,0.2595804988662138,4,2,0.10612244897959183,4,9.75204081632653,4,66.0,0,2
5,1,0.24017006802721141,4,2,0.12448979591836734,4,9.873469387755103,4,65.0,0,1
