bar,beat,beatdur,denom,division,duration,num,onset,period,pitch,subtatum,tatum
-3,1,0.2815419501133787,4,2,0.13351473922902493,4,0.23219954648526078,4,65.0,0,1
-3,1,0.2815419501133787,4,2,0.14512471655328799,4,0.39183673469387753,4,69.0,0,2
-3,2,0.27283446712018133,4,2,0.2147845804988662,4,0.6298412698412699,4,65.0,0,2
-3,3,0.2815419501133787,4,2,0.23800453514739228,4,0.8765532879818594,4,69.0,0,2
-3,4,0.29315192743764173,4,1,0.20317460317460317,4,1.1174603174603175,4,65.0,0,1
-2,1,0.27283446712018145,4,1,0.17124716553287983,4,1.3844897959183673,4,68.0,0,1
-2,2,0.27283446712018145,4,2,0.15383219954648525,4,1.6370068027210884,4,65.0,0,1
-2,2,0.27283446712018145,4,2,0.18285714285714286,4,1.7937414965986394,4,68.0,0,2
-2,3,0.26251700680272116,4,2,0.11609977324263039,4,2.040453514739229,4,70.0,0,2
-2,4,0.25843537414965967,4,3,0.17414965986394557,4,2.159455782312925,4,68.0,0,1
-2,4,0.25843537414965967,4,3,0.09578231292517007,4,2.3336054421768706,4,69.0,0,3
-1,1,0.2485487528344672,4,2,0.1219047619047619,4,2.4293877551020406,4,70.0,0,1
-1,1,0.2485487528344672,4,2,0.11609977324263039,4,2.5541950113378684,4,68.0,0,2
-1,2,0.26793650793650814,4,2,0.13061224489795897,4,2.670294784580499,4,69.0,0,1
-1,2,0.26793650793650814,4,2,0.12480725623582767,4,2.800907029478458,4,70.0,0,2
-1,3,0.24848072562358237,4,3,0.06675736961451247,4,2.9286167800453513,4,69.0,0,1
-1,3,0.24848072562358237,4,3,0.08417233560090703,4,2.995374149659864,4,70.0,0,2
-1,3,0.24848072562358237,4,3,0.06965986394557823,4,3.0853514739229024,4,69.0,0,3
-1,4,0.2398866213151929,4,1,0.21188208616780047,4,3.1550113378684808,4,68.0,0,1
0,1,0.26814058956916087,4,1,0.17705215419501133,4,3.430748299319728,4,70.0,0,1
0,2,0.26655328798185973,4,3,0.18866213151927438,4,3.7122902494331065,4,68.0,0,1
0,2,0.26655328798185973,4,3,0.05514739229024943,4,3.900952380952381,4,66.0,0,3
0,3,0.24054421768707446,4,3,0.16834467120181407,4,3.9560997732426304,4,67.0,0,1
0,3,0.24054421768707446,4,3,0.156734693877551,4,4.1302494331065756,4,65.0,0,3
1,1,0.2571428571428571,4,1,0.14512471655328799,4,4.530793650793651,4,65.0,0,1
2,1,0.25818594104308357,4,3,0.07546485260770976,4,5.581496598639456,4,68.0,0,1
2,1,0.25818594104308357,4,3,0.0783673469387755,4,5.656961451247166,4,70.0,0,2
2,1,0.25818594104308357,4,3,0.11609977324263039,4,5.735328798185941,4,69.0,0,3
2,2,0.2679138321995467,4,4,0.11029478458049886,4,5.851428571428571,4,68.0,0,2
2,2,0.2679138321995467,4,4,0.05514739229024943,4,5.96172335600907,4,69.0,0,3
2,2,0.2679138321995467,4,4,0.09868480725623582,4,6.019773242630386,4,68.0,0,4
2,3,0.2582312925170065,4,6,0.12480725623582767,4,6.1184580498866215,4,67.0,0,2
2,3,0.2582312925170065,4,6,0.046439909297052155,4,6.243265306122449,4,68.0,0,5
2,3,0.2582312925170065,4,6,0.10158730158730159,4,6.2897052154195014,4,67.0,0,6
2,4,0.2765532879818595,4,1,0.22639455782312926,4,6.394195011337868,4,66.0,0,1
3,1,0.2756689342403629,4,1,0.14802721088435375,4,6.623492063492064,4,65.0,0,1
4,1,0.2483900226757374,4,4,0.06095238095238109,4,7.650975056689342,4,69.0,0,1
4,1,0.2483900226757374,4,4,0.08417233560090703,4,7.711927437641723,4,70.0,0,2
4,1,0.2483900226757374,4,4,0.11029478458049886,4,7.796099773242631,4,69.0,0,3
4,2,0.2682539682539673,4,3,0.12480725623582767,4,7.90639455782313,4,68.0,0,1
4,2,0.2682539682539673,4,3,0.058049886621315196,4,8.031201814058957,4,69.0,0,2
4,2,0.2682539682539673,4,3,0.06965986394557823,4,8.089251700680272,4,68.0,0,3
4,3,0.24789115646258608,4,1,0.24961451247165534,4,8.164716553287981,4,67.0,0,1
4,4,0.267777777777777,4,3,0.12480725623582767,4,8.414331065759637,4,66.0,0,1
4,4,0.267777777777777,4,3,0.06965986394557966,4,8.544943310657596,4,65.0,0,2
4,4,0.267777777777777,4,3,0.0783673469387755,4,8.614603174603175,4,66.0,0,3
5,1,0.2585487528344679,4,1,0.17414965986394557,4,8.695873015873016,4,65.0,0,1
6,1,0.26802721088435355,4,4,0.08707482993197278,4,9.769795918367347,4,68.0,0,2
6,1,0.26802721088435355,4,4,0.046439909297052155,4,9.85687074829932,4,69.0,0,3
6,1,0.26802721088435355,4,4,0.09578231292517007,4,9.906213151927437,4,68.0,0,4
6,2,0.2766893424036283,4,4,0.12190476190476218,4,10.001995464852607,4,67.0,0,1
6,2,0.2766893424036283,4,4,0.08417233560090703,4,10.12390022675737,4,68.0,0,3
6,2,0.2766893424036283,4,4,0.04353741496598639,4,10.208072562358277,4,67.0,0,4
