bar,beat,beatdur,denom,division,duration,num,onset,period,pitch,subtatum,tatum
0,3,0.3037414965986396,4,2,0.07546485260770976,4,3.7964625850340137,4,65.0,0,2
0,4,0.2678231292517008,4,2,0.09868480725623582,4,3.93578231292517,4,67.0,0,1
0,4,0.2678231292517008,4,2,0.07546485260770976,4,4.069297052154195,4,70.0,0,2
1,1,0.2758730158730156,4,4,0.058049886621315196,4,4.156371882086168,4,73.0,0,1
1,1,0.2758730158730156,4,4,0.08707482993197278,4,4.2260317460317465,4,74.0,0,2
1,1,0.2758730158730156,4,4,0.08126984126984127,4,4.35374149659864,4,74.0,0,4
1,2,0.28632653061224556,4,1,0.13931972789115646,4,4.475646258503401,4,74.0,0,1
1,3,0.2953968253968249,4,4,0.11609977324263039,4,4.789115646258503,4,74.0,0,2
1,3,0.2953968253968249,4,4,0.052244897959183675,4,4.9806802721088435,4,73.0,0,4
1,4,0.30537414965986365,4,3,0.09868480725623582,4,5.04453514739229,4,74.0,0,1
1,4,0.30537414965986365,4,3,0.09287981859410431,4,5.259319727891157,4,74.0,0,3
2,1,0.3216099773242638,4,3,0.156734693877551,4,5.38702947845805,4,74.0,0,1
2,1,0.3216099773242638,4,3,0.11029478458049886,4,5.596009070294785,4,74.0,0,3
2,2,0.29503401360544146,4,2,0.4876190476190476,4,5.839818594104308,4,74.0,0,2
3,1,0.28551020408163286,4,2,0.13351473922902493,4,6.524807256235827,4,67.0,0,1
3,1,0.28551020408163286,4,2,0.13351473922902493,4,6.675736961451247,4,69.0,0,2
3,2,0.3036961451247162,4,2,0.1219047619047619,4,6.815056689342404,4,70.0,0,1
3,2,0.3036961451247162,4,2,0.1219047619047619,4,6.977596371882086,4,72.0,0,2
3,3,0.2953287981859418,4,4,0.15092970521541904,4,7.099501133786848,4,74.0,0,1
3,3,0.2953287981859418,4,4,0.11609977324263039,4,7.250430839002267,4,79.0,0,3
3,3,0.2953287981859418,4,4,0.13931972789115646,4,7.383945578231293,4,74.0,0,4
3,4,0.26575963718820805,4,2,0.11029478458049886,4,7.534875283446712,4,70.0,0,2
4,1,0.27786848072562353,4,3,0.13931972789115646,4,7.685804988662132,4,69.0,0,1
4,1,0.27786848072562353,4,3,0.11609977324263039,4,7.87156462585034,4,67.0,0,3
4,2,0.2940136054421778,4,2,0.13931972789115646,4,8.156009070294784,4,69.0,0,2
4,3,0.28349206349206213,4,2,0.2728344671201814,4,8.423038548752835,4,67.0,0,2
5,2,0.3135147392290243,4,2,0.10503401360544196,4,9.160272108843538,4,68.0,0,1
5,2,0.3135147392290243,4,2,0.08979591836734693,4,9.26530612244898,4,69.0,0,2
5,3,0.29535147392290284,4,6,0.16326530612244897,4,9.395918367346939,4,74.0,0,1
5,3,0.29535147392290284,4,6,0.08979591836734693,4,9.559183673469388,4,73.0,0,4
5,3,0.29535147392290284,4,6,0.17142857142857143,4,9.681632653061225,4,72.0,0,6
5,4,0.285532879818593,4,2,0.4005442176870748,4,9.868480725623582,4,70.0,0,2
6,3,0.3135600907029481,4,3,0.09287981859410444,4,10.565079365079365,4,73.0,0,1
6,3,0.3135600907029481,4,3,0.09287981859410431,4,10.65795918367347,4,74.0,0,2
6,4,0.295260770975057,4,1,0.156734693877551,4,10.878548752834467,4,73.0,0,1
7,1,0.3038775510204079,4,2,0.1799546485260771,4,11.162993197278912,4,72.0,0,1
7,1,0.3038775510204079,4,2,0.13351473922902493,4,11.354557823129252,4,74.0,0,2
7,2,0.2951020408163263,4,2,0.13931972789115646,4,11.488072562358276,4,72.0,0,1
7,2,0.2951020408163263,4,2,0.10448979591836735,4,11.639002267573696,4,67.0,0,2
7,3,0.2794104308390022,4,2,0.18575963718820862,4,11.743492063492063,4,72.0,0,1
7,3,0.2794104308390022,4,2,0.1219047619047619,4,11.929251700680272,4,74.0,0,2
7,4,0.28272108843537325,4,2,0.11029478458049886,4,12.062766439909296,4,72.0,0,1
7,4,0.28272108843537325,4,2,0.42376417233560093,4,12.231111111111112,4,72.0,0,2
8,3,0.27641723356009074,4,2,0.14512471655328799,4,13.072834467120181,4,73.0,0,2
8,4,0.2952380952380942,4,3,0.10448979591836735,4,13.246984126984128,4,74.0,0,2
8,4,0.2952380952380942,4,3,0.10448979591836735,4,13.374693877551021,4,77.0,0,3
9,1,0.2758730158730174,4,1,0.11609977324263039,4,13.514013605442177,4,74.0,0,1
9,2,0.2958730158730152,4,1,0.13931972789115646,4,13.798458049886621,4,74.0,0,1
9,3,0.30650793650793595,4,1,0.14512471655328799,4,14.094512471655328,4,74.0,0,1
9,4,0.3206575963718823,4,3,0.1509297052154195,4,14.361541950113379,4,74.0,0,1
9,4,0.3206575963718823,4,3,0.34829931972789113,4,14.576326530612246,4,74.0,0,3
10,2,0.2852607709750572,4,2,0.12770975056689343,4,14.959455782312926,4,69.0,0,1
10,2,0.2852607709750572,4,2,0.34249433106575966,4,15.121995464852608,4,67.0,0,2
11,1,0.3060544217687067,4,2,0.13931972789115646,4,15.81278911564626,4,72.0,0,1
11,1,0.3060544217687067,4,2,0.052244897959183675,4,15.998548752834466,4,67.0,0,2
11,2,0.2930385487528362,4,1,0.1509297052154195,4,16.091428571428573,4,72.0,0,1
11,3,0.29566893424036067,4,2,0.16253968253968254,4,16.375873015873015,4,73.0,0,1
11,3,0.29566893424036067,4,2,0.11609977324263039,4,16.55002267573696,4,72.0,0,2
11,4,0.2777324263038565,4,2,0.14512471655328799,4,16.677732426303855,4,73.0,0,1
11,4,0.2777324263038565,4,2,0.49342403628117915,4,16.84607709750567,4,74.0,0,2
12,3,0.2679138321995467,4,2,0.13351473922902493,4,17.699410430839002,4,73.0,0,2
12,4,0.28555555555555756,4,4,0.1219047619047619,4,17.867755102040817,4,74.0,0,2
12,4,0.28555555555555756,4,4,0.09287981859410431,4,18.012879818594104,4,70.0,0,4
13,1,0.2862131519274378,4,2,0.13351473922902493,4,18.128979591836735,4,72.0,0,1
13,1,0.2862131519274378,4,2,0.10448979591836735,4,18.274104308390022,4,70.0,0,2
13,2,0.29367346938775185,4,2,0.052244897959183675,4,18.401814058956916,4,72.0,0,1
13,2,0.29367346938775185,4,2,0.09287981859410431,4,18.488888888888887,4,73.0,0,2
13,3,0.3051700680272127,4,3,0.17414965986394557,4,18.692063492063493,4,72.0,0,1
13,3,0.3051700680272127,4,3,0.10448979591836735,4,18.889433106575964,4,70.0,0,3
13,4,0.2754875283446694,4,2,0.058049886621315196,4,19.168072562358276,4,69.0,0,2
14,1,0.3134240362811802,4,3,0.040634920634920635,4,19.22612244897959,4,70.0,0,1
14,1,0.3134240362811802,4,3,0.09868480725623582,4,19.440907029478456,4,67.0,0,3
14,2,0.2860317460317461,4,2,0.16253968253968054,4,19.574421768707484,4,61.0,0,1
14,2,0.2860317460317461,4,2,0.1102947845804998,4,19.736961451247165,4,62.0,0,2
14,3,0.2854195011337879,4,2,0.1219047619047619,4,19.847256235827665,4,69.0,0,1
14,3,0.2854195011337879,4,2,0.11609977324263039,4,20.009795918367345,4,67.0,0,2
