bar,beat,beatdur,denom,division,duration,num,onset,period,pitch,subtatum,tatum
0,1,0.4074376417233563,4,4,0.35410430839002266,4,2.3045804988662133,4,58.0,0,4
0,2,0.4140136054421766,4,2,0.313469387755102,4,2.7109297052154195,4,60.0,0,2
0,3,0.39283446712018133,4,2,0.13351473922902493,4,3.076643990929705,4,62.0,0,2
0,4,0.39410430839002286,4,2,0.17414965986394557,4,3.2565986394557824,4,55.0,0,1
0,4,0.39410430839002286,4,2,0.13931972789115646,4,3.436553287981859,4,58.0,0,2
1,1,0.39530612244897956,4,2,0.19156462585034015,4,3.633922902494331,4,60.0,0,1
1,1,0.39530612244897956,4,2,0.1509297052154195,4,3.866122448979592,4,58.0,0,2
1,2,0.3678684807256234,4,3,0.19736961451247165,4,4.028662131519274,4,55.0,0,1
1,2,0.3678684807256234,4,3,0.13351473922902493,4,4.27827664399093,4,53.0,0,3
1,3,0.41324263038548814,4,1,0.2438095238095238,4,4.440816326530612,4,55.0,0,1
2,1,0.3534920634920633,4,3,0.0653061224489796,4,5.216326530612245,4,71.0,0,1
2,1,0.3534920634920633,4,3,0.14285714285714285,4,5.289795918367347,4,64.0,0,2
2,1,0.3534920634920633,4,3,0.17142857142857143,4,5.444897959183673,4,62.0,0,3
2,2,0.391700680272109,4,6,0.24081632653061225,4,5.628571428571429,4,64.0,0,2
2,2,0.391700680272109,4,6,0.1306122448979592,4,5.90204081632653,4,62.0,0,6
2,3,0.3919954648526076,4,2,0.3306122448979592,4,6.053061224489796,4,64.0,0,2
2,4,0.4074603174603171,4,1,0.14285714285714285,4,6.404081632653061,4,62.0,0,1
3,1,0.4307936507936505,4,1,0.2571428571428571,4,6.791836734693877,4,55.0,0,1
3,3,0.3751247165532874,4,3,0.19591836734693877,4,7.546938775510204,4,55.0,0,1
3,3,0.3751247165532874,4,3,0.13877551020408163,4,7.812244897959184,4,58.0,0,3
3,4,0.3975056689342402,4,2,0.19591836734693877,4,7.979591836734694,4,55.0,0,1
3,4,0.3975056689342402,4,2,0.23265306122448978,4,8.191836734693878,4,60.0,0,2
4,1,0.38512471655328895,4,2,0.18775510204081633,4,8.579591836734695,4,55.0,0,2
4,2,0.4080952380952372,4,1,0.3142857142857143,4,8.787755102040816,4,58.0,0,1
4,3,0.34580498866213283,4,2,0.1877551020408159,4,9.175510204081633,4,53.0,0,1
4,3,0.34580498866213283,4,2,0.10612244897959183,4,9.363265306122448,4,55.0,0,2
4,4,0.3942630385487522,4,2,0.22857142857142856,4,9.506122448979593,4,50.0,0,1
4,4,0.3942630385487522,4,2,0.11428571428571428,4,9.73469387755102,4,53.0,0,2
5,1,0.37877551020408085,4,3,0.20408163265306123,4,9.877551020408163,4,48.0,0,1
5,1,0.37877551020408085,4,3,0.14285714285714285,4,10.130612244897959,4,50.0,0,3
5,2,0.37578231292517117,4,1,0.3551020408163265,4,10.30204081632653,4,53.0,0,1
5,3,0.3711564625850343,4,4,0.16326530612244897,4,10.70204081632653,4,55.0,0,2
5,3,0.3711564625850343,4,4,0.11020408163265306,4,10.885714285714286,4,58.0,0,4
5,4,0.37866213151927397,4,2,0.2204081632653061,4,11.036734693877552,4,53.0,0,1
5,4,0.37866213151927397,4,2,0.7142857142857143,4,11.257142857142858,4,55.0,0,2
6,2,0.39605442176870653,4,2,0.12653061224489795,4,12.0,4,53.0,0,2
6,3,0.36972789115646343,4,1,0.3510204081632653,4,12.151020408163266,4,55.0,0,1
6,4,0.38682539682539563,4,1,0.19183673469387755,4,12.555102040816326,4,58.0,0,1
7,2,0.42811791383219955,4,2,0.16326530612244897,4,13.326530612244898,4,55.0,0,1
7,2,0.42811791383219955,4,2,0.15918367346938775,4,13.526530612244898,4,50.0,0,2
7,3,0.40501133786847987,4,2,0.20408163265306123,4,13.710204081632654,4,53.0,0,1
7,3,0.40501133786847987,4,2,0.2,4,13.938775510204081,4,55.0,0,2
7,4,0.36571428571428655,4,2,0.19591836734693877,4,14.26530612244898,4,55.0,0,2
8,1,0.38657596371882086,4,2,0.17959183673469387,4,14.673469387755102,4,62.0,0,2
8,2,0.37346938775510097,4,2,0.11428571428571428,4,15.053061224489795,4,64.0,0,2
8,3,0.3603174603174608,4,1,0.1836734693877551,4,15.240816326530613,4,65.0,0,1
8,4,0.3939002267573688,4,1,0.2,4,15.583673469387755,4,67.0,0,1
9,1,0.4062811791383236,4,1,0.22448979591836735,4,16.03265306122449,4,62.0,0,1
9,3,0.3892290249433117,4,2,0.23265306122448978,4,16.771428571428572,4,60.0,0,1
9,3,0.3892290249433117,4,2,0.15510204081632653,4,17.008163265306123,4,62.0,0,2
9,4,0.4000907029478462,4,2,0.21224489795918366,4,17.17142857142857,4,60.0,0,1
9,4,0.4000907029478462,4,2,0.21224489795918366,4,17.40408163265306,4,55.0,0,2
10,1,0.40024943310657335,4,1,0.27755102040816326,4,17.616326530612245,4,58.0,0,1
10,2,0.4110884353741504,4,4,0.04897959183673706,4,17.90612244897959,4,57.0,0,1
10,2,0.4110884353741504,4,4,0.2,4,17.955102040816328,4,58.0,0,2
10,2,0.4110884353741504,4,4,0.1836734693877551,4,18.191836734693876,4,60.0,0,4
10,3,0.41242630385487544,4,2,0.20408163265306123,4,18.559183673469388,4,55.0,0,2
10,4,0.3886167800453535,4,1,0.20816326530612245,4,18.76734693877551,4,58.0,0,1
11,2,0.426303854875286,4,2,0.20816326530612245,4,19.551020408163264,4,70.0,0,1
11,2,0.426303854875286,4,2,0.11836734693877551,4,19.76326530612245,4,67.0,0,2
11,3,0.3602721088435352,4,2,0.21224489795918366,4,20.151020408163266,4,70.0,0,2
11,4,0.39342403628118205,4,2,0.16326530612244897,4,20.546938775510203,4,67.0,0,2
12,1,0.38437641723355753,4,3,0.14693877551020407,4,20.722448979591835,4,65.0,0,1
12,1,0.38437641723355753,4,3,0.061224489795918366,4,20.86938775510204,4,64.0,0,2
12,1,0.38437641723355753,4,3,0.14285714285714285,4,20.93877551020408,4,65.0,0,3
12,2,0.3839455782312946,4,1,0.27346938775510204,4,21.081632653061224,4,62.0,0,1
12,3,0.39927437641723174,4,4,0.09795918367346938,4,21.714285714285715,4,61.0,0,3
12,3,0.39927437641723174,4,4,0.036734693877551024,4,21.816326530612244,4,60.0,0,4
12,4,0.40920634920635024,4,4,0.05714285714285714,4,21.8734693877551,4,58.0,0,1
12,4,0.40920634920635024,4,4,0.32653061224489793,4,21.955102040816328,4,55.0,0,2
13,1,0.39088435374149455,4,2,0.21224489795918366,4,22.318367346938775,4,58.0,0,1
13,1,0.39088435374149455,4,2,0.3183673469387755,4,22.555102040816326,4,53.0,0,2
13,2,0.37013605442177067,4,2,0.37551020408163266,4,22.926530612244896,4,55.0,0,2
13,3,0.4132879818594084,4,2,0.1346938775510204,4,23.314285714285713,4,58.0,0,2
13,4,0.3649659863945587,4,2,0.1877551020408177,4,23.485714285714284,4,55.0,0,1
13,4,0.3649659863945587,4,2,0.12244897959183673,4,23.6734693877551,4,58.0,0,2
14,1,0.4225623582766431,4,2,0.20816326530612245,4,23.853061224489796,4,60.0,0,1
14,1,0.4225623582766431,4,2,0.13877551020408163,4,24.102040816326532,4,55.0,0,2
14,2,0.37285714285714633,4,2,0.15510204081632653,4,24.244897959183675,4,58.0,0,1
14,2,0.37285714285714633,4,2,0.19183673469387755,4,24.46530612244898,4,53.0,0,2
