bar,beat,beatdur,denom,division,duration,num,onset,period,pitch,subtatum,tatum
1,1,0.3352380952380951,4,2,0.10594104308390023,4,7.2286621315192745,4,65.0,0,2
1,2,0.3337868480725623,4,4,0.05514739229024943,4,7.344761904761905,4,64.0,0,1
1,2,0.3337868480725623,4,4,0.1523809523809524,4,7.420226757369615,4,63.0,0,2
1,2,0.3337868480725623,4,4,0.1073922902494331,4,7.5784126984126985,4,62.0,0,4
1,3,0.31637188208616784,4,2,0.18430839002267574,4,7.703219954648526,4,60.0,0,1
1,3,0.31637188208616784,4,2,0.13206349206349208,4,7.893877551020408,4,55.0,0,2
1,4,0.3279818594104311,4,1,0.1581859410430839,4,8.077551020408164,4,51.0,0,1
2,1,0.2858956916099764,4,4,0.23219954648526078,4,8.298979591836735,4,58.0,0,1
2,1,0.2858956916099764,4,4,0.052244897959183675,4,8.543492063492064,4,55.0,0,4
2,2,0.3184353741496597,4,3,0.052244897959183675,4,8.600090702947846,4,57.0,0,1
2,2,0.3184353741496597,4,3,0.07981859410430839,4,8.713287981859411,4,60.0,0,2
2,2,0.3184353741496597,4,3,0.08997732426303855,4,8.823582766439909,4,63.0,0,3
2,3,0.32884353741496675,4,2,0.14802721088435375,4,8.94403628117914,4,67.0,0,1
2,3,0.32884353741496675,4,2,0.12045351473922902,4,9.109478458049887,4,66.0,0,2
2,4,0.29859410430839084,4,2,0.15528344671201813,4,9.240090702947846,4,65.0,0,1
2,4,0.29859410430839084,4,2,0.1364172335600907,4,9.425850340136055,4,63.0,0,2
3,1,0.30680272108843454,4,3,0.17560090702947845,4,9.595646258503402,4,62.0,0,1
3,1,0.30680272108843454,4,3,0.1073922902494331,4,9.79156462585034,4,65.0,0,3
3,2,0.31539682539682623,4,4,0.14077097505668934,4,9.939591836734694,4,67.0,0,2
3,2,0.31539682539682623,4,4,0.1001360544217687,4,10.09342403628118,4,69.0,0,4
3,3,0.3297052154194997,4,2,0.18140589569160998,4,10.205170068027211,4,72.0,0,1
3,3,0.3297052154194997,4,2,0.14657596371882087,4,10.39092970521542,4,71.0,0,2
3,4,0.2985714285714298,4,1,0.1291609977324263,4,10.546213151927438,4,70.0,0,1
4,1,0.3195011337868472,4,4,0.09591836734693877,4,10.810204081632653,4,69.0,0,1
4,1,0.3195011337868472,4,4,0.0673469387755102,4,10.914285714285715,4,70.0,0,2
4,1,0.3195011337868472,4,4,0.06938775510204082,4,10.991836734693878,4,69.0,0,3
4,1,0.3195011337868472,4,4,0.10816326530612246,4,11.075510204081633,4,67.0,0,4
4,2,0.3151473922902497,4,4,0.12244897959183673,4,11.208163265306123,4,65.0,0,2
4,2,0.3151473922902497,4,4,0.12244897959183673,4,11.377551020408163,4,63.0,0,4
4,3,0.33514739229024926,4,5,0.05918367346938776,4,11.510204081632653,4,62.0,0,2
4,3,0.33514739229024926,4,5,0.04693877551020408,4,11.581632653061224,4,63.0,0,3
4,3,0.33514739229024926,4,5,0.04897959183673469,4,11.646938775510204,4,62.0,0,4
4,3,0.33514739229024926,4,5,0.1326530612244898,4,11.718367346938775,4,60.0,0,5
4,4,0.3218367346938784,4,2,0.23469387755102042,4,11.86530612244898,4,59.0,0,2
5,1,0.3025170068027201,4,4,0.1836734693877542,4,12.148979591836735,4,60.0,0,2
5,1,0.3025170068027201,4,4,0.10204081632653061,4,12.33265306122449,4,67.0,0,4
5,2,0.29049886621315224,4,4,0.04897959183673469,4,12.46734693877551,4,63.0,0,2
5,2,0.29049886621315224,4,4,0.053061224489795916,4,12.53061224489796,4,64.0,0,3
5,2,0.29049886621315224,4,4,0.04285714285714286,4,12.6,4,63.0,0,4
5,3,0.3212698412698405,4,4,0.09591836734693877,4,12.661224489795918,4,60.0,0,1
5,3,0.3212698412698405,4,4,0.15714285714285714,4,12.783673469387756,4,59.0,0,2
5,3,0.3212698412698405,4,4,0.10612244897959183,4,12.963265306122448,4,55.0,0,4
5,4,0.31882086167800594,4,1,0.19183673469387755,4,13.087755102040816,4,51.0,0,1
6,1,0.3233560090702934,4,1,0.23265306122448978,4,13.404081632653062,4,58.0,0,1
6,2,0.32562358276644154,4,2,0.13673469387755102,4,13.716326530612244,4,57.0,0,1
6,2,0.32562358276644154,4,2,0.07142857142857142,4,13.881632653061224,4,63.0,0,2
6,3,0.29793650793650706,4,1,0.5673469387755102,4,13.96734693877551,4,65.0,0,1
6,4,0.3174603174603181,4,4,0.10408163265306122,4,14.544897959183674,4,62.0,0,4
7,1,0.3135600907029481,4,4,0.11374149659863945,4,14.664671201814059,4,60.0,0,2
7,1,0.3135600907029481,4,4,0.09727891156462586,4,14.82031746031746,4,60.0,0,4
7,2,0.31877551020408035,4,2,0.11632653061224489,4,14.951020408163265,4,58.0,0,1
7,2,0.31877551020408035,4,2,0.15306122448979592,4,15.13469387755102,4,60.0,0,2
7,3,0.32950113378684875,4,4,0.16122448979591836,4,15.310204081632653,4,62.0,0,2
7,3,0.32950113378684875,4,4,0.2,4,15.491836734693878,4,65.0,0,4
9,1,0.3047619047619037,4,2,0.1414965986394558,4,17.171156462585035,4,73.0,0,1
9,1,0.3047619047619037,4,2,0.38022675736961453,4,17.33079365079365,4,74.0,0,2
9,3,0.30682539682539556,4,1,0.5448979591836735,4,17.73469387755102,4,67.0,0,1
10,1,0.31632653061224403,4,1,0.2653061224489796,4,18.33061224489796,4,70.0,0,1
10,2,0.31702947845804985,4,4,0.22040816326530613,4,18.618367346938776,4,72.0,0,1
10,2,0.31702947845804985,4,4,0.08979591836734693,4,18.86326530612245,4,69.0,0,4
10,3,0.3127664399093,4,4,0.05918367346938776,4,18.96734693877551,4,71.0,0,1
10,3,0.3127664399093,4,4,0.04897959183673469,4,19.040816326530614,4,72.0,0,2
10,3,0.3127664399093,4,4,0.2163265306122449,4,19.114285714285714,4,74.0,0,3
10,4,0.32653061224489477,4,1,0.21224489795918366,4,19.35918367346939,4,69.0,0,1
11,1,0.342267573696148,4,3,0.11224489795918367,4,19.687755102040818,4,71.0,0,2
11,1,0.342267573696148,4,3,0.32040816326530613,4,19.816326530612244,4,72.0,0,3
11,2,0.3253061224489784,4,2,0.05714285714285714,4,20.16122448979592,4,69.0,0,2
11,3,0.33088435374149583,4,3,0.09795918367346938,4,20.23469387755102,4,65.0,0,1
11,3,0.33088435374149583,4,3,0.12040816326530612,4,20.357142857142858,4,62.0,0,2
11,3,0.33088435374149583,4,3,0.15306122448979592,4,20.487755102040815,4,63.0,0,3
11,4,0.327981859410432,4,2,0.14081632653061224,4,20.648979591836735,4,65.0,0,1
11,4,0.327981859410432,4,2,0.11632653061224489,4,20.812244897959182,4,67.0,0,2
12,1,0.3105668934240349,4,4,0.10816326530612246,4,20.940816326530612,4,68.0,0,1
12,1,0.3105668934240349,4,4,0.10408163265306122,4,21.06734693877551,4,67.0,0,3
12,1,0.3105668934240349,4,4,0.05918367346938776,4,21.185714285714287,4,66.0,0,4
12,2,0.31317460317460544,4,4,0.12653061224489795,4,21.261224489795918,4,65.0,0,1
12,2,0.31317460317460544,4,4,0.08163265306122448,4,21.408163265306122,4,63.0,0,3
12,2,0.31317460317460544,4,4,0.1346938775510204,4,21.50204081632653,4,62.0,0,4
12,3,0.31705215419501087,4,2,0.12857142857142856,4,21.68979591836735,4,60.0,0,2
12,4,0.28913832199546263,4,4,0.14081632653061224,4,21.83265306122449,4,59.0,0,1
12,4,0.28913832199546263,4,4,0.0836734693877551,4,21.989795918367346,4,55.0,0,3
12,4,0.28913832199546263,4,4,0.1510204081632653,4,22.112244897959183,4,60.0,0,4
13,1,0.3030385487528342,4,2,0.13673469387755102,4,22.295328798185942,4,63.0,0,2
13,3,0.32784580498866234,4,2,0.0673469387755102,4,22.951020408163266,4,55.0,0,2
13,4,0.2899546485260771,4,2,0.1510204081632653,4,23.069387755102042,4,60.0,0,1
13,4,0.2899546485260771,4,2,0.08979591836734693,4,23.238775510204082,4,63.0,0,2
14,1,0.30378684807256207,4,4,0.044897959183673466,4,23.344897959183672,4,62.0,0,1
14,1,0.30378684807256207,4,4,0.03877551020408163,4,23.40408163265306,4,63.0,0,2
14,1,0.30378684807256207,4,4,0.04693877551020408,4,23.457142857142856,4,62.0,0,3
14,1,0.30378684807256207,4,4,0.10204081632653061,4,23.56734693877551,4,60.0,0,4
