bar,beat,beatdur,denom,division,duration,num,onset,period,pitch,subtatum,tatum
0,4,0.19820861678004498,4,4,0.08775510204081632,4,6.708163265306123,4,72.0,0,4
1,1,0.3924716553287979,4,6,0.036734693877551024,4,6.808163265306122,4,73.0,0,2
1,1,0.3924716553287979,4,6,0.15714285714285714,4,6.848979591836735,4,74.0,0,3
1,1,0.3924716553287979,4,6,0.026530612244897958,4,7.022448979591837,4,73.0,0,5
1,1,0.3924716553287979,4,6,0.03877551020408163,4,7.0653061224489795,4,72.0,0,6
1,2,0.39287981859410426,4,4,0.10612244897959183,4,7.134693877551021,4,74.0,0,1
1,2,0.39287981859410426,4,4,0.030612244897959183,4,7.248979591836735,4,73.0,0,2
1,2,0.39287981859410426,4,4,0.21020408163265306,4,7.3,4,72.0,0,3
1,3,0.3774149659863948,4,2,0.17959183673469387,4,7.53265306122449,4,69.0,0,1
1,3,0.3774149659863948,4,2,0.10816326530612246,4,7.740816326530612,4,72.0,0,2
1,4,0.3874376417233565,4,1,0.35306122448979593,4,7.90204081632653,4,67.0,0,1
2,1,0.3843083900226745,4,4,0.10408163265306122,4,8.516326530612245,4,60.0,0,3
2,1,0.3843083900226745,4,4,0.0653061224489796,4,8.626530612244897,4,62.0,0,4
2,2,0.41650793650793716,4,4,0.09183673469387756,4,8.70204081632653,4,63.0,0,1
2,2,0.41650793650793716,4,4,0.08852607709750566,4,8.807619047619047,4,65.0,0,2
2,2,0.41650793650793716,4,4,0.06675736961451247,4,8.917913832199547,4,62.0,0,3
2,2,0.41650793650793716,4,4,0.1306122448979592,4,8.993378684807256,4,63.0,0,4
2,3,0.3906575963718826,4,1,0.15383219954648525,4,9.150113378684807,4,60.0,0,1
2,4,0.37664399092970413,4,4,0.03192743764172336,4,9.517278911564626,4,56.0,0,1
2,4,0.37664399092970413,4,4,0.1219047619047619,4,9.55501133786848,4,57.0,0,2
3,2,0.36761904761904773,4,6,0.1073922902494331,4,10.251609977324263,4,53.0,0,1
3,2,0.36761904761904773,4,6,0.07981859410430839,4,10.382222222222222,4,55.0,0,3
3,2,0.36761904761904773,4,6,0.10158730158730159,4,10.47219954648526,4,60.0,0,4
3,2,0.36761904761904773,4,6,0.04353741496598573,4,10.585396825396826,4,63.0,0,6
3,3,0.38301587301587325,4,4,0.09868480725623582,4,10.628934240362812,4,67.0,0,1
3,3,0.38301587301587325,4,4,0.08707482993197278,4,10.766802721088435,4,64.0,0,2
3,3,0.38301587301587325,4,4,0.062403628117913834,4,10.862585034013605,4,65.0,0,3
3,3,0.38301587301587325,4,4,0.08562358276643992,4,10.939501133786848,4,67.0,0,4
3,4,0.40496598639455783,4,4,0.062403628117913834,4,11.028027210884353,4,68.0,0,1
3,4,0.40496598639455783,4,4,0.07691609977324262,4,11.13687074829932,4,60.0,0,2
3,4,0.40496598639455783,4,4,0.06385487528344672,4,11.222494331065759,4,61.0,0,3
3,4,0.40496598639455783,4,4,0.08417233560090703,4,11.313922902494332,4,62.0,0,4
4,1,0.39396825396825363,4,4,0.11609977324263039,4,11.408253968253968,4,67.0,0,1
4,1,0.39396825396825363,4,4,0.07546485260770976,4,11.531609977324264,4,66.0,0,2
4,1,0.39396825396825363,4,4,0.05514739229024943,4,11.6259410430839,4,65.0,0,3
4,1,0.39396825396825363,4,4,0.07546485260770976,4,11.694149659863946,4,64.0,0,4
4,2,0.3774149659863948,4,4,0.12045351473922902,4,11.785578231292517,4,63.0,0,1
4,2,0.3774149659863948,4,4,0.08707482993197278,4,11.921995464852607,4,60.0,0,2
4,2,0.3774149659863948,4,4,0.07546485260770976,4,12.011972789115646,4,56.0,0,3
4,2,0.3774149659863948,4,4,0.08272108843537396,4,12.107755102040816,4,53.0,0,4
4,3,0.4026530612244894,4,4,0.07401360544217687,4,12.19047619047619,4,62.0,0,1
4,3,0.4026530612244894,4,4,0.08562358276643992,4,12.303673469387755,4,60.0,0,2
4,3,0.4026530612244894,4,4,0.13206349206349208,4,12.39655328798186,4,58.0,0,3
4,3,0.4026530612244894,4,4,0.07256235827664399,4,12.540226757369615,4,55.0,0,4
4,4,0.3933106575963716,4,4,0.06965986394557823,4,12.654875283446712,4,65.0,0,2
4,4,0.3933106575963716,4,4,0.7590022675736962,4,12.749206349206348,4,67.0,0,3
5,3,0.36619047619047684,4,3,0.09142857142857143,4,13.904399092970522,4,58.0,0,2
5,3,0.36619047619047684,4,3,0.07981859410430839,4,14.026303854875284,4,61.0,0,3
5,4,0.377369614512471,4,4,0.08852607709750566,4,14.122086167800454,4,65.0,0,1
5,4,0.377369614512471,4,4,0.09723356009070294,4,14.223673469387755,4,68.0,0,2
5,4,0.377369614512471,4,4,0.1001360544217687,4,14.325260770975056,4,67.0,0,3
5,4,0.377369614512471,4,4,0.08126984126984127,4,14.444263038548753,4,65.0,0,4
6,1,0.3874376417233556,4,5,0.07691609977324262,4,14.535691609977324,4,64.0,0,1
6,1,0.3874376417233556,4,5,0.05514739229024943,4,14.615510204081632,4,65.0,0,2
6,1,0.3874376417233556,4,5,0.08272108843537415,4,14.676462585034013,4,68.0,0,3
6,1,0.3874376417233556,4,5,0.08417233560090703,4,14.76063492063492,4,67.0,0,4
6,1,0.3874376417233556,4,5,0.07691609977324262,4,14.857868480725623,4,66.0,0,5
6,2,0.37650793650793624,4,6,0.052244897959183675,4,14.947845804988662,4,65.0,0,2
6,2,0.37650793650793624,4,6,0.09287981859410431,4,15.017505668934241,4,61.0,0,3
6,2,0.37650793650793624,4,6,0.06675736961451247,4,15.12344671201814,4,58.0,0,5
6,2,0.37650793650793624,4,6,0.06385487528344672,4,15.216326530612244,4,53.0,0,6
6,3,0.4026757369614522,4,4,0.10158730158730159,4,15.299047619047618,4,56.0,0,1
6,3,0.4026757369614522,4,4,0.062403628117913834,4,15.419501133786849,4,53.0,0,2
6,3,0.4026757369614522,4,4,0.05514739229024943,4,15.496417233560091,4,55.0,0,3
6,3,0.4026757369614522,4,4,0.10884353741496598,4,15.567528344671201,4,59.0,0,4
6,4,0.4026303854875266,4,1,0.45424036281179136,4,15.687981859410431,4,60.0,0,1
7,1,0.396870748299321,4,4,0.11029478458049886,4,16.426666666666666,4,63.0,0,4
7,2,0.38659863945578365,4,4,0.029024943310657598,4,16.56598639455782,4,65.0,0,2
7,2,0.38659863945578365,4,4,0.10303854875283447,4,16.621133786848073,4,68.0,0,3
7,2,0.38659863945578365,4,4,0.22784580498866214,4,16.748843537414967,4,70.0,0,4
7,3,0.3732426303854872,4,6,0.09591836734693877,4,17.069387755102042,4,69.0,0,4
7,3,0.3732426303854872,4,6,0.5551020408163265,4,17.195918367346938,4,70.0,0,6
8,1,0.39040816326530603,4,4,0.027573696145124716,4,17.761814058956915,4,69.0,0,2
8,1,0.39040816326530603,4,4,0.10594104308390023,4,17.795192743764172,4,68.0,0,3
8,1,0.39040816326530603,4,4,0.07111111111111157,4,17.931609977324264,4,63.0,0,4
8,2,0.3744217687074851,4,2,0.12480725623582767,4,18.002721088435376,4,67.0,0,1
8,2,0.3744217687074851,4,2,0.23219954648526078,4,18.156553287981858,4,65.0,0,2
8,3,0.37732426303854893,4,2,0.1219047619047619,4,18.616598639455784,4,67.0,0,2
8,4,0.37258503401360343,4,4,0.07256235827664399,4,18.75736961451247,4,65.0,0,1
8,4,0.37258503401360343,4,4,0.05950113378684807,4,18.841541950113378,4,64.0,0,2
8,4,0.37258503401360343,4,4,0.13786848072562358,4,18.925714285714285,4,61.0,0,3
8,4,0.37258503401360343,4,4,0.07691609977324262,4,19.095510204081634,4,58.0,0,4
9,1,0.4019047619047633,4,4,0.07111111111111111,4,19.186938775510203,4,57.0,0,1
9,1,0.4019047619047633,4,4,0.05369614512471655,4,19.291428571428572,4,60.0,0,2
9,1,0.4019047619047633,4,4,0.07401360544217687,4,19.359637188208616,4,63.0,0,3
9,1,0.4019047619047633,4,4,0.1001360544217687,4,19.449614512471655,4,67.0,0,4
