bar,beat,beatdur,denom,division,duration,num,onset,period,pitch,subtatum,tatum
2,1,0.24274376417233556,4,1,0.1073922902494331,4,3.916190476190476,4,65.0,0,1
2,2,0.2689569160997731,4,2,0.12843537414965986,4,4.16,4,69.0,0,1
2,2,0.2689569160997731,4,2,0.09723356009070294,4,4.295691609977324,4,67.0,0,2
2,3,0.26607709750566944,4,2,0.09868480725623582,4,4.436462585034014,4,65.0,0,1
2,3,0.26607709750566944,4,2,0.10231292517006803,4,4.542403628117913,4,62.0,0,2
2,4,0.2748979591836731,4,2,0.1364172335600907,4,4.660204081632653,4,60.0,0,1
2,4,0.2748979591836731,4,2,0.06836734693877551,4,4.814285714285714,4,58.0,0,2
3,1,0.23823129251700692,4,2,0.1326530612244898,4,4.893877551020408,4,60.0,0,1
3,1,0.23823129251700692,4,2,0.3510204081632653,4,5.053061224489796,4,58.0,0,2
4,1,0.25165532879818553,4,1,0.12653061224489795,4,5.938775510204081,4,65.0,0,1
4,2,0.2606575963718827,4,2,0.12272108843537415,4,6.194421768707483,4,68.0,0,1
4,2,0.2606575963718827,4,2,0.08829931972789115,4,6.337097505668934,4,67.0,0,2
4,3,0.24276643990929703,4,2,0.12471655328798185,4,6.439863945578232,4,65.0,0,1
4,3,0.24276643990929703,4,2,0.09795918367346938,4,6.575056689342404,4,62.0,0,2
4,4,0.2491836734693873,4,3,0.11464852607709751,4,6.681541950113378,4,58.0,0,1
4,4,0.2491836734693873,4,3,0.04693877551020408,4,6.855102040816327,4,55.0,0,3
5,1,0.2526303854875289,4,2,0.12755102040816327,4,6.920408163265306,4,64.0,0,1
5,1,0.2526303854875289,4,2,0.37006802721088433,4,7.0574149659863945,4,65.0,0,2
5,3,0.25555555555555554,4,3,0.16326530612244897,4,7.446938775510204,4,63.0,0,1
5,3,0.25555555555555554,4,3,0.06458049886621316,4,7.621224489795918,4,65.0,0,3
5,4,0.26126984126984176,4,2,0.13877551020408163,4,7.6959183673469385,4,63.0,0,1
5,4,0.26126984126984176,4,2,0.09723356009070294,4,7.84907029478458,4,61.0,0,2
6,1,0.253356009070294,4,2,0.1306122448979592,4,7.961224489795918,4,58.0,0,1
6,1,0.253356009070294,4,2,0.3357142857142857,4,8.104081632653061,4,58.0,0,2
6,4,0.23306122448979671,4,2,0.12244897959183673,4,8.844897959183674,4,70.0,0,2
7,2,0.25267573696145007,4,2,0.14077097505668934,4,9.221950113378686,4,69.0,0,1
7,2,0.25267573696145007,4,2,0.09723356009070294,4,9.372154195011339,4,67.0,0,2
7,3,0.25868480725623577,4,2,0.10612244897959183,4,9.475510204081633,4,65.0,0,1
7,3,0.25868480725623577,4,2,0.13133786848072562,4,9.599274376417233,4,63.0,0,2
7,4,0.26242630385487686,4,2,0.09795918367346938,4,9.742222222222223,4,62.0,0,1
7,4,0.26242630385487686,4,2,0.11174603174603175,4,9.856145124716553,4,60.0,0,2
8,1,0.2590022675736954,4,3,0.11247165532879819,4,9.97514739229025,4,59.0,0,1
8,1,0.2590022675736954,4,3,0.06095238095238095,4,10.141315192743765,4,55.0,0,3
8,2,0.252607709750567,4,2,0.1510204081632653,4,10.212244897959184,4,60.0,0,1
8,2,0.252607709750567,4,2,0.08571428571428572,4,10.375510204081632,4,61.0,0,2
8,3,0.2589342403628123,4,3,0.16834467120181407,4,10.485986394557823,4,62.0,0,1
8,3,0.2589342403628123,4,3,0.07551020408163266,4,10.66326530612245,4,65.0,0,3
8,4,0.24283446712018097,4,2,0.35555555555555557,4,10.881451247165533,4,65.0,0,2
10,1,0.24897959183673457,4,2,0.1458503401360544,4,12.007619047619048,4,67.0,0,1
10,1,0.24897959183673457,4,2,0.05918367346938776,4,12.157142857142857,4,65.0,0,2
10,2,0.2632653061224488,4,2,0.11972789115646258,4,12.266666666666667,4,62.0,0,1
10,2,0.2632653061224488,4,2,0.08417233560090703,4,12.399455782312925,4,60.0,0,2
10,3,0.2612018140589569,4,2,0.12045351473922902,4,12.501043083900226,4,58.0,0,1
10,3,0.2612018140589569,4,2,0.04897959183673469,4,12.66326530612245,4,53.0,0,2
10,4,0.25804988662131656,4,2,0.07882086167800453,4,12.891201814058958,4,50.0,0,2
11,1,0.2535147392290238,4,2,0.11623582766439909,4,12.993968253968253,4,53.0,0,1
11,1,0.2535147392290238,4,2,0.38603174603174606,4,13.11201814058957,4,58.0,0,2
13,1,0.2582086167800455,4,2,0.12653061224489795,4,15.04780045351474,4,69.0,0,1
13,1,0.2582086167800455,4,2,0.09387755102040816,4,15.178571428571429,4,67.0,0,2
13,2,0.25344671201814073,4,2,0.11673469387755102,4,15.287755102040816,4,65.0,0,1
13,2,0.25344671201814073,4,2,0.10326530612244898,4,15.408979591836735,4,62.0,0,2
13,3,0.24274376417233512,4,2,0.16063492063492063,4,15.51922902494331,4,60.0,0,1
13,3,0.24274376417233512,4,2,0.08571428571428572,4,15.687981859410431,4,58.0,0,2
13,4,0.24904761904762118,4,2,0.3510204081632653,4,15.927437641723357,4,60.0,0,2
14,2,0.25891156462584775,4,1,0.12244897959183673,4,16.294603174603175,4,58.0,0,1
14,3,0.2524263038548753,4,2,0.13877551020408163,4,16.54795918367347,4,60.0,0,1
14,3,0.2524263038548753,4,2,0.06428571428571428,4,16.706122448979592,4,61.0,0,2
14,4,0.24922902494331112,4,2,0.12040816326530612,4,16.803061224489795,4,62.0,0,1
14,4,0.24922902494331112,4,2,0.3020408163265306,4,16.946938775510205,4,60.0,0,2
15,4,0.24362811791383265,4,2,0.11122448979591837,4,17.81020408163265,4,58.0,0,1
15,4,0.24362811791383265,4,2,0.11673469387755102,4,17.92625850340136,4,60.0,0,2
16,1,0.2580725623582758,4,2,0.1272108843537415,4,18.04798185941043,4,63.0,0,1
16,1,0.2580725623582758,4,2,0.10775510204081633,4,18.18018140589569,4,67.0,0,2
16,2,0.23390022675737043,4,2,0.09229024943310657,4,18.292925170068028,4,66.0,0,1
16,2,0.23390022675737043,4,2,0.1127437641723356,4,18.40018140589569,4,64.0,0,2
16,3,0.2525623582766414,4,2,0.1416780045351474,4,18.52140589569161,4,65.0,0,1
16,3,0.2525623582766414,4,2,0.09927437641723356,4,18.672063492063494,4,62.0,0,2
16,4,0.24274376417233867,4,2,0.10408163265306122,4,18.791836734693877,4,58.0,0,1
16,4,0.24274376417233867,4,2,0.08530612244897959,4,18.933968253968253,4,56.0,0,2
17,1,0.25907029478457844,4,3,0.15714285714285714,4,19.03469387755102,4,55.0,0,1
17,1,0.25907029478457844,4,3,0.07682539682539682,4,19.206349206349206,4,56.0,0,3
17,2,0.2579818594104317,4,2,0.1327891156462585,4,19.300861678004534,4,58.0,0,1
17,2,0.2579818594104317,4,2,0.10231292517006803,4,19.443083900226757,4,60.0,0,2
17,3,0.24378684807256334,4,2,0.11224489795918367,4,19.557142857142857,4,61.0,0,1
17,3,0.24378684807256334,4,2,0.16253968253968254,4,19.68471655328798,4,63.0,0,2
17,4,0.23274376417233356,4,2,0.053061224489795916,4,19.944897959183674,4,67.0,0,2
18,1,0.26435374149659907,4,4,0.17124716553287983,4,20.034467120181407,4,72.0,0,1
18,1,0.26435374149659907,4,4,0.06893424036281179,4,20.228208616780044,4,74.0,0,4
18,2,0.24734693877551095,4,4,0.15891156462585035,4,20.307301587301588,4,75.0,0,1
18,2,0.24734693877551095,4,4,0.04426303854875283,4,20.48580498866213,4,72.0,0,4
18,3,0.23020408163265316,4,4,0.15310657596371882,4,20.540226757369613,4,73.0,0,1
18,3,0.23020408163265316,4,4,0.10408163265306122,4,20.715827664399093,4,70.0,0,4
19,3,0.24346938775510196,4,1,0.1326530612244898,4,21.536507936507938,4,74.0,0,1
19,4,0.24283446712018275,4,2,0.11836734693877551,4,21.785714285714285,4,69.0,0,1
19,4,0.24283446712018275,4,2,0.10376417233560091,4,21.92326530612245,4,72.0,0,2
20,1,0.23290249433106425,4,3,0.12857142857142856,4,22.037913832199546,4,70.0,0,1
20,1,0.23290249433106425,4,3,0.0763265306122449,4,22.20702947845805,4,65.0,0,3
20,2,0.24941043083900283,4,2,0.11074829931972789,4,22.287845804988663,4,64.0,0,1
20,2,0.24941043083900283,4,2,0.11356009070294784,4,22.439183673469387,4,63.0,0,2
20,3,0.25238095238095326,4,2,0.1164625850340136,4,22.561814058956916,4,62.0,0,1
20,3,0.25238095238095326,4,2,0.09183673469387756,4,22.693877551020407,4,60.0,0,2
20,4,0.24913832199546349,4,3,0.12857142857142856,4,22.806122448979593,4,59.0,0,1
20,4,0.24913832199546349,4,3,0.07959183673469387,4,22.962244897959184,4,56.0,0,3
21,1,0.2622675736961462,4,2,0.10408163265306122,4,23.077551020408162,4,55.0,0,1
21,1,0.2622675736961462,4,2,0.07142857142857142,4,23.228571428571428,4,58.0,0,2
21,2,0.25895691609977334,4,2,0.12551020408163266,4,23.316326530612244,4,60.0,0,1
21,2,0.25895691609977334,4,2,0.10376417233560091,4,23.455056689342403,4,63.0,0,2
21,3,0.2605215419501121,4,2,0.10408163265306122,4,23.58061224489796,4,67.0,0,1
21,3,0.2605215419501121,4,2,0.09387755102040816,4,23.714285714285715,4,70.0,0,2
21,4,0.2609750566893432,4,2,0.2836734693877551,4,23.99795918367347,4,70.0,0,2
23,1,0.24285714285714377,4,2,0.13859410430839003,4,25.085532879818594,4,69.0,0,1
23,1,0.24285714285714377,4,2,0.08780045351473922,4,25.232108843537414,4,67.0,0,2
23,2,0.25782312925170103,4,2,0.08571428571428572,4,25.341678004535147,4,65.0,0,1
