bar,beat,beatdur,denom,division,duration,num,onset,period,pitch,subtatum,tatum
1,1,0.4448979591836735,4,2,0.2525170068027211,9,0.6936961451247166,9,73.0,0,2
1,2,0.44036281179138315,4,3,0.10448979591836735,9,0.9491156462585034,9,72.0,0,1
1,2,0.44036281179138315,4,3,0.8678458049886622,9,1.0536054421768708,9,73.0,0,2
1,4,0.4371201814058956,4,3,0.12244897959183673,9,1.926530612244898,9,71.0,0,2
1,4,0.4371201814058956,4,3,0.6285714285714286,9,2.0653061224489795,9,72.0,0,3
1,6,0.4122902494331062,4,6,0.10167800453514753,9,2.7224489795918365,9,71.0,0,3
1,6,0.4122902494331062,4,6,0.05342403628117909,9,2.824126984126984,9,69.0,0,4
1,6,0.4122902494331062,4,6,0.06938775510204082,9,2.877551020408163,9,66.0,0,5
1,6,0.4122902494331062,4,6,0.4448979591836735,9,2.951020408163265,9,64.0,0,6
1,8,0.43643990929705234,4,1,0.6,9,3.4081632653061225,9,61.0,0,1
2,4,0.40174603174603174,4,4,0.34285714285714286,9,5.489795918367347,9,73.0,0,1
2,4,0.40174603174603174,4,4,0.23265306122448978,9,5.836734693877551,9,71.0,0,4
2,5,0.4066893424036282,4,2,0.5795918367346938,9,6.089795918367347,9,72.0,0,2
2,7,0.41240362811791353,4,6,0.1836734693877551,9,6.710204081632653,9,71.0,0,1
2,7,0.41240362811791353,4,6,0.13877551020408163,9,6.914285714285715,9,69.0,0,4
2,7,0.41240362811791353,4,6,0.1346938775510204,9,7.089795918367347,9,66.0,0,6
2,8,0.4016780045351478,4,2,0.1346938775510204,9,7.36734693877551,9,64.0,0,2
2,9,0.4318820861677999,4,2,0.1346938775510204,9,7.726530612244898,9,69.0,0,2
3,1,0.4026303854875293,4,6,0.12653061224489795,9,8.318367346938775,9,69.0,0,6
3,4,0.43108843537415,4,2,0.19183673469387755,9,9.183673469387756,9,69.0,0,1
3,4,0.43108843537415,4,2,0.15510204081632653,9,9.404081632653062,9,71.0,0,2
3,5,0.42217687074830046,4,6,0.22448979591836604,9,9.591836734693878,9,72.0,0,1
3,5,0.42217687074830046,4,6,0.15510204081632653,9,9.816326530612244,9,71.0,0,4
3,5,0.42217687074830046,4,6,0.05714285714285714,9,9.987755102040817,9,68.0,0,6
3,6,0.39285714285714235,4,1,0.3265306122448983,9,10.081632653061224,9,69.0,0,1
3,7,0.412040816326531,4,1,0.8326530612244898,9,10.408163265306122,9,67.0,0,1
3,9,0.4318820861677999,4,2,0.1836734693877551,9,11.248979591836735,9,66.0,0,1
3,9,0.4318820861677999,4,2,0.09387755102040816,9,11.473469387755102,9,67.0,0,2
4,2,0.40256235827664355,4,1,0.10204081632653061,9,12.044897959183674,9,67.0,0,1
4,3,0.43090702947845827,4,2,0.09795918367346938,9,12.69795918367347,9,69.0,0,2
4,4,0.4026530612244894,4,3,0.1510204081632653,9,12.893877551020408,9,73.0,0,1
4,4,0.4026530612244894,4,3,0.08979591836734693,9,13.053061224489795,9,78.0,0,2
4,4,0.4026530612244894,4,3,0.3224489795918367,9,13.142857142857142,9,76.0,0,3
4,5,0.41244897959183646,4,2,0.12653061224489795,9,13.485714285714286,9,73.0,0,2
4,6,0.42195011337868493,4,4,0.23265306122448978,9,14.06938775510204,9,72.0,0,4
4,7,0.3871882086167808,4,2,0.08979591836734693,9,14.306122448979592,9,71.0,0,2
4,8,0.42764172335600925,4,6,0.12653061224489795,9,14.73469387755102,9,69.0,0,4
4,8,0.42764172335600925,4,6,0.12653061224489795,9,14.918367346938776,9,64.0,0,6
4,9,0.38623582766439846,4,2,0.12653061224489795,9,15.155102040816326,9,66.0,0,2
5,1,0.42213151927437664,4,2,0.1673469387755102,9,15.346938775510203,9,64.0,0,1
5,1,0.42213151927437664,4,2,0.08979591836734693,9,15.555102040816326,9,69.0,0,2
5,2,0.38721088435374007,4,3,0.22448979591836735,9,15.742857142857142,9,71.0,0,1
5,2,0.38721088435374007,4,3,0.10612244897959183,9,16.0,9,66.0,0,3
5,3,0.43766439909297006,4,2,0.21224489795918366,9,16.142857142857142,9,64.0,0,1
5,3,0.43766439909297006,4,2,0.12653061224489795,9,16.416326530612245,9,69.0,0,2
5,4,0.3960997732426321,4,6,0.363265306122449,9,16.56734693877551,9,61.0,0,1
5,4,0.3960997732426321,4,6,0.2,9,16.951020408163266,9,64.0,0,6
5,5,0.4221088435374156,4,2,0.11836734693877551,9,17.15918367346939,9,66.0,0,2
5,7,0.42208616780045105,4,2,0.11428571428571428,9,18.03265306122449,9,69.0,0,2
5,8,0.4122222222222227,4,2,0.20816326530612245,9,18.20408163265306,9,71.0,0,1
5,8,0.4122222222222227,4,2,0.20408163265306123,9,18.416326530612245,9,73.0,0,2
5,9,0.3961678004535152,4,2,0.18775510204081633,9,18.620408163265306,9,72.0,0,1
5,9,0.3961678004535152,4,2,0.12480725623582767,9,18.808163265306124,9,73.0,0,2
6,2,0.4121995464852617,4,2,0.12244897959183673,9,19.66122448979592,9,66.0,0,2
6,4,0.4276417233560075,4,2,0.2163265306122449,9,20.281632653061223,9,69.0,0,1
6,4,0.4276417233560075,4,2,0.11319727891156463,9,20.506122448979593,9,66.0,0,2
6,6,0.41235827664398883,4,4,0.08979591836734693,9,21.085714285714285,9,64.0,0,1
6,6,0.41235827664398883,4,4,0.09387755102040816,9,21.20408163265306,9,69.0,0,2
6,6,0.41235827664398883,4,4,0.11836734693877551,9,21.31020408163265,9,71.0,0,3
6,6,0.41235827664398883,4,4,0.11428571428571428,9,21.428571428571427,9,73.0,0,4
6,7,0.4023582766439908,4,3,0.10158730158730159,9,21.62358276643991,9,76.0,0,2
6,7,0.4023582766439908,4,3,0.10612244897959183,9,21.73061224489796,9,78.0,0,3
