bar,beat,beatdur,denom,division,duration,num,onset,period,pitch,subtatum,tatum
0,3,0.2492063492063492,4,2,0.1346938775510204,4,3.651337868480726,4,58.0,0,1
0,3,0.2492063492063492,4,2,0.10204081632653061,4,3.8,4,65.0,0,2
0,4,0.22868480725623552,4,2,0.09795918367346938,4,3.9306122448979592,4,68.0,0,1
0,4,0.22868480725623552,4,2,0.08571428571428572,4,4.040816326530612,4,70.0,0,2
1,1,0.24925170068027214,4,1,1.146485260770975,4,4.149115646258504,4,72.0,0,1
2,1,0.23111111111111082,4,4,0.10612244897959183,4,5.326530612244898,4,70.0,0,4
2,2,0.24199546485260814,4,4,0.12244897959183643,4,5.436734693877551,4,68.0,0,2
2,2,0.24199546485260814,4,4,0.11836734693877551,4,5.559183673469388,4,65.0,0,4
2,3,0.24671201814058996,4,4,0.11428571428571428,4,5.685714285714286,4,63.0,0,2
2,3,0.24671201814058996,4,4,0.07546485260770976,4,5.81514739229025,4,65.0,0,4
2,4,0.24961451247165467,4,2,0.13061224489795986,4,5.893877551020408,4,68.0,0,1
2,4,0.24961451247165467,4,2,0.11020408163265306,4,6.024489795918368,4,70.0,0,2
3,1,0.23800453514739228,4,1,0.1673469387755102,4,6.146938775510204,4,72.0,0,1
3,2,0.24961451247165556,4,1,0.22040816326530613,4,6.383673469387755,4,72.0,0,1
3,3,0.24961451247165556,4,3,0.15918367346938775,4,6.616326530612245,4,70.0,0,1
3,3,0.24961451247165556,4,3,0.1469387755102041,4,6.775510204081633,4,68.0,0,3
3,4,0.24380952380952348,4,2,0.10204081632653061,4,6.9918367346938775,4,63.0,0,2
4,1,0.24090702947845788,4,2,0.11836734693877551,4,7.09795918367347,4,67.0,0,1
4,1,0.24090702947845788,4,2,0.11020408163265306,4,7.2326530612244895,4,68.0,0,2
4,2,0.23800453514739228,4,2,0.09795918367346938,4,7.355102040816327,4,70.0,0,1
4,2,0.23800453514739228,4,2,0.11428571428571428,4,7.461224489795918,4,72.0,0,2
4,3,0.25832199546485324,4,2,0.09795918367346938,4,7.583673469387755,4,68.0,0,1
4,3,0.25832199546485324,4,2,0.1346938775510204,4,7.714285714285714,4,72.0,0,2
4,4,0.24380952380952436,4,1,0.34285714285714286,4,7.848979591836735,4,70.0,0,1
5,1,0.240907029478457,4,2,0.11428571428571428,4,8.208163265306123,4,68.0,0,2
5,2,0.24292517006802683,4,2,0.11836734693877551,4,8.326530612244898,4,66.0,0,1
5,2,0.24292517006802683,4,2,0.12653061224489795,4,8.453061224489796,4,63.0,0,2
6,3,0.240907029478457,4,2,0.12244897959183554,4,9.579591836734695,4,61.0,0,1
6,3,0.240907029478457,4,2,0.11428571428571428,4,9.70204081632653,4,63.0,0,2
6,4,0.23800453514739317,4,2,0.11836734693877551,4,9.844897959183674,4,64.0,0,1
6,4,0.23800453514739317,4,2,0.09387755102040816,4,9.96734693877551,4,61.0,0,2
7,1,0.24961451247165556,4,2,0.09795918367346938,4,10.073469387755102,4,63.0,0,1
7,1,0.24961451247165556,4,2,0.12244897959183673,4,10.183673469387756,4,64.0,0,2
7,2,0.25832199546485235,4,2,0.10204081632653061,4,10.326530612244898,4,65.0,0,1
7,2,0.25832199546485235,4,2,0.1306122448979592,4,10.444897959183674,4,66.0,0,2
7,3,0.24671201814058996,4,2,0.11836734693877551,4,10.583673469387755,4,62.0,0,1
7,3,0.24671201814058996,4,2,0.07346938775510205,4,10.706122448979592,4,61.0,0,2
7,4,0.2397732426303847,4,2,0.12244897959183731,4,10.791836734693877,4,64.0,0,1
7,4,0.2397732426303847,4,2,0.11428571428571388,4,10.914285714285715,4,66.0,0,2
8,1,0.25074829931972786,4,3,0.07755102040816327,4,11.028571428571428,4,69.0,0,1
8,1,0.25074829931972786,4,3,0.6965986394557823,4,11.120907029478458,4,70.0,0,2
8,4,0.25297052154195043,4,2,0.11428571428571428,4,11.820408163265306,4,67.0,0,1
8,4,0.25297052154195043,4,2,0.08571428571428572,4,11.938775510204081,4,65.0,0,2
9,1,0.24111111111110972,4,2,0.11836734693877551,4,12.040816326530612,4,61.0,0,1
9,1,0.24111111111110972,4,2,0.09868480725623582,4,12.184671201814059,4,58.0,0,2
9,2,0.25668934240362873,4,4,0.09795918367346938,4,12.293877551020408,4,60.0,0,1
9,2,0.25668934240362873,4,4,0.11219954648526098,4,12.398004535147392,4,63.0,0,3
9,2,0.25668934240362873,4,4,0.09387755102040816,4,12.510204081632653,4,67.0,0,4
9,3,0.24478458049886598,4,2,0.1469387755102041,4,12.620408163265306,4,70.0,0,2
9,4,0.23800453514739317,4,2,0.11428571428571428,4,12.76734693877551,4,69.0,0,1
9,4,0.23800453514739317,4,2,0.1306122448979592,4,12.889795918367346,4,67.0,0,2
10,1,0.25378684807256136,4,1,0.1836734693877551,4,13.036734693877552,4,64.0,0,1
10,2,0.2349659863945579,4,4,0.10612244897959183,4,13.261224489795918,4,60.0,0,1
10,2,0.2349659863945579,4,4,0.06938775510204209,4,13.391836734693877,4,62.0,0,3
10,2,0.2349659863945579,4,4,0.12653061224489795,4,13.461224489795919,4,68.0,0,4
10,3,0.24557823129251766,4,4,0.09387755102040816,4,13.604081632653061,4,66.0,0,2
10,3,0.24557823129251766,4,4,0.10204081632653061,4,13.726530612244899,4,63.0,0,4
10,4,0.26122448979591795,4,3,0.09795918367346938,4,13.840816326530613,4,62.0,0,2
10,4,0.26122448979591795,4,3,0.11020408163265306,4,13.951020408163265,4,64.0,0,3
11,1,0.24671201814058996,4,2,0.10612244897959183,4,14.061224489795919,4,66.0,0,1
11,1,0.24671201814058996,4,2,0.11836734693877551,4,14.17142857142857,4,69.0,0,2
11,2,0.24961451247165556,4,2,0.11836734693877551,4,14.310204081632653,4,65.0,0,1
11,2,0.24961451247165556,4,2,0.11836734693877551,4,14.428571428571429,4,66.0,0,2
11,3,0.24585034013605345,4,1,0.1306122448979592,4,14.557460317460318,4,62.0,0,1
13,2,0.2351473922902514,4,2,0.1364172335600884,4,16.384580498866214,4,63.0,0,2
13,3,0.25464852607709787,4,3,0.1469387755102041,4,16.520997732426302,4,61.0,0,1
13,3,0.25464852607709787,4,3,0.07256235827664399,4,16.683537414965986,4,56.0,0,3
13,4,0.25328798185940826,4,2,0.10158730158730159,4,16.773514739229025,4,53.0,0,1
13,4,0.25328798185940826,4,2,0.15510204081632653,4,16.881632653061224,4,61.0,0,2
14,1,0.24671201814059174,4,4,0.12653061224489795,4,17.056507936507938,4,60.0,0,2
14,1,0.24671201814059174,4,4,0.06965986394557823,4,17.197278911564627,4,56.0,0,4
14,2,0.24489795918367108,4,4,0.1654421768707483,4,17.266938775510205,4,53.0,0,1
14,2,0.24489795918367108,4,4,0.06965986394557823,4,17.455600907029478,4,56.0,0,4
14,3,0.24897959183673635,4,2,0.10612244897959183,4,17.536870748299318,4,55.0,0,1
14,3,0.24897959183673635,4,2,0.15510204081632653,4,17.66122448979592,4,60.0,0,2
15,3,0.23800453514739317,4,2,0.10204081632652873,4,18.50204081632653,4,58.0,0,1
15,3,0.23800453514739317,4,2,0.10204081632653061,4,18.60408163265306,4,63.0,0,2
15,4,0.23800453514738962,4,4,0.13877551020408163,4,18.726530612244897,4,61.0,0,1
15,4,0.23800453514738962,4,4,0.08979591836734693,4,18.914285714285715,4,56.0,0,4
16,1,0.25541950113378675,4,4,0.11020408163265306,4,19.012244897959185,4,58.0,0,2
16,1,0.25541950113378675,4,4,0.11020408163265306,4,19.13877551020408,4,61.0,0,4
16,2,0.25541950113378675,4,2,0.10612244897959183,4,19.248979591836736,4,58.0,0,1
16,2,0.25541950113378675,4,2,0.11836734693877551,4,19.37142857142857,4,56.0,0,2
16,3,0.26122448979591795,4,2,0.09795918367346938,4,19.510204081632654,4,53.0,0,1
16,3,0.26122448979591795,4,2,0.12244897959183673,4,19.616326530612245,4,56.0,0,2
16,4,0.23800453514739317,4,2,0.11319727891156463,4,19.765986394557824,4,56.0,0,1
16,4,0.23800453514739317,4,2,0.09578231292517007,4,19.89079365079365,4,58.0,0,2
17,1,0.24770975056689437,4,2,0.11428571428571388,4,20.00408163265306,4,59.0,0,1
17,1,0.24770975056689437,4,2,0.11020408163265306,4,20.118367346938776,4,63.0,0,2
17,2,0.25714285714285623,4,2,0.10612244897959183,4,20.240816326530613,4,65.0,0,1
17,2,0.25714285714285623,4,2,0.09387755102040816,4,20.379591836734694,4,66.0,0,2
17,3,0.2510204081632672,4,2,0.11836734693877551,4,20.493877551020407,4,62.0,0,1
17,3,0.2510204081632672,4,2,0.10448979591836735,4,20.613514739229025,4,59.0,0,2
17,4,0.25714285714285623,4,1,0.19736961451247165,4,20.73832199546485,4,64.0,0,1
18,1,0.2408163265306129,4,1,0.2979591836734694,4,20.98358276643991,4,62.0,0,1
18,2,0.2408163265306129,4,1,0.1346938775510204,4,21.281632653061223,4,64.0,0,1
18,3,0.24693877551020194,4,4,0.15510204081632653,4,21.43673469387755,4,66.0,0,1
18,3,0.24693877551020194,4,4,0.11428571428571388,4,21.65714285714286,4,69.0,0,4
18,4,0.25510204081632537,4,4,0.12653061224489795,4,21.771428571428572,4,71.0,0,2
18,4,0.25510204081632537,4,4,0.10204081632653061,4,21.90612244897959,4,74.0,0,4
19,1,0.26326530612245236,4,2,0.19591836734693877,4,22.03265306122449,4,75.0,0,2
19,2,0.2714285714285687,4,3,0.1510204081632653,4,22.228571428571428,4,76.0,0,1
19,2,0.2714285714285687,4,3,0.1306122448979592,4,22.412244897959184,4,77.0,0,3
19,3,0.25496598639455925,4,2,0.07755102040816327,4,22.632653061224488,4,78.0,0,2
19,4,0.2443083900226739,4,2,0.11836734693877551,4,22.73061224489796,4,76.0,0,1
19,4,0.2443083900226739,4,2,0.12244897959183731,4,22.86122448979592,4,75.0,0,2
20,1,0.24219954648526354,4,1,0.24081632653061225,4,22.983673469387757,4,74.0,0,1
20,2,0.2584126984126982,4,2,0.14285714285714285,4,23.257142857142856,4,71.0,0,1
20,2,0.2584126984126982,4,2,0.14285714285714285,4,23.40408163265306,4,70.0,0,2
20,3,0.23503401360544274,4,2,0.08571428571428572,4,23.65714285714286,4,69.0,0,2
20,4,0.24179138321995453,4,3,0.1306122448979592,4,23.755102040816325,4,68.0,0,1
20,4,0.24179138321995453,4,3,0.12653061224489795,4,23.910204081632653,4,66.0,0,3
21,1,0.2554421768707478,4,2,0.23265306122448978,4,24.040816326530614,4,65.0,0,2
21,2,0.2592290249433091,4,4,0.14285714285714285,4,24.273469387755103,4,62.0,0,2
21,2,0.2592290249433091,4,4,0.1469387755102041,4,24.43265306122449,4,58.0,0,4
21,3,0.2550340136054423,4,2,0.11020408163265306,4,24.64081632653061,4,60.0,0,2
21,4,0.25739229024943455,4,2,0.09795918367346938,4,24.787755102040816,4,64.0,0,1
21,4,0.25739229024943455,4,2,0.06965986394557823,4,24.912108843537414,4,66.0,0,2
22,1,0.27156462585033836,4,6,0.07346938775510205,4,25.008163265306123,4,71.0,0,1
22,1,0.27156462585033836,4,6,0.061224489795918366,4,25.085714285714285,4,72.0,0,3
22,1,0.27156462585033836,4,6,0.08979591836734713,4,25.146938775510204,4,71.0,0,4
22,1,0.27156462585033836,4,6,0.0653061224489796,4,25.23673469387755,4,69.0,0,6
22,2,0.24600907029478591,4,1,0.08571428571428572,4,25.318367346938775,4,64.0,0,1
25,2,0.252607709750567,4,4,0.09387755102040816,4,28.377687074829932,4,73.0,0,3
25,2,0.252607709750567,4,4,0.09387755102040816,4,28.487981859410432,4,72.0,0,4
25,3,0.27142857142857224,4,2,1.1673469387755102,4,28.68979591836735,4,72.0,0,2
26,4,0.2561224489795926,4,4,0.11428571428571428,4,29.918367346938776,4,69.0,0,2
26,4,0.2561224489795926,4,4,0.12244897959183673,4,30.036734693877552,4,72.0,0,4
27,1,0.23959183673469298,4,2,0.08979591836734693,4,30.273469387755103,4,68.0,0,2
27,2,0.24285714285714377,4,2,0.08979591836734693,4,30.375510204081632,4,69.0,0,1
27,2,0.24285714285714377,4,2,0.2530612244897959,4,30.481632653061226,4,69.0,0,2
27,4,0.24825396825396595,4,2,0.08979591836734693,4,30.975419501133786,4,72.0,0,2
28,1,0.24498866213152226,4,2,0.124807256235826,4,31.074104308390023,4,73.0,0,1
28,1,0.24498866213152226,4,2,0.10721088435374426,4,31.19891156462585,4,72.0,0,2
