bar,beat,beatdur,denom,division,duration,num,onset,period,pitch,subtatum,tatum
2,1,0.47668934240362804,4,4,0.11836734693877551,4,2.9591836734693877,4,55.0,0,3
2,1,0.47668934240362804,4,4,0.10612244897959183,4,3.1183673469387756,4,58.0,0,4
2,2,0.4569387755102041,4,4,0.18775510204081633,4,3.2285714285714286,4,60.0,0,1
2,2,0.4569387755102041,4,4,0.11020408163265305,4,3.416326530612245,4,63.0,0,3
2,2,0.4569387755102041,4,4,0.13877551020408152,4,3.526530612244898,4,65.0,0,4
2,3,0.48213151927437625,4,3,0.14285714285714285,4,3.6653061224489796,4,67.0,0,1
2,3,0.48213151927437625,4,3,0.1306122448979592,4,3.8122448979591836,4,70.0,0,2
2,3,0.48213151927437625,4,3,1.420408163265306,4,3.946938775510204,4,72.0,0,3
3,2,0.44716553287981853,4,4,0.21224489795918366,4,5.408163265306122,4,70.0,0,4
3,3,0.431111111111111,4,2,0.15918367346938775,4,5.6938775510204085,4,69.0,0,2
3,4,0.4666439909297049,4,4,0.23265306122448978,4,6.0285714285714285,4,69.0,0,2
3,4,0.4666439909297049,4,4,0.8408163265306122,4,6.293877551020408,4,67.0,0,4
4,4,0.4666893424036287,4,3,0.14285714285714285,4,7.96734693877551,4,55.0,0,2
4,4,0.4666893424036287,4,3,0.1510204081632653,4,8.126530612244897,4,58.0,0,3
5,1,0.4668707482993195,4,3,0.14285714285714285,4,8.281632653061225,4,56.0,0,1
5,1,0.4668707482993195,4,3,0.1346938775510207,4,8.444897959183674,4,58.0,0,2
5,1,0.4668707482993195,4,3,0.13469387755101891,4,8.579591836734695,4,60.0,0,3
5,2,0.44716553287981853,4,3,0.1510204081632653,4,8.714285714285714,4,63.0,0,1
5,2,0.44716553287981853,4,3,0.14285714285714235,4,8.86530612244898,4,65.0,0,2
5,2,0.44716553287981853,4,3,0.12653061224489795,4,9.008163265306122,4,68.0,0,3
5,3,0.4568027210884349,4,4,0.11836734693877551,4,9.142857142857142,4,70.0,0,1
5,3,0.4568027210884349,4,4,0.15510204081632653,4,9.261224489795918,4,72.0,0,2
5,3,0.4568027210884349,4,4,1.530612244897959,4,9.477551020408164,4,72.0,0,4
6,3,0.4667120181405888,4,4,0.11428571428571388,4,11.093877551020409,4,77.0,0,2
6,3,0.4667120181405888,4,4,0.363265306122449,4,11.208163265306123,4,75.0,0,3
6,4,0.4668480725623585,4,4,0.2979591836734694,4,11.575510204081633,4,72.0,0,2
6,4,0.4668480725623585,4,4,0.13877551020408163,4,11.885714285714286,4,70.0,0,4
7,2,0.45689342403628075,4,2,0.12244897959183673,4,12.751020408163265,4,69.0,0,2
7,3,0.4507029478458051,4,1,1.2653061224489797,4,12.906122448979591,4,70.0,0,1
8,1,0.4679818594104308,4,4,0.12244897959183673,4,14.183673469387756,4,69.0,0,4
8,2,0.4517006802721095,4,3,0.10204081632653061,4,14.310204081632653,4,70.0,0,1
8,2,0.4517006802721095,4,3,0.1306122448979592,4,14.428571428571429,4,72.0,0,2
8,2,0.4517006802721095,4,3,0.12244897959183673,4,14.583673469387755,4,70.0,0,3
8,3,0.4917233560090697,4,4,0.10204081632653061,4,14.710204081632654,4,69.0,0,1
8,3,0.4917233560090697,4,4,0.10204081632653061,4,14.812244897959184,4,70.0,0,2
8,3,0.4917233560090697,4,4,0.23673469387755103,4,14.946938775510205,4,72.0,0,3
8,4,0.42151927437641845,4,1,0.3877551020408163,4,15.257142857142858,4,72.0,0,1
9,1,0.44736961451247126,4,2,0.22857142857142856,4,15.66938775510204,4,68.0,0,1
9,1,0.44736961451247126,4,2,0.7673469387755102,4,15.910204081632653,4,67.0,0,2
10,1,0.4570975056689335,4,4,0.11428571428571428,4,17.746938775510205,4,55.0,0,3
10,1,0.4570975056689335,4,4,0.10612244897959183,4,17.86530612244898,4,57.0,0,4
10,2,0.45040816326530475,4,6,0.14285714285714285,4,17.987755102040815,4,60.0,0,2
