bar,beat,beatdur,denom,division,duration,num,onset,period,pitch,subtatum,tatum
1,3,0.44718820861678044,4,4,0.16253968253968254,4,7.163356009070295,4,70.0,0,4
1,4,0.4961451247165529,4,6,0.2234920634920635,4,7.421678004535147,4,67.0,0,3
1,4,0.4961451247165529,4,6,0.22929705215419502,4,7.711927437641723,4,62.0,0,6
2,1,0.4667346938775516,4,2,0.2525170068027211,4,7.996371882086168,4,68.0,0,2
2,2,0.46256235827664405,4,1,0.48471655328798186,4,8.283718820861678,4,72.0,0,1
2,3,0.4611791383219952,4,6,0.20317460317460317,4,9.099319727891157,4,77.0,0,6
2,4,0.4570068027210876,4,2,0.2147845804988662,4,9.340226757369615,4,74.0,0,2
3,1,0.4364625850340147,4,3,0.24090702947845805,4,9.618866213151927,4,70.0,0,1
3,1,0.4364625850340147,4,3,0.2815419501133787,4,9.909115646258503,4,72.0,0,3
3,2,0.4667120181405888,4,2,2.436734693877551,4,10.228571428571428,4,79.0,0,2
4,3,0.4765306122448987,4,4,0.19183673469387755,4,12.757142857142858,4,78.0,0,4
4,4,0.4568253968253959,4,4,0.21428571428571427,4,12.973469387755102,4,76.0,0,2
4,4,0.4568253968253959,4,4,0.16122448979591836,4,13.216326530612244,4,72.0,0,4
5,1,0.45061224489795926,4,2,0.24693877551020407,4,13.5,4,68.0,0,2
5,2,0.47310657596371897,4,1,0.3489795918367347,4,13.795918367346939,4,62.0,0,1
5,4,0.4721768707482994,4,4,0.0836734693877551,4,14.791836734693877,4,62.0,0,2
5,4,0.4721768707482994,4,4,0.08163265306122448,4,14.89795918367347,4,63.0,0,3
5,4,0.4721768707482994,4,4,0.12448979591836734,4,15.00204081632653,4,65.0,0,4
6,1,0.441496598639457,4,2,0.12448979591836734,4,15.16326530612245,4,67.0,0,1
6,1,0.441496598639457,4,2,0.2571428571428571,4,15.316326530612244,4,64.0,0,2
6,2,0.45689342403628075,4,1,0.3306122448979592,4,15.640816326530611,4,60.0,0,1
6,4,0.42213151927437664,4,6,0.0653061224489796,4,16.559183673469388,4,60.0,0,2
6,4,0.42213151927437664,4,6,0.07551020408163266,4,16.648979591836735,4,62.0,0,3
6,4,0.42213151927437664,4,6,0.07551020408163266,4,16.753061224489795,4,64.0,0,5
6,4,0.42213151927437664,4,6,0.11632653061224489,4,16.844897959183672,4,65.0,0,6
7,1,0.44716553287981853,4,3,0.2612244897959184,4,16.979591836734695,4,62.0,0,1
7,1,0.44716553287981853,4,3,0.4775510204081633,4,17.273469387755103,4,58.0,0,3
7,3,0.451451247165533,4,4,0.04693877551020408,4,17.781632653061223,4,60.0,0,1
7,3,0.451451247165533,4,4,0.08979591836734693,4,17.84285714285714,4,62.0,0,2
