bar,beat,beatdur,denom,division,duration,num,onset,period,pitch,subtatum,tatum
0,4,0.22699546485260758,4,4,0.1073922902494331,4,2.9750566893424035,4,75.0,0,2
0,4,0.22699546485260758,4,4,0.07256235827664399,4,3.102766439909297,4,76.0,0,4
1,1,0.22504535147392257,4,1,0.22929705215419502,4,3.1840362811791385,4,75.0,0,1
1,2,0.22504535147392302,4,2,0.06965986394557823,4,3.436553287981859,4,79.0,0,2
1,3,0.23821995464852597,4,1,0.4204081632653061,4,3.6510204081632653,4,77.0,0,1
2,1,0.24124716553288028,4,2,0.3510204081632653,4,4.159183673469387,4,74.0,0,2
2,2,0.2412471655328794,4,4,0.2728344671201814,4,4.522086167800453,4,72.0,0,4
2,4,0.22570294784580458,4,1,0.08571428571428572,4,4.808163265306122,4,69.0,0,1
3,1,0.23247165532879865,4,1,0.8979591836734694,4,5.026530612244898,4,69.0,0,1
4,1,0.23775510204081662,4,4,0.08126984126984127,4,5.979138321995465,4,67.0,0,2
4,1,0.23775510204081662,4,4,0.08997732426303855,4,6.101043083900227,4,70.0,0,4
4,2,0.23775510204081574,4,2,0.11319727891156463,4,6.196825396825397,4,69.0,0,1
4,2,0.23775510204081574,4,2,0.09578231292517007,4,6.321632653061225,4,65.0,0,2
4,3,0.2306122448979595,4,1,0.24961451247165534,4,6.431927437641724,4,63.0,0,1
4,4,0.23061224489795862,4,3,0.07256235827664399,4,6.6873469387755105,4,65.0,0,2
4,4,0.23061224489795862,4,3,0.26702947845804986,4,6.774421768707483,4,67.0,0,3
5,2,0.22959183673469408,4,1,0.45510204081632655,4,7.055102040816327,4,69.0,0,1
5,4,0.22098639455782365,4,4,0.15510204081632653,4,7.524489795918368,4,67.0,0,1
5,4,0.22098639455782365,4,4,0.7163265306122449,4,7.7,4,65.0,0,4
6,4,0.2316780045351461,4,4,0.14222222222222222,4,8.4259410430839,4,63.0,0,1
6,4,0.2316780045351461,4,4,0.10158730158730159,4,8.600090702947846,4,65.0,0,4
7,1,0.2364285714285721,4,3,0.08417233560090703,4,8.716190476190476,4,67.0,0,2
7,1,0.2364285714285721,4,3,0.11029478458049886,4,8.814875283446712,4,69.0,0,3
7,2,0.2364285714285721,4,2,0.09868480725623582,4,8.933877551020409,4,70.0,0,1
7,2,0.2364285714285721,4,2,0.08979591836734693,4,9.046938775510204,4,67.0,0,2
7,3,0.22706349206349152,4,2,0.09287981859410431,4,9.148662131519274,4,69.0,0,1
7,3,0.22706349206349152,4,2,0.09287981859410431,4,9.270566893424036,4,72.0,0,2
7,4,0.22706349206349152,4,1,0.11029478458049886,4,9.375056689342404,4,77.0,0,1
9,2,0.23678004535147323,4,3,0.08571428571428572,4,10.718367346938775,4,79.0,0,1
9,2,0.23678004535147323,4,3,0.022448979591836733,4,10.812244897959184,4,80.0,0,2
9,2,0.23678004535147323,4,3,0.17124716553287983,4,10.858231292517006,4,79.0,0,3
