bar,beat,beatdur,denom,division,duration,num,onset,period,pitch,subtatum,tatum
1,3,0.29739229024943326,4,1,0.35918367346938773,4,2.720408163265306,4,58.0,0,1
1,4,0.31303854875283443,4,5,0.06022675736961451,4,3.0882539682539685,4,57.0,0,2
1,4,0.31303854875283443,4,5,0.03841269841269841,4,3.169297052154195,4,55.0,0,3
1,4,0.31303854875283443,4,5,0.034421768707482994,4,3.216190476190476,4,54.0,0,4
1,4,0.31303854875283443,4,5,0.055374149659863946,4,3.272063492063492,4,53.0,0,5
2,1,0.3233106575963718,4,1,0.8896145124716553,4,3.336417233560091,4,52.0,0,1
2,3,0.29637188208616827,4,4,0.18140589569160998,4,4.237641723356009,4,54.0,0,4
2,4,0.29437641723355945,4,2,0.16253968253968254,4,4.435011337868481,4,55.0,0,2
4,3,0.30215419501133756,4,2,0.10204081632653061,4,6.575510204081633,4,58.0,0,2
5,1,0.30310657596371904,4,1,0.29183673469387755,4,6.989795918367347,4,58.0,0,1
5,2,0.3078911564625848,4,4,0.16689342403628118,4,7.295419501133787,4,60.0,0,1
5,2,0.3078911564625848,4,4,0.06965986394557823,4,7.520362811791383,4,58.0,0,4
5,3,0.3023809523809522,4,1,0.2728344671201814,4,7.611791383219955,4,61.0,0,1
5,4,0.31022675736961425,4,4,0.1872108843537415,4,7.90204081632653,4,63.0,0,1
5,4,0.31022675736961425,4,4,0.04789115646258504,4,8.143877551020408,4,63.0,0,4
6,1,0.29517006802721113,4,1,0.5746938775510204,4,8.200997732426304,4,64.0,0,1
6,3,0.29875283446711975,4,6,0.03192743764172336,4,8.80326530612245,4,65.0,0,1
6,3,0.29875283446711975,4,6,0.18866213151927438,4,8.842448979591836,4,66.0,0,2
6,3,0.29875283446711975,4,6,0.05369614512471655,4,9.071746031746033,4,63.0,0,6
6,4,0.32496598639455776,4,1,0.5848526077097506,4,9.137052154195011,4,67.0,0,1
7,2,0.31984126984127137,4,4,0.21043083900226758,4,9.734965986394558,4,69.0,0,1
7,2,0.31984126984127137,4,4,0.050793650793650794,4,9.981678004535148,4,67.0,0,4
7,3,0.30841269841269714,4,1,0.2699319727891156,4,10.060045351473923,4,70.0,0,1
7,4,0.28455782312925315,4,1,0.20317460317460317,4,10.3459410430839,4,72.0,0,1
8,1,0.2977097505668933,4,4,0.04693877551020408,4,10.640816326530611,4,74.0,0,1
8,1,0.2977097505668933,4,4,1.4857142857142858,4,10.708163265306123,4,75.0,0,2
9,2,0.3131746031746019,4,4,0.10204081632653061,4,12.210204081632654,4,76.0,0,2
9,2,0.3131746031746019,4,4,0.6306122448979592,4,12.36734693877551,4,70.0,0,4
11,3,0.3158276643990945,4,1,0.16938775510204082,4,14.906122448979591,4,78.0,0,1
11,4,0.3007936507936506,4,2,0.4204081632653061,4,15.391836734693877,4,75.0,0,2
12,2,0.3130839002267596,4,1,0.5877551020408164,4,15.840816326530613,4,76.0,0,1
12,4,0.3075736961451234,4,3,0.18571428571428572,4,16.448979591836736,4,75.0,0,1
12,4,0.3075736961451234,4,3,0.08775510204081632,4,16.646938775510204,4,73.0,0,3
13,1,0.29179138321995524,4,2,0.13673469387755102,4,16.771428571428572,4,74.0,0,1
13,1,0.29179138321995524,4,2,0.09591836734693877,4,16.94795918367347,4,74.0,0,2
13,2,0.28859410430839105,4,3,0.1816326530612245,4,17.048979591836734,4,76.0,0,1
13,2,0.28859410430839105,4,3,0.07142857142857142,4,17.244897959183675,4,69.0,0,3
13,3,0.2947845804988667,4,4,0.19882086167800453,4,17.336598639455783,4,77.0,0,1
13,3,0.2947845804988667,4,4,0.16399092970521542,4,17.551383219954648,4,79.0,0,4
13,4,0.28566893424036266,4,2,0.11224489795918367,4,17.822448979591837,4,83.0,0,2
14,1,0.30743764172335375,4,1,0.11224489795918367,4,17.946938775510205,4,84.0,0,1
14,2,0.3058276643990929,4,2,0.18571428571428572,4,18.30204081632653,4,80.0,0,2
14,3,0.3070068027210908,4,4,0.15383219954648525,4,18.773333333333333,4,79.0,0,4
15,1,0.30117913832199505,4,1,0.45859410430839004,4,19.15936507936508,4,77.0,0,1
15,2,0.30435374149660177,4,4,0.12244897959183673,4,19.66938775510204,4,74.0,0,4
15,3,0.29743764172335574,4,4,0.1219047619047619,4,19.80517006802721,4,72.0,0,2
15,3,0.29743764172335574,4,4,0.07546485260770976,4,19.95609977324263,4,72.0,0,4
15,4,0.3022675736961453,4,3,0.1509297052154195,4,20.059138321995466,4,73.0,0,1
15,4,0.3022675736961453,4,3,0.052244897959183675,4,20.256507936507937,4,70.0,0,3
16,1,0.2921768707482997,4,1,0.2612244897959184,4,20.329070294784582,4,72.0,0,1
16,2,0.2936281179138298,4,3,0.16020408163265307,4,20.618367346938776,4,67.0,0,1
16,2,0.2936281179138298,4,3,0.09433106575963719,4,20.823945578231292,4,65.0,0,3
16,3,0.3030158730158732,4,3,0.1523809523809524,4,20.934240362811792,4,70.0,0,1
16,3,0.3030158730158732,4,3,0.09578231292517007,4,21.13015873015873,4,72.0,0,3
16,4,0.2899546485260771,4,2,0.06095238095238095,4,21.408798185941045,4,65.0,0,2
17,1,0.3100000000000023,4,4,0.04693877551020408,4,21.553061224489795,4,75.0,0,2
17,1,0.3100000000000023,4,4,0.3877551020408163,4,21.617346938775512,4,76.0,0,3
17,2,0.31537414965986343,4,4,0.06326530612244897,4,22.06734693877551,4,67.0,0,4
17,3,0.3020861678004536,4,2,0.12857142857142856,4,22.318367346938775,4,70.0,0,2
17,4,0.29294784580498856,4,2,0.050793650793650794,4,22.64081632653061,4,64.0,0,2
18,1,0.2997959183673444,4,1,0.4310204081632653,4,22.78312925170068,4,76.0,0,1
18,2,0.30487528344671233,4,4,0.056598639455782314,4,23.260589569161,4,67.0,0,4
18,3,0.29553287981859455,4,1,0.1001360544217687,4,23.389750566893426,4,70.0,0,1
18,4,0.3002721088435365,4,4,0.04693877551020408,4,23.62630385487528,4,74.0,0,1
18,4,0.3002721088435365,4,4,0.45510204081632655,4,23.68673469387755,4,76.0,0,2
19,1,0.32013605442176996,4,2,0.07653061224489796,4,24.16122448979592,4,67.0,0,2
19,2,0.290748299319727,4,1,0.17551020408163265,4,24.251020408163264,4,70.0,0,1
19,3,0.2931519274376413,4,1,0.2571428571428571,4,24.526530612244898,4,76.0,0,1
19,4,0.2941496598639475,4,4,0.19795918367346937,4,24.855102040816327,4,67.0,0,1
19,4,0.2941496598639475,4,4,0.9551020408163265,4,25.071428571428573,4,70.0,0,4
20,4,0.2951473922902501,4,4,0.17346938775510204,4,26.042857142857144,4,67.0,0,1
20,4,0.2951473922902501,4,4,0.07959183673469387,4,26.255102040816325,4,61.0,0,4
21,1,0.3237414965986396,4,4,0.12448979591836734,4,26.38061224489796,4,64.0,0,2
21,1,0.3237414965986396,4,4,0.10816326530612246,4,26.543877551020408,4,61.0,0,4
21,2,0.29306122448979366,4,2,0.12653061224489795,4,26.668367346938776,4,58.0,0,1
21,2,0.29306122448979366,4,2,0.12244897959183673,4,26.81326530612245,4,55.0,0,2
21,3,0.28823129251700763,4,1,0.11122448979591837,4,26.963265306122448,4,52.0,0,1
23,3,0.2967800453514755,4,1,0.2220408163265306,4,29.336961451247166,4,78.0,0,1
23,4,0.2913378684807242,4,2,0.10448979591836735,4,29.643174603174604,4,75.0,0,1
