bar,beat,beatdur,denom,division,duration,num,onset,period,pitch,subtatum,tatum
0,4,0.4794104308390019,4,4,0.09795918367346938,4,3.626530612244898,4,63.0,0,1
0,4,0.4794104308390019,4,4,0.07244897959183673,4,3.733673469387755,4,65.0,0,2
0,4,0.4794104308390019,4,4,0.10918367346938776,4,3.820408163265306,4,63.0,0,3
0,4,0.4794104308390019,4,4,0.1377551020408163,4,3.946938775510204,4,60.0,0,4
1,1,0.47081632653061245,4,1,0.6653061224489796,4,4.137755102040816,4,55.0,0,1
1,2,0.46108843537414934,4,2,0.21428571428571427,4,4.843877551020408,4,51.0,0,2
1,3,0.47823129251700713,4,1,0.6622448979591836,4,5.081632653061225,4,55.0,0,1
1,4,0.4892970521541953,4,2,0.25612244897959185,4,5.770408163265306,4,51.0,0,2
2,1,0.47068027210884367,4,1,1.3142857142857143,4,6.046938775510204,4,55.0,0,1
3,2,0.47938775510204046,4,4,0.6448979591836734,4,8.69795918367347,4,53.0,0,4
3,4,0.49795918367346914,4,2,0.2816326530612245,4,9.43061224489796,4,55.0,0,2
4,1,0.48827664399092896,4,1,0.9959183673469387,4,9.812244897959184,4,56.0,0,1
4,3,0.4805895691609976,4,2,0.33877551020408164,4,10.895918367346939,4,55.0,0,2
4,4,0.4687755102040825,4,1,0.2653061224489796,4,11.291836734693877,4,53.0,0,1
5,1,0.47081632653061156,4,1,0.8591836734693877,4,11.659183673469387,4,61.0,0,1
5,3,0.48825396825396794,4,2,0.14081632653061224,4,12.608163265306123,4,56.0,0,1
5,3,0.48825396825396794,4,2,0.25918367346938775,4,12.814285714285715,4,61.0,0,2
5,4,0.49893424036281253,4,4,0.3469387755102041,4,13.122448979591837,4,61.0,0,1
5,4,0.49893424036281253,4,4,1.036734693877551,4,13.516326530612245,4,61.0,0,4
7,1,0.4686167800453518,4,4,0.32653061224489793,4,15.912244897959184,4,52.0,0,4
7,2,0.4805668934240366,4,2,0.17142857142857143,4,16.287755102040816,4,56.0,0,2
7,3,0.4794557823129253,4,3,0.14285714285714285,4,16.49591836734694,4,58.0,0,1
7,3,0.4794557823129253,4,3,0.15714285714285714,4,16.66938775510204,4,60.0,0,2
7,3,0.4794557823129253,4,3,1.116326530612245,4,16.857142857142858,4,61.0,0,3
8,2,0.4783900226757396,4,6,0.09897959183673469,4,18.242857142857144,4,61.0,0,5
8,2,0.4783900226757396,4,6,0.07142857142857142,4,18.36122448979592,4,63.0,0,6
8,3,0.47854875283446674,4,2,0.19591836734693877,4,18.462244897959184,4,61.0,0,1
8,3,0.47854875283446674,4,2,0.3512018140589569,4,18.686258503401362,4,60.0,0,2
8,4,0.480521541950111,4,6,0.23510204081632652,4,19.056326530612246,4,58.0,0,3
8,4,0.480521541950111,4,6,0.8775510204081632,4,19.320408163265306,4,63.0,0,6
9,2,0.48825396825396794,4,4,0.3795918367346939,4,20.23469387755102,4,63.0,0,4
9,3,0.4794104308389997,4,2,0.2571428571428571,4,20.64081632653061,4,63.0,0,2
9,4,0.470952380952383,4,4,0.2857142857142857,4,20.914285714285715,4,63.0,0,2
9,4,0.470952380952383,4,4,0.6183673469387755,4,21.226530612244897,4,63.0,0,4
10,3,0.49891156462584973,4,6,0.39387755102040817,4,22.706122448979592,4,65.0,0,6
10,4,0.48825396825396794,4,4,0.17142857142857143,4,23.13673469387755,4,63.0,0,4
11,1,0.46934240362811863,4,2,0.3489795918367347,4,23.479591836734695,4,66.0,0,2
11,2,0.47083900226757436,4,6,0.25918367346938775,4,23.86326530612245,4,65.0,0,3
11,2,0.47083900226757436,4,6,1.581859410430839,4,24.14294784580499,4,63.0,0,6
12,4,0.4685714285714262,4,4,0.10575963718820862,4,26.87142857142857,4,63.0,0,3
12,4,0.4685714285714262,4,4,0.0818140589569161,4,26.987165532879818,4,65.0,0,4
13,1,0.4892290249433131,4,2,0.1566439909297052,4,27.077460317460318,4,63.0,0,1
13,1,0.4892290249433131,4,2,1.0782766439909297,4,27.250068027210883,4,61.0,0,2
13,3,0.47857142857142776,4,4,0.4339229024943311,4,28.403809523809525,4,63.0,0,4
13,4,0.48825396825396794,4,2,0.2147845804988662,4,28.863854875283447,4,61.0,0,2
14,1,0.47938775510204223,4,4,0.07691609977324262,4,29.085895691609977,4,58.0,0,2
14,1,0.47938775510204223,4,4,0.4078004535147392,4,29.180226757369613,4,64.0,0,3
14,2,0.47083900226757436,4,4,0.24090702947845805,4,29.60544217687075,4,63.0,0,2
14,2,0.47083900226757436,4,4,1.062312925170068,4,29.881179138321997,4,61.0,0,4
15,2,0.506485260770976,4,4,0.7082086167800453,4,31.79972789115646,4,59.0,0,4
15,4,0.4793197278911592,4,6,0.21333333333333335,4,32.57034013605442,4,56.0,0,3
15,4,0.4793197278911592,4,6,0.1523809523809524,4,32.803990929705215,4,53.0,0,6
16,1,0.4806802721088417,4,2,0.73578231292517,4,33.02748299319728,4,58.0,0,2
16,2,0.4881632653061203,4,8,0.3453968253968254,4,33.786485260770974,4,55.0,0,8
16,3,0.48829931972789353,4,4,0.24090702947845805,4,34.220408163265304,4,49.0,0,4
16,4,0.4794331065759607,4,2,0.23365079365079366,4,34.51210884353741,4,51.0,0,2
17,1,0.4967573696145138,4,2,0.21623582766439908,4,34.78639455782313,4,53.0,0,1
17,1,0.4967573696145138,4,2,0.5964625850340136,4,35.044716553287984,4,55.0,0,2
17,2,0.4882312925170069,4,4,0.1726984126984127,4,35.68907029478458,4,51.0,0,4
17,3,0.4881859410430849,4,4,0.2510657596371882,4,35.90965986394558,4,55.0,0,2
17,3,0.4881859410430849,4,4,0.2234920634920635,4,36.18975056689342,4,63.0,0,4
17,4,0.49891156462584973,4,4,0.21188208616780047,4,36.43356009070295,4,60.0,0,2
17,4,0.49891156462584973,4,4,1.5325170068027212,4,36.69478458049887,4,55.0,0,4
19,3,0.4881632653061203,4,1,0.746938775510204,4,39.751020408163264,4,53.0,0,1
19,4,0.4793650793650812,4,4,0.2755102040816326,4,40.542857142857144,4,55.0,0,4
20,1,0.47092970521541844,4,2,0.8816326530612245,4,40.844897959183676,4,56.0,0,2
20,3,0.4965759637188185,4,2,0.38979591836734695,4,41.76122448979592,4,55.0,0,2
20,4,0.49897959183673635,4,2,0.2979591836734694,4,42.21836734693878,4,53.0,0,2
21,1,0.48811791383219827,4,1,1.0071655328798186,4,42.64344671201814,4,61.0,0,1
21,3,0.47934240362811664,4,2,0.26412698412698415,4,43.8508843537415,4,61.0,0,2
21,4,0.47857142857142776,4,2,0.2693877551020408,4,44.251020408163264,4,61.0,0,2
22,1,0.48820861678004235,4,1,1.4040816326530612,4,44.559183673469384,4,61.0,0,1
23,1,0.4892290249433131,4,4,0.21224489795918366,4,46.816326530612244,4,52.0,0,4
23,2,0.4783900226757325,4,4,0.21836734693877552,4,47.063265306122446,4,56.0,0,2
23,2,0.4783900226757325,4,4,1.506122448979592,4,47.32244897959184,4,61.0,0,4
24,2,0.48814058956916284,4,2,0.11609977324263039,4,49.16680272108844,4,61.0,0,2
24,3,0.4807256235827637,4,4,0.0653061224489796,4,49.29451247165533,4,63.0,0,1
24,3,0.4807256235827637,4,4,0.24671201814058957,4,49.39174603174603,4,61.0,0,2
24,3,0.4807256235827637,4,4,0.16979591836734695,4,49.65732426303855,4,60.0,0,4
24,4,0.47925170068027256,4,2,0.22494331065759637,4,49.99256235827664,4,58.0,0,2
25,1,0.4785487528344703,4,1,0.6561224489795918,4,50.378571428571426,4,63.0,0,1
25,2,0.47902494331065526,4,4,0.3613605442176871,4,51.1071201814059,4,63.0,0,4
25,3,0.4702947845805028,4,2,0.2800907029478458,4,51.500408163265305,4,63.0,0,2
25,4,0.48920634920634853,4,4,0.2568707482993197,4,51.803718820861675,4,63.0,0,2
25,4,0.48920634920634853,4,4,0.5514739229024943,4,52.10557823129252,4,63.0,0,4
26,3,0.46934240362811863,4,4,0.4440816326530612,4,53.510385487528346,4,65.0,0,4
26,4,0.48077097505668576,4,4,0.23510204081632652,4,53.96607709750567,4,63.0,0,4
27,1,0.46099773242630704,4,2,1.2306122448979593,4,54.33061224489796,4,66.0,0,2
27,4,0.4882312925170069,4,4,0.32040816326530613,4,55.912244897959184,4,63.0,0,4
28,1,0.47083900226757436,4,4,0.6714285714285714,4,56.340816326530614,4,67.0,0,4
28,3,0.4967346938775492,4,1,0.24489795918367346,4,57.07551020408163,4,63.0,0,1
28,4,0.4882539682539715,4,4,0.29591836734693877,4,57.53877551020408,4,65.0,0,2
28,4,0.4882539682539715,4,4,0.1,4,57.86734693877551,4,63.0,0,4
29,1,0.4792063492063505,4,1,0.7612244897959184,4,58.05510204081633,4,68.0,0,1
